SVSPP,Fish
1,Y
2,N
3,Y
4,Y
6,Y
9,Y
13,Y
14,Y
15,Y
20,Y
21,N
22,Y
23,Y
24,Y
25,Y
26,Y
27,Y
31,Y
32,Y
33,Y
34,Y
35,Y
36,Y
37,Y
43,Y
44,Y
46,Y
47,Y
54,Y
56,Y
60,Y
61,Y
63,Y
64,Y
65,Y
67,Y
69,Y
70,Y
72,Y
73,Y
74,Y
75,Y
76,Y
77,Y
78,Y
79,Y
80,Y
81,Y
82,Y
83,N
86,Y
87,Y
88,Y
90,Y
91,Y
92,Y
93,Y
101,Y
102,Y
103,Y
104,Y
105,Y
106,Y
107,Y
108,Y
109,Y
110,Y
111,Y
112,Y
113,Y
114,Y
115,Y
116,N
117,Y
120,Y
121,Y
123,Y
124,Y
126,Y
127,Y
129,Y
131,Y
132,Y
133,N
134,N
135,Y
136,Y
138,Y
139,Y
141,Y
142,Y
143,Y
144,Y
145,Y
146,Y
148,Y
151,Y
154,Y
155,Y
156,Y
158,Y
159,Y
162,Y
163,Y
164,Y
167,Y
170,N
171,Y
172,Y
173,Y
174,Y
176,Y
177,Y
180,Y
181,Y
182,Y
187,Y
188,Y
190,Y
191,Y
192,Y
193,Y
194,Y
196,Y
197,Y
199,Y
201,Y
202,Y
203,Y
204,N
206,Y
207,Y
208,Y
209,Y
211,Y
212,Y
213,Y
221,Y
229,Y
231,Y
232,Y
235,Y
239,Y
240,Y
242,Y
246,Y
248,Y
250,Y
251,Y
252,Y
260,Y
261,Y
263,Y
264,Y
265,Y
280,Y
301,N
302,N
305,N
307,N
310,N
311,N
312,N
313,N
314,N
317,N
318,N
319,N
320,N
321,N
322,N
328,N
339,N
340,N
341,N
342,N
352,Y
384,Y
390,Y
399,Y
401,N
421,Y
423,Y
425,Y
437,Y
450,Y
451,Y
452,Y
461,Y
463,Y
492,Y
500,Y
501,N
502,N
503,N
504,N
510,N
517,N
526,Y
546,Y
549,Y
554,Y
576,N
582,Y
584,Y
596,Y
597,Y
616,Y
617,Y
643,Y
700,Y
735,Y
753,Y
755,Y
759,N
773,Y
794,Y
795,Y
820,Y
825,Y
851,Y
856,Y
866,Y
867,Y
876,Y
891,Y
896,Y
950,N
