SVSPP,Feeding.guild
1,Other
2,Other
3,Other
4,Other
6,Other
9,Other
13,Benthivore
14,Benthivore
15,Piscivore
20,Other
21,Other
22,Benthivore
23,Piscivore
24,Piscivore
25,Benthivore
26,Piscivore
27,Piscivore
31,Other
32,Planktivore
33,Planktivore
34,Planktivore
35,Planktivore
36,Planktivore
37,Other
43,Other
44,Other
46,Other
47,Other
54,Other
56,Other
60,Other
61,Other
63,Other
64,Other
65,Other
67,Other
69,Piscivore
70,Other
72,Piscivore
73,Piscivore
74,Benthivore
75,Piscivore
76,Piscivore
77,Piscivore
78,Other
79,Other
80,Other
81,Other
82,Other
83,Other
86,Other
87,Other
88,Other
90,Other
91,Other
92,Other
93,Other
101,Piscivore
102,Benthivore
103,Piscivore
104,Piscivore
105,Benthivore
106,Benthivore
107,Benthivore
108,Piscivore
109,Other
110,Other
111,Other
112,Piscivore
113,Other
114,Other
115,Other
116,Other
117,Other
120,Other
121,Planktivore
123,Other
124,Other
126,Other
127,Other
129,Other
131,Planktivore
132,Other
133,Other
134,Other
135,Piscivore
136,Other
138,Other
139,Piscivore
141,Benthivore
142,Other
143,Benthivore
144,Other
145,Piscivore
146,Other
148,Other
151,Benthivore
154,Other
155,Piscivore
156,Planktivore
158,Other
159,Other
162,Other
163,Planktivore
164,Piscivore
167,Other
170,Other
171,Planktivore
172,Benthivore
173,Other
174,Other
176,Benthivore
177,Benthivore
180,Other
181,Planktivore
182,Other
187,Other
188,Other
190,Other
191,Other
192,Benthivore
193,Benthivore
194,Other
196,Other
197,Piscivore
199,Other
201,Other
202,Other
203,Other
204,Other
206,Other
207,Other
208,Other
209,Other
211,Other
212,Other
213,Other
221,Other
229,Other
231,Other
232,Other
235,Other
239,Other
240,Other
242,Other
246,Other
248,Other
250,Other
251,Other
252,Other
260,Other
261,Other
263,Other
264,Other
265,Other
280,Other
301,Benthivore
302,Other
305,Other
307,Other
310,Benthivore
311,Benthivore
312,Benthivore
313,Other
314,Benthivore
317,Benthivore
318,Other
319,Other
320,Other
321,Other
322,Benthivore
328,Other
339,Other
340,Other
341,Other
342,Other
352,Other
384,Other
390,Other
399,Other
401,Benthos
421,Other
423,Other
425,Other
437,Other
450,Other
451,Other
452,Other
461,Other
463,Other
492,Other
500,Other
501,Benthivore
502,Planktivore
503,Planktivore
504,Other
510,Other
517,Other
526,Other
546,Other
549,Other
554,Other
576,Other
582,Other
584,Other
596,Other
597,Other
616,Other
617,Other
643,Other
700,Apex Predator
735,Other
753,Other
755,Other
759,Other
773,Other
794,Other
795,Other
820,Other
825,Other
851,Other
856,Other
866,Other
867,Other
876,Other
891,Other
896,Other
950,Other
