,YEAR,Ratio
1,1963,41.84805339
2,1964,28.95377584
3,1965,30.53445791
4,1966,27.71903571
5,1967,23.15611752
6,1968,5.890224583
7,1969,11.7857047
8,1970,13.20072614
9,1971,3.763043848
10,1972,11.78285697
11,1973,1.294969304
12,1974,1.95793887
13,1975,4.070908953
14,1976,1.014093474
15,1977,3.501365376
16,1978,1.869559844
17,1979,2.985663687
18,1980,1.712602799
19,1981,3.095362609
20,1982,1.203302086
21,1983,1.295454782
22,1984,1.437501431
23,1985,1.138529637
24,1986,0.783265214
25,1987,3.126748621
26,1988,2.045669786
27,1989,0.217032321
28,1990,0.903493088
29,1991,1.575882718
30,1992,1.888740293
31,1993,0.49484926
32,1994,0.334190991
33,1995,1.509063979
34,1996,1.543375025
35,1997,2.305450054
36,1998,9.733075091
37,1999,1.80310064
38,2000,1.666936596
39,2001,3.79824912
40,2002,4.661786852
41,2003,9.832817097
42,2004,9.946241047
43,2005,7.582141394
44,2006,2.748899855
45,2007,3.266020157
46,2008,1.979762138
47,2009,2.225698479
48,2010,2.020240431
49,2011,0.295886883
50,2012,2.158749476
51,2013,3.882758392
52,2014,1.060556822
53,2015,4.274867785
54,2016,1.531048855
55,2018,2.067095222
56,2019,1.419448
