,YEAR,Ratio
1,1968,7.399222735
2,1969,5.684680217
3,1970,4.38780262
4,1971,8.880775089
5,1972,18.10599483
6,1973,1.316463224
7,1974,7.858540293
8,1975,12.68520325
9,1976,7.172589375
10,1977,22.0541712
11,1978,8.952381325
12,1979,4.307275294
13,1980,17.56212679
14,1981,11.65817481
15,1982,17.77855572
16,1983,6.374806099
17,1984,9.011323103
18,1985,45.5386106
19,1986,3.950970277
20,1987,15.71006715
21,1988,15.1387116
22,1989,29.49889232
23,1990,29.48280029
24,1991,12.70025977
25,1992,11.678782
26,1993,3.988501781
27,1994,2.388360365
28,1995,2.760674252
29,1996,2.531974166
30,1997,5.729725329
31,1998,2.40698463
32,1999,3.015274264
33,2000,3.673567273
34,2001,1.443778744
35,2002,2.761056222
36,2003,4.369348858
37,2004,2.487235754
38,2005,1.255111173
39,2006,1.660646065
40,2007,4.566391721
41,2008,2.541262707
42,2009,4.674677297
43,2010,9.234881961
44,2011,8.342219008
45,2012,16.70314307
46,2013,23.43078848
47,2014,3.536059216
48,2015,10.81681003
49,2016,1.724748287
50,2017,5.6809264
51,2018,9.445832301
52,2019,7.010136864
53,2020,28.52625301
