"","YEAR","strat.biomass"
"1",1968,210.54978390303
"2",1969,134.607064093159
"3",1970,94.0445608749131
"4",1971,158.893124608437
"5",1972,220.106275536018
"6",1973,140.030005292709
"7",1974,216.953255394175
"8",1975,132.542401936381
"9",1976,117.031641868669
"10",1977,126.320831049774
"11",1978,112.542831119075
"12",1979,53.8341328303857
"13",1980,191.083334302684
"14",1981,189.131404613885
"15",1982,227.406254057955
"16",1983,101.879630591932
"17",1984,105.082540919311
"18",1985,437.582471628182
"19",1986,135.141141468175
"20",1987,397.335227470395
"21",1988,393.443945648168
"22",1989,242.498389786438
"23",1990,296.378308045227
"24",1991,293.716197187262
"25",1992,213.756157862663
"26",1993,103.344789213731
"27",1994,59.3122579458661
"28",1995,74.1154545677375
"29",1996,135.196163360082
"30",1997,170.348099020214
"31",1998,68.2878211579425
"32",1999,196.23910088961
"33",2000,55.7284256389285
"34",2001,46.4415141028704
"35",2002,172.217128965277
"36",2003,86.0239699403207
"37",2004,35.7716115224704
"38",2005,24.0369016665434
"39",2006,87.335080308266
"40",2007,77.6283867322967
"41",2008,155.997607109111
"42",2009,247.354354423202
"43",2010,147.07853343588
"44",2011,192.247560539045
"45",2012,335.223860980945
"46",2013,215.063865589318
"47",2014,197.772871328606
"48",2015,101.656298938405
"49",2016,104.181908887443
"50",2017,100.660265601149
"51",2018,210.22926957697
"52",2019,158.367969144277
"53",2020,121.920732811679
