"","YEAR","strat.biomass"
"1",1963,282.6732904123
"2",1964,228.962573372552
"3",1965,268.85320836037
"4",1966,196.965285968588
"5",1967,174.174335658087
"6",1968,138.698287425783
"7",1969,185.257767097527
"8",1970,137.916974160122
"9",1971,107.022601943456
"10",1972,218.873101473887
"11",1973,68.6954803023084
"12",1974,45.5342615807618
"13",1975,46.9069766084955
"14",1976,46.7455758887985
"15",1977,107.894353210345
"16",1978,55.3868048796531
"17",1979,134.8960100823
"18",1980,231.884461699792
"19",1981,222.000631167259
"20",1982,84.5499761130855
"21",1983,181.813903218517
"22",1984,53.1130999823412
"23",1985,42.8428357147276
"24",1986,18.0259317406858
"25",1987,109.739657611548
"26",1988,28.6131086112457
"27",1989,35.3565937666029
"28",1990,35.5251151410126
"29",1991,15.807055378105
"30",1992,67.6726076858737
"31",1993,30.590446016159
"32",1994,38.3080458051942
"33",1995,39.9221863736761
"34",1996,47.3206888273245
"35",1997,215.866318130545
"36",1998,124.688368702842
"37",1999,94.7178167203889
"38",2000,127.764117899821
"39",2001,66.9188524052606
"40",2002,291.872467710316
"41",2003,235.080865341277
"42",2004,75.3207326611557
"43",2005,574.394571243068
"44",2006,61.20154225129
"45",2007,40.287436936323
"46",2008,42.9837062022732
"47",2009,41.447674945681
"48",2010,114.376801786439
"49",2011,34.364904223775
"50",2012,185.207687828803
"51",2013,1314.79904431662
"52",2014,37.376052903726
"53",2015,50.1318376244216
"54",2016,194.031416108962
"55",2018,113.185293910269
"56",2019,25.2464949747034
