"","YEAR","strat.biomass"
"2330",1972,0
"2331",1974,0.0260952365276988
"2332",1976,0.0352348967315388
"2333",1977,0.00293014327520224
"2334",1978,0
"2335",1979,0.0175808596512134
"2336",1981,0.0409058163564837
"2337",1983,0.0522170357373243
"2338",1984,0.00586028655040448
"2339",1985,0.113453929685275
"2340",1986,0.94671684618468
"2341",1987,0.105655544622004
"2342",1989,0
"2343",1990,0.0231572028999686
"2344",1991,0.010416624108328
"2345",1992,0.0205110029264157
"2346",1993,0.011720573100809
"2347",1994,0.0754897913837
"2348",1995,0.049812435678438
"2349",1996,0.0195714273957741
"2350",1997,0.22269088891537
"2351",1998,0.0175808596512134
"2352",1999,0.107847414579184
"2353",2000,0.0187149453541647
"2354",2001,0.264498369331114
"2355",2002,0.320711858899305
"2356",2003,0.202837111664836
"2357",2004,0.0468041722546727
"2358",2005,0.0936075513381372
"2359",2006,0.0717663813345277
"2360",2007,0.339150994412206
"2361",2008,0.0652380262429503
"2362",2009,0.0831803132508196
"2363",2010,0.166356064778516
"2364",2011,0.0842070531939773
"2365",2012,0.444729809598311
"2366",2013,0.0991165053176059
"2367",2014,2.14341229355926
"2368",2015,0.266184256149323
"2369",2016,2.58123023384695
"2370",2017,1.51116037631773
"2371",2018,0.0605938803508178
"2372",2019,1.19961219857016
"2373",2020,0.456224020643257
