"","YEAR","strat.biomass"
"1",1963,2.36298589758586
"2",1964,8.65462042727561
"3",1965,5.96343715060779
"4",1966,5.5334860885625
"5",1967,11.4791991893497
"6",1968,23.2915212647715
"7",1969,40.6059776378907
"8",1970,7.37935794465663
"9",1971,15.0291288112513
"10",1972,9.10405103494197
"11",1973,37.3544721696185
"12",1974,17.5809935332148
"13",1975,17.8373862468982
"14",1976,33.6998461026989
"15",1977,19.0920318802014
"16",1978,17.5018269754246
"17",1979,34.3579937097083
"18",1980,34.227690931124
"19",1981,52.8743244714222
"20",1982,40.2200058162733
"21",1983,45.7305576009487
"22",1984,70.8916297587049
"23",1985,63.3617150073831
"24",1986,30.5647131388338
"25",1987,12.3241271286039
"26",1988,35.3807576734337
"27",1989,47.9816058577872
"28",1990,30.3950141290719
"29",1991,17.6251599654994
"30",1992,13.0377052676111
"31",1993,34.4680584977866
"32",1994,51.4333329978697
"33",1995,16.521224395411
"34",1996,41.9388574584734
"35",1997,21.8708894543243
"36",1998,12.3644297046099
"37",1999,29.9343330288755
"38",2000,32.6731483410579
"39",2001,15.2882700994825
"40",2002,18.9199991206487
"41",2003,13.7299169511169
"42",2004,11.2261868174758
"43",2005,13.3835548639403
"44",2006,39.0033054463525
"45",2007,12.2342936118181
"46",2008,18.7892681439008
"47",2009,33.1017926675088
"48",2010,36.5578126148692
"49",2011,22.8037079705901
"50",2012,26.5944271259641
"51",2013,36.3574732625777
"52",2014,36.5052989687739
"53",2015,31.063540969427
"54",2016,25.8963633987944
"55",2018,20.2349134449939
"56",2019,23.9857355699534
