"","YEAR","strat.biomass"
"1",1968,45.0136997506362
"2",1969,34.4596118801663
"3",1970,26.4036434963105
"4",1971,39.020958311066
"5",1972,18.7441947404925
"6",1973,275.60531314695
"7",1974,38.2699456301499
"8",1975,11.270485899544
"9",1976,17.7306490638075
"10",1977,7.32758653289332
"11",1978,17.8384034100954
"12",1979,13.4488746299776
"13",1980,12.7855656751032
"14",1981,28.7994033206457
"15",1982,13.5253260711271
"16",1983,16.2474818242628
"17",1984,24.891339818625
"18",1985,15.1331336522304
"19",1986,57.8364129665562
"20",1987,55.1353676384606
"21",1988,53.9947601220457
"22",1989,11.2888044518686
"23",1990,18.7468967931377
"24",1991,32.3813820600192
"25",1992,36.3584589324807
"26",1993,55.740380887029
"27",1994,54.6783284457127
"28",1995,61.7774181056282
"29",1996,139.869260613101
"30",1997,49.9458810524753
"31",1998,59.1578935491792
"32",1999,122.800166217063
"33",2000,29.0807060603294
"34",2001,64.4637898610852
"35",2002,91.2503046538628
"36",2003,49.9914448080039
"37",2004,30.81246887504
"38",2005,40.1635956208843
"39",2006,103.272520824471
"40",2007,30.6176761411529
"41",2008,151.127620177631
"42",2009,131.501814378108
"43",2010,17.662831118629
"44",2011,52.6139576279466
"45",2012,22.5145239041852
"46",2013,11.1402260021639
"47",2014,24.5405113704102
"48",2015,7.25783763053724
"49",2016,31.9119448739078
"50",2017,19.9185662608138
"51",2018,40.5388561247238
"52",2019,35.7337433238629
"53",2020,6.0106447886436
