"","YEAR","strat.biomass"
"3753",1971,0.0146507163760112
"3754",1972,0.479965626057662
"3755",1973,0.756029425553379
"3756",1974,0.00317628588983751
"3757",1975,0.00774491141069358
"3758",1976,0.00852211521960782
"3759",1977,0.000590789175509777
"3760",1978,0.00523852875122943
"3761",1979,0.0301972909331157
"3762",1980,0.00873768392244038
"3763",1981,0.0304901250153942
"3764",1982,0.0717538933812183
"3765",1983,0.0908899376996862
"3766",1984,0.0289748815094987
"3767",1985,0.0784428385493387
"3768",1986,0.050979491044192
"3769",1987,0.109951758242793
"3770",1988,0.00586028655040448
"3771",1989,0.0157303056889303
"3772",1990,0.00724872084370952
"3773",1991,0.0208919998617869
"3774",1992,0.0554828641931944
"3775",1993,0.00346693856725141
"3776",1994,0.00940661273810594
"3777",1995,0.00586028655040448
"3778",1996,0.0495973897422555
"3779",1997,0.0299505979256076
"3780",1998,0.0168205841223101
"3781",1999,0.0360425892240111
"3782",2000,0.050172845503807
"3783",2001,0.0289643687582471
"3784",2002,0.110036582193594
"3785",2003,0.419352507276909
"3786",2004,0.0109097851766917
"3787",2005,0.0341587340163865
"3788",2006,0.062178571666849
"3789",2007,0.0853231215246242
"3790",2008,0.0194929412424083
"3791",2009,0.181819298957475
"3792",2010,0.277746278932232
"3793",2011,0.208110184268916
"3794",2012,0.719659911834188
"3795",2013,0.173941254683746
"3796",2014,0.259271309561256
"3797",2015,0.26493686213753
"3798",2016,0.0781086982766992
"3799",2018,0.187178824532158
"3800",2019,0.250015891928407
