"","YEAR","strat.biomass"
"3465",1968,0.00559183639879259
"3466",1973,0.606082328924753
"3467",1974,0.18875092527678
"3468",1975,0.141093667330991
"3469",1976,0.418754740241348
"3470",1977,0.203943580918584
"3471",1978,0.167280244823055
"3472",1979,0.0466489943794443
"3473",1980,0.0551908536318988
"3474",1981,0.0628839296922289
"3475",1982,0.0235063091696514
"3476",1983,0.000761525868707533
"3477",1984,0.00882179158094042
"3478",1985,0.0178009295334732
"3479",1986,0.00648445773269017
"3480",1987,0.0408477765128336
"3481",1988,0.0297735465856739
"3482",1991,0.00708947010611732
"3483",1992,0
"3484",1993,0.00661634368570532
"3485",1994,0.00107638449119389
"3486",1995,0.00954648696090755
"3487",1998,0.111018399114004
"3488",1999,0.0421850253211638
"3489",2000,0.120298222972903
"3490",2001,0.0533057362138839
"3491",2002,0.135289782868764
"3492",2003,0.0213181598455441
"3493",2004,0.00363898902713792
"3494",2005,0.00967387696991119
"3495",2006,0.0201933288665955
"3496",2007,0.0427794422273135
"3497",2008,0.0358705313042896
"3498",2009,0.106609108501609
"3499",2010,0.0879794283009441
"3500",2011,0.0672486494977185
"3501",2012,0.0545358388756907
"3502",2013,0.0343614658022432
"3503",2014,0.0375148068629155
"3504",2015,0.0489449498469758
"3505",2016,0.057393259179784
"3506",2017,0.0452095909909981
"3507",2018,0.0747975409490896
"3508",2019,0.101889436001216
