"","YEAR","strat.biomass"
"1",1963,166.466918452873
"2",1964,362.435570164493
"3",1965,204.300917121063
"4",1966,214.001172334469
"5",1967,206.567855270891
"6",1968,128.986502490344
"7",1969,395.052520296258
"8",1970,96.4873331167218
"9",1971,52.4180115245977
"10",1972,136.130839950788
"11",1973,36.73171108265
"12",1974,28.1308165474219
"13",1975,89.8664792606213
"14",1976,37.1483580856481
"15",1977,77.8554276698363
"16",1978,37.5620239330183
"17",1979,105.858105331628
"18",1980,57.8789167315984
"19",1981,193.864740574861
"20",1982,42.1937968317797
"21",1983,46.3107506778565
"22",1984,98.2160766885533
"23",1985,68.388540010089
"24",1986,20.0871465472555
"25",1987,37.882937143274
"26",1988,70.1150243355595
"27",1989,93.1590057865201
"28",1990,25.0377617870022
"29",1991,21.8120321414103
"30",1992,25.9772918585433
"31",1993,12.7788233211525
"32",1994,12.4079647237941
"33",1995,23.3912255408856
"34",1996,49.2328557481402
"35",1997,48.7072277617413
"36",1998,126.656919042224
"37",1999,52.5339176552383
"38",2000,49.8867637032071
"39",2001,58.7868295382997
"40",2002,88.2176547684374
"41",2003,128.522393673698
"42",2004,122.170213042462
"43",2005,99.4036503365913
"44",2006,107.61482923311
"45",2007,37.054996602569
"46",2008,31.0504560605596
"47",2009,69.2399021019848
"48",2010,82.8571384793892
"49",2011,170.676262666614
"50",2012,162.551455796489
"51",2013,141.610206405646
"52",2014,28.8021000880406
"53",2015,142.562554820088
"54",2016,51.6425977203736
"55",2018,38.4573776426121
"56",2019,35.3736672047588
