,YEAR,Ratio
1,1963,37.53067971
2,1964,27.05642055
3,1965,37.27029394
4,1966,33.53794276
5,1967,30.3492125
6,1968,5.707931991
7,1969,12.61971835
8,1970,12.78375775
9,1971,3.258858189
10,1972,9.401627441
11,1973,0.824655268
12,1974,1.224314759
13,1975,3.609638287
14,1976,1.292212178
15,1977,3.645498907
16,1978,1.93550335
17,1979,3.427584035
18,1980,1.576227473
19,1981,4.384462065
20,1982,1.073260262
21,1983,0.927809326
22,1984,1.370435603
23,1985,0.948259308
24,1986,0.56795773
25,1987,2.555756156
26,1988,1.617556296
27,1989,1.930146543
28,1990,0.693531585
29,1991,1.14505038
30,1992,1.646405638
31,1993,0.323479793
32,1994,0.207171293
33,1995,1.149108216
34,1996,2.155921156
35,1997,1.908098529
36,1998,12.2132615
37,1999,1.446942153
38,2000,1.361656716
39,2001,2.069652538
40,2002,3.473470951
41,2003,6.360088533
42,2004,6.12417537
43,2005,6.700478214
44,2006,2.320757183
45,2007,2.045911135
46,2008,1.336268315
47,2009,1.741224675
48,2010,1.602261967
49,2011,5.994401228
50,2012,3.691643552
51,2013,3.337563869
52,2014,0.528853595
53,2015,2.707584481
54,2016,1.209438211
55,2018,0.726425197
56,2019,0.997965022
