,YEAR,Ratio
1,1968,34.56763357
2,1969,12.84066356
3,1970,14.85355524
4,1971,29.64606604
5,1972,31.06462204
6,1973,16.83197739
7,1974,20.77611387
8,1975,13.66655467
9,1976,8.712222209
10,1977,36.58675173
11,1978,16.18259431
12,1979,8.121833389
13,1980,19.41177865
14,1981,33.9051586
15,1982,22.4799731
16,1983,6.265929461
17,1984,24.12805335
18,1985,98.97503078
19,1986,11.81824038
20,1987,57.60569245
21,1988,58.16428257
22,1989,48.66795001
23,1990,70.2148087
24,1991,28.52902032
25,1992,71.23599616
26,1993,43.04225573
27,1994,29.4116229
28,1995,20.13102325
29,1996,82.91506836
30,1997,18.5545374
31,1998,25.64926609
32,1999,15.77412623
33,2000,9.043393482
34,2001,5.580836254
35,2002,5.760891246
36,2003,47.84012716
37,2004,17.84891321
38,2005,9.302669711
39,2006,7.59053265
40,2007,11.02623189
41,2008,24.02238343
42,2009,35.34541475
43,2010,14.94847994
44,2011,61.46870225
45,2012,18.17588647
46,2013,32.98851349
47,2014,3.87628084
48,2015,12.75634286
49,2016,1.956777829
50,2017,5.698510864
51,2018,18.19907342
52,2019,12.06845375
53,2020,27.00345161
