"","YEAR","strat.biomass"
"1",1968,28.4556623622717
"2",1969,23.6789157799765
"3",1970,21.4331794327554
"4",1971,17.8918082050824
"5",1972,12.1565413903049
"6",1973,106.368338123007
"7",1974,27.6073223902368
"8",1975,10.4485832276953
"9",1976,16.3165121766528
"10",1977,5.72775235641131
"11",1978,12.5712731651254
"12",1979,12.4984193384806
"13",1980,10.8804210642356
"14",1981,16.2230715988052
"15",1982,12.7910420657557
"16",1983,15.981604617803
"17",1984,11.661166702835
"18",1985,9.60904309256716
"19",1986,34.2045452130322
"20",1987,25.2917586974365
"21",1988,25.9892622270724
"22",1989,8.22059306906193
"23",1990,10.0525833740824
"24",1991,23.1267865709606
"25",1992,18.3029495629968
"26",1993,25.9106789674819
"27",1994,24.8338813561398
"28",1995,26.8468670323025
"29",1996,53.3955540305216
"30",1997,29.7305872836855
"31",1998,28.3706926503596
"32",1999,65.0816753953825
"33",2000,15.1701116391103
"34",2001,32.1666420895919
"35",2002,62.3736407802291
"36",2003,19.6880525528701
"37",2004,14.3820751464899
"38",2005,19.1512132026641
"39",2006,52.5910259558519
"40",2007,16.999940320949
"41",2008,61.3858640840179
"42",2009,52.913674823888
"43",2010,15.9264118430824
"44",2011,23.045134677657
"45",2012,20.0695078528178
"46",2013,9.17868665743769
"47",2014,55.9303052463531
"48",2015,9.39799244230264
"49",2016,60.4041237123785
"50",2017,17.718987806114
"51",2018,22.2562991679554
"52",2019,22.5912806305261
"53",2020,4.27398343381481
