"","YEAR","strat.biomass"
"1",1968,864.009719436481
"2",1969,688.251790612352
"3",1970,503.758963709616
"4",1971,670.502928375258
"5",1972,674.185634499747
"6",1973,742.646492553315
"7",1974,820.75551373166
"8",1975,673.202137013606
"9",1976,559.656615530264
"10",1977,594.942294595474
"11",1978,424.78382163755
"12",1979,276.377250767517
"13",1980,772.901137059837
"14",1981,606.916885076878
"15",1982,703.121748084636
"16",1983,366.04239457575
"17",1984,322.524368669985
"18",1985,1472.27064313634
"19",1986,428.108906139112
"20",1987,1159.62618031798
"21",1988,1171.5234348649
"22",1989,872.908825968168
"23",1990,899.66571864363
"24",1991,883.80395704612
"25",1992,677.045085778129
"26",1993,280.833193218291
"27",1994,184.072213190568
"28",1995,214.178447888371
"29",1996,366.650281115568
"30",1997,480.983076507581
"31",1998,160.294975069033
"32",1999,599.675477682538
"33",2000,133.676436143726
"34",2001,90.955172303812
"35",2002,474.969371973679
"36",2003,225.390864964635
"37",2004,99.2513842765659
"38",2005,65.0055252627346
"39",2006,230.148471386706
"40",2007,215.042520492578
"41",2008,434.337122025822
"42",2009,706.7674246459
"43",2010,402.374567346951
"44",2011,553.227444120862
"45",2012,938.591100747037
"46",2013,631.748445384955
"47",2014,450.317539207233
"48",2015,287.46452902492
"49",2016,265.880288367312
"50",2017,270.646445572602
"51",2018,615.18170752053
"52",2019,456.318646776054
"53",2020,340.567071079859
