"","YEAR","strat.biomass"
"1",1963,3.7068734214864
"2",1964,11.2136112973567
"3",1965,10.0946413298298
"4",1966,14.4122837328212
"5",1967,15.718451149746
"6",1968,24.9766878724167
"7",1969,40.8036722154123
"8",1970,9.22606853114343
"9",1971,12.6673072313746
"10",1972,12.9157025094336
"11",1973,30.8328574435487
"12",1974,17.8577416603567
"13",1975,17.9483335240495
"14",1976,34.6918324385945
"15",1977,19.7770817446466
"16",1978,18.2638227324546
"17",1979,35.6175374098956
"18",1980,35.8003186963109
"19",1981,53.4413724800547
"20",1982,36.7338824725463
"21",1983,45.3901870648636
"22",1984,63.2921570892468
"23",1985,63.6485483161694
"24",1986,26.498409840765
"25",1987,12.6242009277656
"26",1988,35.5401481221161
"27",1989,48.5059000285389
"28",1990,30.4616206862522
"29",1991,17.7481125599473
"30",1992,13.5406122154169
"31",1993,34.6288679231392
"32",1994,49.3909717652422
"33",1995,13.0613547988971
"34",1996,40.2669832169215
"35",1997,21.6237442898689
"36",1998,11.9406722276396
"37",1999,29.9482957864503
"38",2000,31.1557272294278
"39",2001,15.2700422086419
"40",2002,19.3057230535269
"41",2003,14.0077434926317
"42",2004,10.6904359390321
"43",2005,14.0889057255437
"44",2006,38.8885491200535
"45",2007,11.43812569997
"46",2008,16.5819922497325
"47",2009,32.6367880503604
"48",2010,26.2166802275516
"49",2011,15.6443284237964
"50",2012,27.1153451636264
"51",2013,32.298533649992
"52",2014,36.8167590602538
"53",2015,31.8274640218026
"54",2016,25.8725994198276
"55",2018,26.2922080419776
"56",2019,29.9367553295922
