"","YEAR","freq"
"1",1968,41
"2",1969,42
"3",1970,41
"4",1971,51
"5",1972,48
"6",1973,45
"7",1974,61
"8",1975,49
"9",1976,64
"10",1977,53
"11",1978,57
"12",1979,45
"13",1980,51
"14",1981,50
"15",1982,47
"16",1983,45
"17",1984,44
"18",1985,52
"19",1986,53
"20",1987,42
"21",1988,49
"22",1989,45
"23",1990,37
"24",1991,39
"25",1992,40
"26",1993,45
"27",1994,45
"28",1995,44
"29",1996,43
"30",1997,47
"31",1998,43
"32",1999,50
"33",2000,54
"34",2001,47
"35",2002,52
"36",2003,52
"37",2004,47
"38",2005,43
"39",2006,44
"40",2007,51
"41",2008,50
"42",2009,65
"43",2010,62
"44",2011,68
"45",2012,66
"46",2013,60
"47",2014,62
"48",2015,53
"49",2016,63
"50",2017,54
"51",2018,52
"52",2019,52
"53",2020,43
