"","YEAR","strat.biomass"
"3747",1968,0.0492677339249066
"3748",1969,0.00685373281836779
"3749",1970,0.007836149555498
"3750",1971,0.0120297157921915
"3751",1972,0
"3752",1973,0.00631445634899697
"3753",1974,0.181198526117113
"3754",1975,0.0242422648596228
"3755",1976,0.0297514224824065
"3756",1977,0.0160422014412127
"3757",1978,0.00471966747391745
"3758",1979,0.0411551135746169
"3759",1980,0.0211784256600012
"3760",1981,0.0455691884827614
"3761",1982,0.0709796102352916
"3762",1983,0.0112254988652235
"3763",1984,0.00525094266994346
"3764",1985,0.00948703160187422
"3765",1987,0.0189342036769584
"3766",1988,0.00838775459818889
"3767",1989,0.00676548894535389
"3768",1990,0.010009589146048
"3769",1991,0.188300065144129
"3770",1992,0.0280571968229111
"3771",1993,0.0690486687769516
"3772",1994,0.0168891049718672
"3773",1995,0.048509242719762
"3774",1996,0.00762308613561002
"3775",1997,0.00559183639879259
"3776",1998,0.0700111889543255
"3777",1999,0.0400529247466871
"3778",2000,0.0119342286238867
"3779",2001,0.0158460905679297
"3780",2002,0.00345206472534701
"3781",2003,0.00248969993189023
"3782",2004,0.0142316495050956
"3783",2005,0.00100471219140707
"3784",2006,0.0231722200707932
"3785",2007,0.0342358604740482
"3786",2008,0.00394494707517819
"3787",2009,0.230666469525093
"3788",2010,0.0267708106534943
"3789",2011,0.0172099847763779
"3790",2012,0.173854300656055
"3791",2013,0.00544510407742972
"3792",2014,0.0559592376603297
"3793",2015,0.0133866269939599
"3794",2016,1.10647086061896
"3795",2017,0.0857653021690895
"3796",2018,0.0473531126933905
"3797",2019,0.155945707082356
"3798",2020,0.0967113100113751
