"","YEAR","strat.biomass"
"1",1963,177.256543903168
"2",1964,382.911586218632
"3",1965,218.01320723476
"4",1966,224.130177417204
"5",1967,217.082046818175
"6",1968,159.543119874382
"7",1969,437.899859290337
"8",1970,110.249567730257
"9",1971,74.6013796265183
"10",1972,159.004305939566
"11",1973,88.0470026522077
"12",1974,54.5694719570096
"13",1975,120.719417758166
"14",1976,71.0766435716877
"15",1977,104.987844435557
"16",1978,60.0330324238506
"17",1979,143.589932923096
"18",1980,104.193645499885
"19",1981,242.726283994765
"20",1982,88.3572208827758
"21",1983,109.056263405192
"22",1984,172.874559642708
"23",1985,146.085750019162
"24",1986,57.396201069094
"25",1987,55.0674745442164
"26",1988,115.714847512651
"27",1989,142.987985328892
"28",1990,64.4854552054476
"29",1991,45.8671537641489
"30",1992,43.4888476141942
"31",1993,53.0436386339377
"32",1994,74.3521222759668
"33",1995,45.5835790948951
"34",1996,73.0140669220383
"35",1997,77.2185251906725
"36",1998,138.408071071072
"37",1999,91.1575571181989
"38",2000,88.9146206356083
"39",2001,89.5122862439624
"40",2002,116.198055731182
"41",2003,152.33735895836
"42",2004,145.437519087206
"43",2005,115.951135300196
"44",2006,156.496598646939
"45",2007,56.5125176329952
"46",2008,58.0324334208997
"47",2009,116.35948221764
"48",2010,147.069547801506
"49",2011,207.371813087409
"50",2012,215.17300851446
"51",2013,188.391006275333
"52",2014,92.697659893947
"53",2015,203.885508699082
"54",2016,99.8336244099586
"55",2018,98.92417237265
"56",2019,76.7220218652231
