"","YEAR","strat.biomass"
"1",1968,239.005446265302
"2",1969,158.285979873136
"3",1970,115.477740307669
"4",1971,176.78493281352
"5",1972,232.262816926323
"6",1973,246.398343415715
"7",1974,244.560577784412
"8",1975,142.990985164076
"9",1976,133.348154045321
"10",1977,132.048583406185
"11",1978,125.114104284201
"12",1979,66.3325521688663
"13",1980,201.96375536692
"14",1981,205.354476212691
"15",1982,240.197296123711
"16",1983,117.861235209735
"17",1984,116.743707622146
"18",1985,447.191514720749
"19",1986,169.345686681207
"20",1987,422.626986167832
"21",1988,419.433207875241
"22",1989,250.7189828555
"23",1990,306.430891419309
"24",1991,316.842983758222
"25",1992,232.05910742566
"26",1993,129.255468181213
"27",1994,84.1461393020059
"28",1995,100.96232160004
"29",1996,188.591717390604
"30",1997,200.0786863039
"31",1998,96.6609268390181
"32",1999,261.48397006269
"33",2000,70.9182911647888
"34",2001,78.611901935344
"35",2002,234.591888112786
"36",2003,105.720074614387
"37",2004,50.1633300187588
"38",2005,43.1940851414045
"39",2006,139.926106264118
"40",2007,94.6320982859653
"41",2008,217.387252798438
"42",2009,302.697205222594
"43",2010,164.9812061837
"44",2011,216.224507590569
"45",2012,358.802597848451
"46",2013,226.224832756539
"47",2014,255.13448605442
"48",2015,112.864631135842
"49",2016,166.960446911379
"50",2017,120.157029825794
"51",2018,236.455382605144
"52",2019,184.183547160678
"53",2020,129.040827279508
