SN,CruiseID,Station,Time [UTC],Bottom Depth [m],Lon,Lat,Pressure (db),Depth [m],Temp [°C],Salinity,pH,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma-Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,,TA,DIC,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out
1,NYOS1902,1.1,2/6/19 6:34,18.5,-71.9,41.001,,2,4.1028,30.6918,8.018,0.7914,5.06E-11,1024.3409,4.103,24.351,10.5287,321.205,10.6324,324.36832,99.025,,2083.5,1961.9,8.059,350.378,351.84,1850.3,92.3,19.4,47.8,0.8,0,0,14.94,2.25,1.41
2,NYOS1902,1.1,2/6/19 6:34,18.5,-71.9,41.001,,2,4.1028,30.6918,8.018,0.7914,5.06E-11,1024.3409,4.103,24.351,10.5287,321.205,10.6324,324.36832,99.025,,2081.9,1951.5,8.085,327.434,328.80,1836.1,97.3,18.1,50.3,0.9,0,0,14.50,2.37,1.48
3,NYOS1902,1.1,2/6/19 6:34,18.5,-71.9,41.001,,13,4.1028,30.6934,8.018,0.8271,1E-12,1024.3421,4.103,24.3523,10.515,320.786,10.63228,324.36452,98.897,,2098.5,1968.0,8.083,331.584,332.97,1852.0,97.7,18.3,50.2,0.9,0,0,14.56,2.38,1.49
4,NYOS1902,1.2,2/6/19 8:41,54,-71.81083333,40.75866667,,2,5.17,32.1049,8.037,0.4182,9.10E-02,1025.3532,5.1701,25.3619,10.0732,307.005,10.26441,312.8332,98.137,,2171.7,2036.0,8.054,367.320,368.83,1914.3,102.3,19.4,51.8,0.9,0,0,14.44,2.48,1.56
5,NYOS1902,1.2,2/6/19 8:41,54,-71.81083333,40.75866667,,10,5.1749,32.1109,8.034,0.4085,5.06E-11,1025.3573,5.175,25.3661,10.0528,306.384,10.2628,312.78281,97.954,,2171.1,2021.4,8.091,333.282,334.65,1893.5,110.4,17.6,55.8,1.0,0,0,13.82,2.67,1.68
6,NYOS1902,1.2,2/6/19 8:41,54,-71.81083333,40.75866667,,20,5.0974,32.1416,8.034,0.3387,5.06E-11,1025.3902,5.0976,25.399,9.9577,303.474,10.27966,313.28669,96.868,,2170.1,2026.4,8.076,345.978,347.40,1901.3,106.8,18.3,54.2,1.0,0,0,14.08,2.58,1.62
7,NYOS1902,1.2,2/6/19 8:41,54,-71.81083333,40.75866667,,30,5.3993,32.3396,8.037,0.2106,5.06E-11,1025.5129,5.3994,25.5218,9.8121,299.003,10.1926,310.59633,96.267,,2183.5,2032.6,8.086,338.825,340.22,1903.5,111.4,17.7,56.2,1.0,0,0,13.79,2.68,1.68
8,NYOS1902,1.2,2/6/19 8:41,54,-71.81083333,40.75866667,,40,6.3216,32.7366,8.027,0.1291,5.06E-11,1025.7157,6.3218,25.7243,9.483,288.916,9.9477,303.07371,95.329,,2203.1,2050.5,8.068,358.073,359.52,1919.5,113.0,18.0,56.5,1.1,0,0,13.74,2.71,1.71
9,NYOS1902,1.3,2/6/19 11:38,68,-71.72033333,40.86946667,,2,7.2332,33.0114,8.045,0.3502,5.72E+00,1025.8135,7.2333,25.8207,9.6877,295.123,9.72282,296.19451,99.638,,2222.3,2065.0,8.061,369.555,371.04,1930.4,116.6,18.0,57.5,1.2,0,0,13.57,2.81,1.77
10,NYOS1902,1.3,2/6/19 11:38,68,-71.72033333,40.86946667,,2,7.2332,33.0114,8.045,0.3502,5.72E+00,1025.8135,7.2333,25.8207,9.6877,295.123,9.72282,296.19451,99.638,,,2064.2,,,,,,,,,,,,,
11,NYOS1902,1.4,2/6/19 15:36,81,-71.63483333,40.47173333,67.586,67.056,6.9002,32.9421,8.022,0.2696,4.64E-04,1026.1222,6.8942,25.8121,9.4211,287.006,9.80194,298.60711,96.115,,2212.7,2085.4,7.986,442.685,444.47,1964.7,98.8,21.8,49.4,1.0,0,0,14.84,2.35,1.48
12,NYOS1902,1.4,2/6/19 15:36,81,-71.63483333,40.47173333,47.436,47.066,6.6682,32.8472,8.023,0.2457,3.15E-02,1025.9856,6.6641,25.7676,9.4858,288.988,9.86075,300.41192,96.197,,2213.8,2074.7,8.024,402.962,404.59,1949.2,105.5,20.1,52.6,1.0,0,0,14.33,2.52,1.59
13,NYOS1902,1.4,2/6/19 15:36,81,-71.63483333,40.47173333,26.618,26.412,6.7705,32.7906,8.032,0.4299,6.76E-01,1025.8317,6.7682,25.7094,9.6195,293.078,9.84113,299.8312,97.748,,2209.9,2067.7,8.033,394.536,396.13,1940.8,107.3,19.6,53.4,1.1,0,0,14.18,2.58,1.62
14,NYOS1902,1.4,2/6/19 15:36,81,-71.63483333,40.47173333,1.773,1.76,6.8451,32.7917,8.042,0.1922,5.12E+01,1025.7083,6.845,25.7002,9.681,294.954,9.82412,299.31551,98.543,,,2070.2,,,,,,,,,,,,,
15,NYOS1902,1.5,2/6/19 17:32,90,-71.54466667,40.0445,2.706,2.686,5.9672,32.6579,8.045,0.2071,5.81E+00,1025.7187,5.967,25.7063,9.9382,302.789,10.03571,305.7603,99.028,,2208.6,2075.4,8.024,403.791,405.44,1952.9,101.9,20.6,51.0,1.0,0,0,14.61,2.46,1.55
16,NYOS1902,1.5,2/6/19 17:32,90,-71.54466667,40.0445,15.781,15.659,6.2448,32.7371,8.044,0.4065,1.79E+00,1025.8073,6.2435,25.7346,9.7735,297.763,9.96551,303.61321,98.073,,2216.2,2080.2,8.025,403.728,405.37,1956.0,103.8,20.4,51.7,1.0,0,0,14.50,2.50,1.57
17,NYOS1902,1.5,2/6/19 17:32,90,-71.54466667,40.0445,30.973,30.733,7.4888,33.0854,8.041,0.1951,3.50E-01,1025.9856,7.4859,25.8439,9.0286,275.04,9.66154,294.32085,93.449,,2223.0,2086.0,8.002,429.563,431.28,1960.5,104.8,20.7,51.8,1.1,0,0,14.41,2.51,1.59
18,NYOS1902,1.5,2/6/19 17:32,90,-71.54466667,40.0445,51.043,50.646,10.2249,34.2765,8.096,0.0659,3.97E-02,1026.5794,10.219,26.3496,8.2899,252.413,9.02232,274.71279,91.883,,2284.6,2134.9,7.970,478.128,479.97,1999.6,114.3,20.9,54.9,1.4,0,0,13.91,2.71,1.72
19,NYOS1902,1.5,2/6/19 17:32,90,-71.54466667,40.0445,70.222,69.672,11.9034,34.882,8.084,0.0474,6.35E-03,1026.8309,11.8944,26.5176,7.4386,226.455,8.67214,264.00722,85.776,,2310.5,2125.8,8.017,427.517,429.13,1972.0,136.1,17.6,64.4,1.8,0,0,12.64,3.20,2.05
20,NYOS1902,1.6,2/6/19 21:01,770,-71.46083333,39.80066667,2.02,2.005,6.3352,32.8511,8.086,0.4032,9.19E+00,1025.8223,6.3351,25.813,10.0126,305.026,9.93703,302.7224,100.761,,2215.0,2067.0,8.054,374.125,375.64,1937.5,110.7,18.8,55.1,1.1,0,0,13.96,2.67,1.68
21,NYOS1902,1.6,2/6/19 21:01,770,-71.46083333,39.80066667,21.498,21.332,9.4764,33.9096,8.108,0.3975,7.34E-01,1026.2852,9.4741,26.1879,8.5313,259.803,9.19223,279.93049,92.81,,2264.6,2106.6,8.011,428.448,430.12,1968.7,118.6,19.3,57.3,1.4,0,0,13.57,2.83,1.80
