SN,CruiseID,Station,Time [UTC],Bottom Depth [m],Lon,Lat,Pressure (db),Depth [m],Temp [°C],Salinity,pH,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma-Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,,TA,DIC,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,,
2,NYOS1907,1.1,7/24/19 0:05,17,-71.91,41.00,2.401,2.383,19.4437,29.8311,4.843,0.9582,11.779,1020.9756,19.4433,20.9652,7.5681,231.649,7.70444,235.82307,98.23,,2022.1,1896.7,7.854,607.9,610.0,1777.2,98.9,20.6,44.8,2.4,0.0,0.0,14.031,2.45,1.57,,
1,NYOS1907,1.1,7/24/19 0:05,17,-71.91,41.00,13.875,13.767,18.2673,30.5798,4.834,1.2958,1.00E-11,1021.8871,18.265,21.8264,7.865,240.534,7.84222,239.83798,100.29,,2065.5,1933.2,7.875,581.7,583.7,1809.6,103.3,20.3,47.1,2.3,0.0,0.0,13.875,2.54,1.63,,
8,NYOS1907,1.2,7/24/19 4:49,52,-71.79,40.70,2.105,2.088,21.808,31.2458,8.104,0.3073,1.38E+00,1021.4299,21.8076,21.4208,7.5664,231.494,7.31645,223.84718,103.416,,2111.1,1918.5,7.960,476.0,477.5,1761.9,141.6,15.0,62.1,3.8,0.0,0.0,11.691,3.49,2.26,,
7,NYOS1907,1.2,7/24/19 4:49,52,-71.79,40.70,8.406,8.34,13.3538,32.0193,8.132,0.3434,2.53E-11,1024.0528,13.3527,24.0153,10.2245,312.027,8.56718,261.44936,119.345,,2162.4,1973.8,8.061,366.8,368.2,1822.2,136.9,14.7,64.2,2.2,0.0,0.0,12.145,3.32,2.11,,
6,NYOS1907,1.2,7/24/19 4:49,52,-71.79,40.70,18.234,18.092,10.2832,32.3365,8.128,0.4919,2.69E-11,1024.9082,10.2811,24.8259,10.4485,318.61,9.12344,278.20467,114.524,,2186.1,2006.3,8.080,349.1,350.4,1860.2,130.7,15.4,62.8,1.7,0.0,0.0,12.574,3.15,2.00,,
5,NYOS1907,1.2,7/24/19 4:49,52,-71.79,40.70,28.319,28.098,8.1859,32.4447,7.930,1.2649,2.53E-11,1025.3701,8.1832,25.2409,8.0223,244.528,9.54996,291.09299,84.004,,2196.8,2084.1,7.934,508.8,510.8,1968.9,91.1,24.1,44.8,1.0,0.0,0.0,15.450,2.19,1.38,,
4,NYOS1907,1.2,7/24/19 4:49,52,-71.79,40.70,38.73,38.427,8.0035,32.4781,7.869,0.2116,2.53E-11,1025.4706,7.9998,25.2937,7.151,217.959,9.58728,292.21556,74.589,,2200.9,2109.8,7.870,597.6,600.0,2001.9,79.5,28.5,39.2,0.8,0.0,0.0,16.495,1.91,1.20,,
3,NYOS1907,1.2,7/24/19 4:49,52,-71.79,40.70,48.772,48.389,7.9161,32.4915,7.862,0.1311,2.53E-11,1025.5398,7.9114,25.317,7.0333,214.366,9.60543,292.76192,73.222,,2204.5,2105.4,7.895,560.6,562.8,1994.8,83.8,26.8,41.3,0.9,0.0,0.0,16.127,2.01,1.27,,
14,NYOS1907,1.3,7/24/19 8:23,75,-71.68,40.40,2.384,2.366,23.4477,31.5597,8.161,0.1535,2.47E-02,1021.2094,23.4472,21.1992,7.1566,219.003,7.09366,217.07822,100.886,,2129.0,1920.1,7.965,472.2,473.7,1753.2,152.6,14.2,65.9,4.5,0.0,0.0,11.223,3.76,2.45,,
13,NYOS1907,1.3,7/24/19 8:23,75,-71.68,40.40,13.398,13.294,13.2813,32.1327,8.188,0.5415,2.53E-11,1024.1772,13.2795,24.1175,10.6023,323.525,8.57393,261.62936,123.658,,2168.7,2020.8,7.960,479.1,480.9,1889.1,112.5,19.2,52.9,1.7,0.0,0.0,13.649,2.72,1.73,,
12,NYOS1907,1.3,7/24/19 8:23,75,-71.68,40.40,28.351,28.131,8.5959,32.351,8.053,1.0917,2.53E-11,1025.2357,8.593,25.1066,9.3444,284.863,9.46821,288.63909,98.692,,2187.8,2048.2,8.005,423.4,425.1,1922.3,106.2,19.8,52.0,1.2,0.0,0.0,14.197,2.55,1.61,,
11,NYOS1907,1.3,7/24/19 8:23,75,-71.68,40.40,42.346,42.015,7.4851,32.492,8.002,0.4842,8.16E+03,1025.572,7.4812,25.3781,8.917,271.762,9.69998,295.62627,91.928,,2198.5,2079.5,7.961,472.3,474.2,1962.4,94.3,22.9,46.7,1.0,0.0,0.0,15.189,2.26,1.43,,
10,NYOS1907,1.3,7/24/19 8:23,75,-71.68,40.40,58.057,57.601,6.9736,32.6665,7.934,0.0579,2.53E-11,1025.8516,6.9685,25.5852,7.7361,235.727,9.80313,298.70968,78.915,,2207.6,2111.5,7.898,554.2,556.4,2002.3,81.8,27.3,40.8,0.8,0.0,0.0,16.308,1.95,1.23,,
9,NYOS1907,1.3,7/24/19 8:23,75,-71.68,40.40,74.717,74.128,7.0004,32.7132,7.934,0.0092,2.53E-11,1025.9613,6.9937,25.6185,7.7971,237.575,9.79409,298.42447,79.61,,2211.9,2100.3,7.942,495.5,497.5,1985.8,90.2,24.4,44.9,0.9,0.0,0.0,15.583,2.15,1.35,,
20,NYOS1907,1.4,7/24/19 12:03,86,-71.57,40.10,1.836,1.821,21.828,32.4616,8.237,0.2094,3.26E+01,1022.3458,21.8277,22.3379,7.6228,233.012,7.2621,221.98516,104.967,,2189.4,1951.0,8.029,404.6,406.0,1766.5,171.8,12.6,74.6,4.6,0.0,0.0,10.654,4.20,2.73,,
19,NYOS1907,1.4,7/24/19 12:03,86,-71.57,40.10,15.021,14.905,19.3786,32.496,8.215,0.3875,5.26E+00,1023.0784,19.3759,23.0132,8.5042,259.78,7.59276,231.93945,112.006,,2190.2,1964.7,8.039,393.7,395.1,1788.8,162.8,13.2,72.2,3.8,0.0,0.0,11.017,3.95,2.55,,
18,NYOS1907,1.4,7/24/19 12:03,86,-71.57,40.10,34.022,33.758,7.977,32.7713,8.041,0.6612,1.96E-01,1025.683,7.9737,25.5276,8.5865,261.651,9.57472,291.76614,89.678,,2210.5,2078.5,7.986,446.6,448.4,1955.3,102.0,21.2,50.2,1.1,0.0,0.0,14.596,2.45,1.54,,
17,NYOS1907,1.4,7/24/19 12:03,86,-71.57,40.10,50.109,49.719,7.6411,32.8375,8.022,0.0843,4.48E-13,1025.857,7.6364,25.6279,8.4078,256.182,9.64372,293.8401,87.184,,2212.5,2086.8,7.972,461.5,463.3,1966.4,98.3,22.2,48.6,1.0,0.0,0.0,14.892,2.35,1.48,,
16,NYOS1907,1.4,7/24/19 12:03,86,-71.57,40.10,66.457,65.937,8.0729,33.1812,8.020,-0.0154,4.49E-13,1026.1389,8.0663,25.8359,7.9145,241.104,9.52852,290.27088,83.062,,2231.9,2105.3,7.961,477.4,479.3,1983.4,99.3,22.6,48.9,1.1,0.0,0.0,14.869,2.36,1.49,,
15,NYOS1907,1.4,7/24/19 12:03,86,-71.57,40.10,85.597,84.923,10.8886,34.1877,8.071,-0.0099,3.65E-13,1026.5489,10.8783,26.1647,7.1442,217.566,8.89951,271.0223,80.276,,2282.0,2115.3,8.002,439.4,441.1,1972.1,124.5,18.8,59.4,1.6,0.0,0.0,13.247,2.93,1.87,,
27,NYOS1907,1.5,7/24/19 15:10,795,-71.46,39.79,2.961,2.938,23.8926,33.0012,8.256,0.0489,2.43E+01,1022.1732,23.892,22.1606,6.9711,213.128,6.98062,213.41805,99.864,,2215.8,1959.1,8.023,414.0,415.3,1762.3,184.5,12.2,78.9,5.5,0.0,0.0,10.265,4.50,2.95,,
25,NYOS1907,1.5,7/24/19 15:10,795,-71.46,39.79,52.09,51.685,8.7054,33.4119,8.080,0.0008,1.34E-01,1026.158,8.7001,25.9214,7.8318,238.563,9.38035,285.73333,83.491,,2242.2,2090.4,8.015,418.8,420.4,1956.8,114.2,19.4,55.7,1.3,0.0,0.0,13.794,2.72,1.72,,
26,NYOS1907,1.5,7/24/19 15:10,795,-71.46,39.79,52.09,51.685,8.7054,33.4119,8.080,0.0008,1.34E-01,1026.158,8.7001,25.9214,7.8318,238.563,9.38035,285.73333,83.491,,2241.7,2093.6,8.005,429.1,430.8,1961.7,112.0,19.8,54.7,1.2,0.0,0.0,13.943,2.67,1.69,,
24,NYOS1907,1.5,7/24/19 15:10,795,-71.46,39.79,125.293,124.298,13.34,35.5037,8.169,-0.058,9.60E-14,1027.2723,13.3225,26.7176,7.0252,213.827,8.38544,255.22967,83.778,,2339.5,2117.9,8.060,382.5,383.9,1943.2,159.7,15.0,74.6,2.4,0.0,0.0,11.569,3.71,2.38,,
23,NYOS1907,1.5,7/24/19 15:10,795,-71.46,39.79,251.586,249.511,11.476,35.4543,8.014,-0.0283,7.87E-14,1028.1693,11.4439,27.0475,4.2748,130.071,8.71881,265.29118,49.03,,2330.7,2178.7,7.931,527.0,529.0,2040.2,116.5,22.0,56.0,1.5,0.0,0.0,13.855,2.65,1.69,,
22,NYOS1907,1.5,7/24/19 15:10,795,-71.46,39.79,403.755,400.278,7.9049,35.1338,7.974,-0.0343,9.53E-14,1029.2291,7.8636,27.3994,5.1627,157.035,9.44361,287.24644,54.669,,2317.2,2180.2,7.947,488.4,490.3,2051.2,106.0,23.0,53.1,1.1,0.0,0.0,14.560,2.34,1.49,,
21,NYOS1907,1.5,7/24/19 15:10,795,-71.46,39.79,592.69,587.32,5.7619,35.0468,7.998,-0.043,1.15E-13,1030.3375,5.7103,27.6265,6.8577,208.543,9.92529,301.83113,69.093,,2312.2,2163.2,8.006,407.0,408.7,2031.3,111.3,20.6,57.4,1.0,0.0,0.0,14.141,2.36,1.50,,
