SN,CruiseID,Station,Time [UTC],Bottom Depth [m],Lon,Lat,Pressure (db),Depth [m],Temp [°C],Salinity,pH,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma-Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,,TA,DIC,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out
1,NYOS1910,1.15,10/5/19 23:32,27,-71.89916667,40.96066667,24.498,24.307,17.7385,31.9039,8.127,0.6148,2.53E-11,1023.0734,17.7344,22.9662,7.3083,223.259,7.85898,240.08272,92.992,,2150.2,1988.1,7.933,513.9,515.7,1847.8,122.2,18.1,55.4,2.5,0.0,0.0,12.917,2.97,1.91
2,NYOS1910,1.15,10/5/19 23:32,27,-71.89916667,40.96066667,9.96,9.883,17.5478,31.7343,8.095,0.8176,2.53E-11,1022.9249,17.5462,22.8813,7.3596,224.846,7.89579,241.22736,93.209,,2144.0,1989.1,7.921,529.8,531.7,1852.6,117.8,18.7,53.4,2.4,0.0,0.0,13.181,2.87,1.84
3,NYOS1910,1.15,10/5/19 23:32,27,-71.89916667,40.96066667,1.574,1.562,17.5906,31.6566,8.1,0.6893,6.81E-01,1022.8182,17.5903,22.8113,7.4774,228.459,7.89302,241.15906,94.734,,2134.8,1979.8,7.923,525.7,527.5,1843.6,117.7,18.6,53.4,2.4,0.0,0.0,13.151,2.87,1.84
4,NYOS1910,1.2,10/6/19 4:07,51.8,-71.79966667,40.69616667,50.317,49.922,9.2504,32.9577,7.842,0.1236,2.46E-11,1025.7086,9.2451,25.4805,5.1999,158.462,9.29492,283.25278,55.944,,2223.0,2154.2,7.773,770.1,773.2,2049.8,69.3,35.1,33.8,0.8,0.0,0.0,17.400,1.66,1.05
5,NYOS1910,1.2,10/6/19 4:07,51.8,-71.79966667,40.69616667,25.146,24.95,19.7348,33.6688,8.239,0.105,4.08E+03,1023.9258,19.7302,23.8169,7.3278,223.671,7.49035,228.63148,97.83,,2250.2,2014.8,8.029,411.1,412.5,1831.4,170.0,13.5,75.0,3.9,0.0,0.0,10.901,4.09,2.65
6,NYOS1910,1.2,10/6/19 4:07,51.8,-71.79966667,40.69616667,9.894,9.817,19.017,32.8383,8.242,0.1992,2.51E-11,1023.409,19.0152,23.3659,7.5061,229.213,7.62844,232.949,98.396,,2208.8,1985.6,8.032,403.2,404.5,1810.6,161.4,13.6,71.7,3.6,0.0,0.0,11.129,3.91,2.53
7,NYOS1910,1.2,10/6/19 4:07,51.8,-71.79966667,40.69616667,1.701,1.688,18.8941,32.7914,8.24,0.1852,5.00E+00,1023.368,18.8938,23.3606,7.5155,229.502,7.64815,233.55197,98.266,,2201.7,1980.7,8.032,403.2,404.6,1807.2,159.8,13.6,71.2,3.6,0.0,0.0,11.169,3.88,2.50
8,NYOS1910,1.3,10/6/19 9:08,75,-71.6905,40.39833333,72.744,72.172,13.1614,34.8381,8.029,0.0579,2.53E-11,1026.5597,13.1513,26.2369,4.9734,151.447,8.45119,257.35136,58.848,,2311.1,2163.5,7.910,566.9,569.0,2026.2,114.8,22.5,53.7,1.6,0.0,0.0,13.938,2.70,1.73
9,NYOS1910,1.3,10/6/19 9:08,75,-71.6905,40.39833333,59.922,59.452,10.948,33.3028,7.995,0.1005,2.53E-11,1025.7338,10.9408,25.4645,6.4781,197.415,8.9384,272.39255,72.474,,2242.7,2129.9,7.876,602.4,604.7,2011.0,93.0,25.9,44.5,1.2,0.0,0.0,15.387,2.21,1.41
10,NYOS1910,1.3,10/6/19 9:08,75,-71.6905,40.39833333,41.029,40.709,21.1888,34.9973,8.236,0.2918,2.53E-11,1024.6189,21.1809,24.4425,6.6377,202.482,7.2377,220.78463,91.71,,2317.6,2063.6,8.016,433.1,434.5,1866.7,183.3,13.6,79.9,4.4,0.0,0.0,10.589,4.36,2.85
11,NYOS1910,1.3,10/6/19 9:08,75,-71.6905,40.39833333,41.029,40.709,21.1888,34.9973,8.236,0.2918,2.53E-11,1024.6189,21.1809,24.4425,6.6377,202.482,7.2377,220.78463,91.71,,2317.2,2062.6,8.017,431.7,433.2,1865.4,183.6,13.5,80.0,4.4,0.0,0.0,10.577,4.37,2.85
12,NYOS1910,1.3,10/6/19 9:08,75,-71.6905,40.39833333,25.914,25.713,21.0659,34.6263,8.286,0.1832,2.53E-11,1024.3044,21.0609,24.1928,7.1621,218.532,7.26954,221.81006,98.522,,2295.3,2028.7,8.050,392.8,394.1,1825.4,190.9,12.4,83.4,4.7,0.0,0.0,10.275,4.57,2.97
13,NYOS1910,1.3,10/6/19 9:08,75,-71.6905,40.39833333,9.764,9.689,19.2337,33.4327,8.259,0.1478,2.64E-11,1023.8072,19.2319,23.7649,7.4594,227.697,7.57082,231.09932,98.528,,2237.5,1996.9,8.052,384.9,386.2,1811.2,172.9,12.9,76.7,3.9,0.0,0.0,10.755,4.17,2.70
