"","SVSPP","YEAR","N","strat.biomass","biomass.var","biomass.SE","strat.abund","abund.var","abund.SE","tot.biomass","tot.bio.var","tot.bio.SE","tot.abundance","tot.abund.var","tot.abund.SE","RPATH","SCINAME","Fall.q","biomass.t_area"
"1",0,1968,40,0,0,0,0.0228438197550005,0.00354545431958441,0.0595437177171901,0,0,0,21422,3117798126.05074,55837.2467628083,NA,"UNIDENTIFIED FISH",0.175,0
"2",0,1969,38,0,0,0,0.0433843745028654,0.00172447927952055,0.041526850103524,0,0,0,40684,1516470889.61303,38941.8911920444,NA,"UNIDENTIFIED FISH",0.175,0
"3",0,1971,46,0,0,0,0.116716204959475,0.00825242558518114,0.0908428620486009,0,0,0,109451,7257009879.58769,85188.0853147181,NA,"UNIDENTIFIED FISH",0.175,0
"4",0,1983,37,0.000952431109294266,6.15686778192795e-06,0.00248130364565241,0.0209462209704429,0.00128127388965372,0.0357948863617937,893.144279751379,5414220.32341605,2326.84772243825,19642,1126725370.58336,33566.7301145548,NA,"UNIDENTIFIED FISH",0.175,0.000141730819835456
"5",0,1985,34,0.00190486221858853,2.81765489988619e-05,0.0053081587202025,0.0190486221858853,0.00281765489988619,0.053081587202025,1786.28855950276,24777865.8949203,4977.73702548862,17863,2477786589.49203,49777.3702548862,NA,"UNIDENTIFIED FISH",0.175,0.000283461639670912
"6",0,1986,38,0,0,0,0.00952431109294266,0.000590304370110026,0.024296180154708,0,0,0,8931,519101275.332278,22783.7941382088,NA,"UNIDENTIFIED FISH",0.175,0
"7",0,1989,33,0,0,0,0.0228438197550005,0,0,0,0,0,21422,0,0,NA,"UNIDENTIFIED FISH",0.175,0
"8",0,1995,31,0,0,0,0.0418924419408858,0,0,0,0,0,39285,0,0,NA,"UNIDENTIFIED FISH",0.175,0
"9",0,1997,33,0,0,0,0.0228438197550005,0,0,0,0,0,21422,0,0,NA,"UNIDENTIFIED FISH",0.175,0
"10",0,1998,33,0,0,0,0.0241302516001919,0.00116819839412869,0.0341789173925782,0,0,0,22628,1027289152.74724,32051.351808422,NA,"UNIDENTIFIED FISH",0.175,0
"11",1,1965,29,0,0,0,0.00761460658500018,0.00064987195923108,0.0254925863582156,0,0,0,7141,571483763.158761,23905.7265766753,"OtherDemersals","MYXINE GLUTINOSA",0.145,0
"12",1,1966,34,0.00571095493875013,0.000126430655414866,0.0112441387137862,0.0447388401177223,0.00376583455868715,0.0613663960053639,5355.46002822409,111180465.180564,10544.214773067,41954,3311595883.56174,57546.4671683826,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.00102567437836748
"13",1,1967,43,0,0,0,0.0439178302725776,0.00509619803168108,0.0713876602199644,0,0,0,41184,4481489603.5725,66943.9288029355,"OtherDemersals","MYXINE GLUTINOSA",0.145,0
"14",1,1969,38,0,0,0,0.0190486221858853,0.00236121748044011,0.048592360309416,0,0,0,17863,2076405101.32911,45567.5882764176,"OtherDemersals","MYXINE GLUTINOSA",0.145,0
"15",1,1972,44,0,0,0,0.0152352660316928,0.000725783284794829,0.0269403653426383,0,0,0,14287,638238589.833958,25263.3843701504,"OtherDemersals","MYXINE GLUTINOSA",0.145,0
"16",1,1974,37,0.0513985944487512,0.0134781390070838,0.116095387535784,0.909957592630906,4.04943198612828,2.01232005062025,48199.1402540168,11852392599.3955,108868.694303714,853315,3560985509862.84,1887057.36793104,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.00923106940530733
"17",1,1976,42,0.00304584263400007,5.8551673770371e-05,0.00765190654480117,0.0380730329250009,0.00914869902662047,0.0956488318100147,2856.24534838618,51489113.1864295,7175.59148686918,35703,8045173935.37961,89694.8935858648,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000547026335129323
"18",1,1977,37,0.00342657296325008,5.99028400314835e-05,0.00773969250238557,0.0342657296325008,0.00599028400314835,0.0773969250238557,3213.27601693445,52677300.4417579,7257.91295358093,32133,5267730044.17579,72579.1295358093,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000615404627020489
"19",1,1981,37,0.00228438197550005,2.66234844584371e-05,0.00515979500159038,0.0456876395100011,0.0106493937833748,0.103195900031808,2142.18401128963,23412133.5296702,4838.60863572062,42844,9364853411.86808,96772.1727144125,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000410269751346992
"20",1,1983,37,0.0028572933278828,6.15686778192795e-06,0.00248130364565241,0.0190486221858853,0,0,2679.43283925414,5414220.32341605,2326.84772243825,17863,0,0,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000513163313197342
"21",1,1985,34,0.00190486221858853,2.81765489988619e-05,0.0053081587202025,0.00952431109294266,0.000704413724971546,0.0265407936010125,1786.28855950276,24777865.8949203,4977.73702548862,8931,619446647.373007,24888.6851274431,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000342108875464894
"22",1,1992,33,0.0028572933278828,6.65105747912533e-05,0.00815540157142818,0.0476215554647133,0.018475159664237,0.135923359523803,2679.43283925414,58488003.7238878,7647.74500907868,44657,16246667701.08,127462.416817978,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000513163313197342
"23",1,2002,32,0.00159906738285004,0,0,0.0228438197550005,0,0,1499.52880790274,0,0,21422,0,0,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000287188825942895
"24",1,2004,33,0.000914333864922495,0,0,0.0190486221858853,0,0,857.418508561324,0,0,17863,0,0,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000164212260223149
"25",1,2010,45,0.00363132294019501,1.09966562841527e-05,0.00331612066791193,0.0514167530338285,0.00144404827521457,0.0380006351948828,3405.280739274,9670228.76762777,3109.69914423048,48216,1269865749.36848,35635.1757308489,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000652177252190196
"26",1,2014,42,0.00512407936800315,0.000164409730215557,0.0128222357728891,0.0571458665576559,0.0191830366682566,0.138502839928489,4805.11622506242,144578466.5562,12024.0786156861,53589,16869159883.3697,129881.330003083,"OtherDemersals","MYXINE GLUTINOSA",0.145,0.000920272875000566
