"","SVSPP","RPATH","SCINAME","COMNAME","MeanLAT","LAT 10th","LAT 90th"
"1",0,NA,"UNIDENTIFIED FISH","UNCLASSIFIED FISH",39.8411765882353,39.4066669,40.636667
"2",1,"OtherDemersals","MYXINE GLUTINOSA","ATLANTIC HAGFISH",39.84466678,39.7783333,39.983333
"3",3,"Sharks","CARCHARHINUS OBSCURUS","DUSKY SHARK",40.141667,39.881667,40.401667
"4",4,"Rays","DASYATIS CENTROURA","ROUGHTAIL STINGRAY",40.425,40.085,40.765
"5",6,"Sharks","CETORHINUS MAXIMUS","BASKING SHARK",39.816667,39.816667,39.816667
"6",9,"Sharks","CARCHARHINUS PLUMBEUS","SANDBAR SHARK",39.7972223333333,39.6083335,40.05
"7",13,"SmoothDogfish","MUSTELUS CANIS","SMOOTH DOGFISH",40.5721471058558,40.133333,41.033333
"8",14,"Sharks","SCYLIORHINUS RETIFER","CHAIN DOGFISH",39.8170069183673,39.416667,40.176667
"9",15,"SpinyDogfish","SQUALUS ACANTHIAS","SPINY DOGFISH",40.5050478618566,39.716667,41.1
"10",20,"OtherSkates","RAJA ","OCELLATE SKATES",40.3666665,39.9399997,40.7933333
"11",21,"Freshwater","TORPEDO NOBILIANA","ATLANTIC TORPEDO",41,40.7,41.25
"12",22,"Barndoor","DIPTURUS LAEVIS","BARNDOOR SKATE",40.6125,40.466667,40.808333
"13",23,"WinterSkate","LEUCORAJA OCELLATA","WINTER SKATE",40.6914191287128,40.166667,41.0966666
"14",24,"OtherSkates","RAJA EGLANTERIA","CLEARNOSE SKATE",39.9116668,39.7116664,40.0033333
"15",25,"OtherSkates","LEUCORAJA GARMANI","ROSETTE SKATE",39.5858025555555,39.2,40.1266668
"16",26,"LittleSkate","LEUCORAJA ERINACEA","LITTLE SKATE",40.5232464086193,39.883333,41.033333
"17",27,"OtherSkates","MALACORAJA SENTA","SMOOTH SKATE",39.78333325,39.5533331,40
"18",31,"SmPelagics","ETRUMEUS TERES","ROUND HERRING",40.3890009769452,39.683333,40.95
"19",32,"AtlHerring","CLUPEA HARENGUS","ATLANTIC HERRING",40.6365497017544,40.3366666,41.05
"20",33,"RiverHerring","ALOSA PSEUDOHARENGUS","ALEWIFE",40.846014597826,40.366667,41.2966667
"21",34,"RiverHerring","ALOSA AESTIVALIS","BLUEBACK HERRING",40.6074712068965,40.366667,41.183333
"22",35,"AmShad","ALOSA SAPIDISSIMA","AMERICAN SHAD",40.4584291091954,40.15,41.183333
"23",43,"SmPelagics","ANCHOA MITCHILLI","BAY ANCHOVY",40.8807018421053,40.016667,41.333333
"24",44,"SmPelagics","ANCHOA HEPSETUS","STRIPED ANCHOVY",41.333333,41.333333,41.333333
"25",46,"SmPelagics","ARGENTINA SILUS","ATLANTIC ARGENTINE",39.7608108378379,39.266667,40.15
"26",47,"Mesopelagics","CHLOROPHTHALMIDAE","GREENEYE UNCL",39.8271604444445,39.683333,40.0233334
"27",54,"Mesopelagics","CERATOSCOPELUS MADERENSIS","HORNED LANTERNFISH",39.516667,39.516667,39.516667
"28",56,"Mesopelagics","MYCTOPHIDAE","LANTERNFISH UNCL",39.7689102564103,39.366667,40.016667
"29",60,"OtherDemersals","ANGUILLIFORMES","EEL UNCL",40.038889,39.8083335,40.1916665
"30",61,"Mesopelagics","DIAPHUS ","HEADLIGHTFISH UNCL",39.233333,39.233333,39.233333
"31",63,"OtherDemersals","CONGER OCEANICUS","CONGER EEL",40.1630342051282,39.4116669,40.745
"32",65,"OtherDemersals","OPHICHTHUS CRUENTIFER","MARGINED SNAKE EEL",40.18533332,39.7966666,40.533333
"33",67,"OtherDemersals","NEMICHTHYS SCOLOPACEUS","SLENDER SNIPE EEL",39.533333,39.533333,39.533333
"34",69,"OffHake","MERLUCCIUS ALBIDUS","OFFSHORE HAKE",39.7184454802785,39.366667,40
"35",72,"SilverHake","MERLUCCIUS BILINEARIS","SILVER HAKE",40.3638171476628,39.75,40.883333
"36",73,"Cod","GADUS MORHUA","ATLANTIC COD",40.936904875,40.55,41.266667
"37",73,"Cod","GADUS MORHUA","ATLANTIC COD",40.936904875,40.55,41.266667
"38",74,"Haddock","MELANOGRAMMUS AEGLEFINUS","HADDOCK",40.2116370295858,39.616667,40.833333
"39",74,"Haddock","MELANOGRAMMUS AEGLEFINUS","HADDOCK",40.2116370295858,39.616667,40.833333
"40",75,"Pollock","POLLACHIUS VIRENS","POLLOCK",40.90666664,40.493333,41.25
"41",75,"Pollock","POLLACHIUS VIRENS","POLLOCK",40.90666664,40.493333,41.25
"42",76,"WhiteHake","UROPHYCIS TENUIS","WHITE HAKE",40.3593418757962,39.816667,40.733333
"43",76,"WhiteHake","UROPHYCIS TENUIS","WHITE HAKE",40.3593418757962,39.816667,40.733333
"44",77,"RedHake","UROPHYCIS CHUSS","RED HAKE",40.3226228798033,39.766667,40.766667
"45",78,"OtherDemersals","UROPHYCIS REGIA","SPOTTED HAKE",39.9346536126542,39.4,40.383333
"46",79,"OtherDemersals","UROPHYCIS CHESTERI","LONGFIN HAKE",39.7308642407407,39.366667,39.983333
"47",80,"OtherDemersals","GADIDAE","HAKE UNCL",39.8444446666667,39.6133336,40.0133336
"48",81,"OtherDemersals","ANTIMORA ROSTRATA","BLUE HAKE",39.525,39.5183336,39.5316664
"49",82,"OtherDemersals","PHYSICULUS FULVUS","METALLIC CODLING",40.25,40.25,40.25
"50",83,"Freshwater","ENCHELYOPUS CIMBRIUS","FOURBEARD ROCKLING",40.3563492380952,39.866667,40.633333
"51",86,"OtherDemersals","MERLUCCIUS ","HAKES",39.3803030909091,39.233333,39.466667
