"","SVSPP","RPATH","SCINAME","COMNAME","MeanLAT","LAT 10th","LAT 90th"
"1",0,NA,"UNIDENTIFIED FISH","UNCLASSIFIED FISH",39.6833334,39.253333,39.966667
"2",1,"OtherDemersals","MYXINE GLUTINOSA","ATLANTIC HAGFISH",39.82666659,39.278333,40.016667
"3",2,"Freshwater","PETROMYZON MARINUS","SEA LAMPREY",40.04866648,39.7133332,40.4933332
"4",14,"Sharks","SCYLIORHINUS RETIFER","CHAIN DOGFISH",39.8017241034483,39.3416668,40.1883331
"5",15,"SpinyDogfish","SQUALUS ACANTHIAS","SPINY DOGFISH",40.0697393164099,39.483333,40.55
"6",20,"OtherSkates","RAJA ","OCELLATE SKATES",40.616667,40.616667,40.616667
"7",21,"Freshwater","TORPEDO NOBILIANA","ATLANTIC TORPEDO",39.8095237857143,39.25,40.266667
"8",22,"Barndoor","DIPTURUS LAEVIS","BARNDOOR SKATE",40.3138886666667,40.1166665,40.5916665
"9",23,"WinterSkate","LEUCORAJA OCELLATA","WINTER SKATE",40.6851970303514,40.116667,41.083333
"10",24,"OtherSkates","RAJA EGLANTERIA","CLEARNOSE SKATE",40.25,40.0366664,40.4633336
"11",25,"OtherSkates","LEUCORAJA GARMANI","ROSETTE SKATE",39.4194441666667,39.2416665,39.583333
"12",26,"LittleSkate","LEUCORAJA ERINACEA","LITTLE SKATE",40.4766027194205,39.866667,41.033333
"13",27,"OtherSkates","MALACORAJA SENTA","SMOOTH SKATE",40.0416665,40.0349997,40.0483333
"14",31,"SmPelagics","ETRUMEUS TERES","ROUND HERRING",39.316667,39.316667,39.316667
"15",32,"AtlHerring","CLUPEA HARENGUS","ATLANTIC HERRING",40.5002818156916,39.883333,41.083333
"16",33,"RiverHerring","ALOSA PSEUDOHARENGUS","ALEWIFE",40.3091152910528,39.766667,40.883333
"17",34,"RiverHerring","ALOSA AESTIVALIS","BLUEBACK HERRING",40.3334850238908,39.733333,40.983333
"18",35,"AmShad","ALOSA SAPIDISSIMA","AMERICAN SHAD",40.2087981513945,39.75,40.766667
"19",36,"OtherPelagics","BREVOORTIA","MENHADEN",40.5933333,40.3066667,40.966667
"20",37,"OtherPelagics","ALOSA MEDIOCRIS","HICKORY SHAD",40.2074073333333,39.816667,40.483333
"21",44,"SmPelagics","ANCHOA HEPSETUS","STRIPED ANCHOVY",40.8833336666667,40.416667,41.216667
"22",46,"SmPelagics","ARGENTINA SILUS","ATLANTIC ARGENTINE",39.8727778,39.2883333,40.2
"23",47,"Mesopelagics","CHLOROPHTHALMIDAE","GREENEYE UNCL",39.6603448965517,39.233333,40.016667
"24",54,"Mesopelagics","CERATOSCOPELUS MADERENSIS","HORNED LANTERNFISH",39.8766666,39.8,39.9933332
"25",56,"Mesopelagics","MYCTOPHIDAE","LANTERNFISH UNCL",39.7481358881579,39.288333,40.05
"26",60,"OtherDemersals","ANGUILLIFORMES","EEL UNCL",40.06458325,39.748333,40.2
"27",61,"Mesopelagics","DIAPHUS ","HEADLIGHTFISH UNCL",39.983333,39.983333,39.983333
"28",63,"OtherDemersals","CONGER OCEANICUS","CONGER EEL",40.1365443119266,39.833333,40.35
"29",64,"OtherDemersals","SIMENCHELYS PARASITICA ","SNUBNOSE EEL",39.516667,39.516667,39.516667
"30",65,"OtherDemersals","OPHICHTHUS CRUENTIFER","MARGINED SNAKE EEL",39.9611111851852,39.766667,40.2
"31",67,"OtherDemersals","NEMICHTHYS SCOLOPACEUS","SLENDER SNIPE EEL",39.5722223333333,39.2999998,39.766667
"32",69,"OffHake","MERLUCCIUS ALBIDUS","OFFSHORE HAKE",39.7784010260161,39.283333,40.05
"33",70,"OtherDemersals","GADELLA IMBERBIS","BEARDLESS CODLING",39.983333,39.983333,39.983333
"34",72,"SilverHake","MERLUCCIUS BILINEARIS","SILVER HAKE",40.146753389889,39.55,40.716667
"35",73,"Cod","GADUS MORHUA","ATLANTIC COD",40.7126230337553,40.066667,41.233333
"36",73,"Cod","GADUS MORHUA","ATLANTIC COD",40.7126230337553,40.066667,41.233333
"37",74,"Haddock","MELANOGRAMMUS AEGLEFINUS","HADDOCK",40.3860632241379,39.75,40.766667
"38",74,"Haddock","MELANOGRAMMUS AEGLEFINUS","HADDOCK",40.3860632241379,39.75,40.766667
"39",75,"Pollock","POLLACHIUS VIRENS","POLLOCK",40.5007936666667,40.1,41.15
"40",75,"Pollock","POLLACHIUS VIRENS","POLLOCK",40.5007936666667,40.1,41.15
"41",76,"WhiteHake","UROPHYCIS TENUIS","WHITE HAKE",40.1200782385919,39.616667,40.483333
"42",76,"WhiteHake","UROPHYCIS TENUIS","WHITE HAKE",40.1200782385919,39.616667,40.483333
"43",77,"RedHake","UROPHYCIS CHUSS","RED HAKE",40.1555401297837,39.616667,40.7
"44",78,"OtherDemersals","UROPHYCIS REGIA","SPOTTED HAKE",39.7064893595744,39.2,40.1516667
"45",79,"OtherDemersals","UROPHYCIS CHESTERI","LONGFIN HAKE",39.8066035849056,39.483333,40
"46",80,"OtherDemersals","GADIDAE","HAKE UNCL",39.8956139473684,39.7099998,40.01
"47",82,"OtherDemersals","PHYSICULUS FULVUS","METALLIC CODLING",40,39.8933336,40.1066664
"48",83,"Freshwater","ENCHELYOPUS CIMBRIUS","FOURBEARD ROCKLING",40.2403508421053,39.6833336,40.8333336
"49",86,"OtherDemersals","MERLUCCIUS ","HAKES",39.483333,39.483333,39.483333
"50",87,"OtherDemersals","UROPHYCIS ","CODLINGS",39.7047617142857,39.2233332,40.0399998
"51",88,"OtherDemersals","MORIDAE","MORA UNCL",39.85,39.85,39.85
"52",90,"Mesopelagics","MACROURIDAE","GRENADIER UNCL",39.8249997857143,39.233333,40.05
"53",91,"Mesopelagics","NEZUMIA BAIRDII ","MARLIN-SPIKE",39.6285712571429,39.483333,40
"54",92,"Mesopelagics","MACROURUS BERGLAX","ROUGHHEAD GRENADIER",39.616667,39.616667,39.616667
"55",93,"Mesopelagics","CAELORINCHUS CAELORHINCUS CARMINATUS ","LONGNOSE GRENADIER",39.8058822352941,39.25,40.033333
"56",102,"AmPlaice","HIPPOGLOSSOIDES PLATESSOIDES","AMERICAN PLAICE",40.5649121578947,40.3566664,40.9066664
"57",103,"SummerFlounder","PARALICHTHYS DENTATUS","SUMMER FLOUNDER",40.0410521733506,39.433333,40.483333
"58",104,"Fourspot","PARALICHTHYS OBLONGUS","FOURSPOT FLOUNDER",40.0877470717931,39.55,40.5
"59",105,"YTFlounder","LIMANDA FERRUGINEA ","YELLOWTAIL FLOUNDER",40.4857924437351,39.9,41.016667
"60",106,"WinterFlounder","PSEUDOPLEURONECTES AMERICANUS ","WINTER FLOUNDER",40.8823871621071,40.433333,41.266667
"61",106,"WinterFlounder","PSEUDOPLEURONECTES AMERICANUS ","WINTER FLOUNDER",40.8823871621071,40.433333,41.266667
"62",107,"WitchFlounder","GLYPTOCEPHALUS CYNOGLOSSUS","WITCH FLOUNDER",39.9534022067184,39.283333,40.55
"63",108,"Windowpane","SCOPHTHALMUS AQUOSUS","WINDOWPANE",40.6844426082924,40.083333,41.15
"64",109,"SmFlatfishes","CITHARICHTHYS ARCTIFRONS","GULF STREAM FLOUNDER",40.1462109339478,39.583333,40.516667
"65",110,"OtherFlatfish","MONOLENE SESSILICAUDA","DEEPWATER FLOUNDER",39.5590908181818,39.25,39.983333
"66",111,"Mesopelagics","MACRORHAMPHOSUS SCOLOPAX","LONGSPINE SNIPEFISH",40.0870367777778,39.863333,40.7
"67",112,"OtherDemersals","ZENOPSIS OCELLATA","JOHN DORY",39.6774509411765,39.2383331,40.183333
"68",113,"SmPelagics","MENIDIA MENIDIA","ATLANTIC SILVERSIDE",40.8341666416667,40.2133336,41.3
"69",114,"Mesopelagics","SYNAGROPS BELLUS","BLACKMOUTH BASS",39.233333,39.233333,39.233333
"70",115,"OtherDemersals","GASTEROSTEUS ACULEATUS","THREESPINE STICKLEBACK",40.9833335,40.7966667,41.1700003
"71",116,"Freshwater","SYNGNATHUS FUSCUS","NORTHERN PIPEFISH",40.61249990625,39.988333,41.183333
"72",117,"SmFlatfishes","ETROPUS MICROSTOMUS","SMALLMOUTH FLOUNDER",40.2237548850575,39.9833334,40.716667
"73",121,"AtlMackerel","SCOMBER SCOMBRUS","ATLANTIC MACKEREL",40.0200518059178,39.416667,40.55
"74",123,"LargePelagics","SARDA SARDA","ATLANTIC BONITO",39.5,39.5,39.5
"75",127,"OtherPelagics","PROMETHICHTHYS PROMETHEUS","CONEJO",39.183333,39.183333,39.183333
"76",131,"Butterfish","PEPRILUS TRIACANTHUS","BUTTERFISH",39.9913119152755,39.366667,40.383333
"77",134,"Freshwater","PRIACANTHUS ARENATUS","BIGEYE",39.9916665,39.8783333,40.1049997
"78",135,"Bluefish","POMATOMUS SALTATRIX","BLUEFISH",39.183333,39.183333,39.183333
"79",136,"AtlCroaker","MICROPOGONIAS UNDULATUS","ATLANTIC CROAKER",40.4,40.4,40.4
"80",138,"OtherPelagics","APOGONIDAE","CARDINALFISH UNCL",39.5433332,39.533333,39.55
"81",139,"StripedBass","MORONE SAXATILIS","STRIPED BASS",40.483333,40.483333,40.483333
"82",141,"BlackSeaBass","CENTROPRISTIS STRIATA","BLACK SEA BASS",39.598046875,39.233333,40.116667
"83",143,"Scup","STENOTOMUS CHRYSOPS","SCUP",39.7717798266979,39.316667,40.316667
"84",145,"Weakfish","CYNOSCION REGALIS","WEAKFISH",39.8,39.278333,40.2416664
"85",146,"SouthernDemersals","MENTICIRRHUS SAXATILIS","NORTHERN KINGFISH",40.216667,40.216667,40.216667
"86",148,"SouthernDemersals","BAIRDIELLA CHRYSOURA","SILVER PERCH",40.05,40.05,40.05
"87",151,"Tilefish","LOPHOLATILUS CHAMAELEONTICEPS","TILEFISH",39.9919752592593,39.4216668,40.25
"88",154,"OtherDemersals","PONTINUS LONGISPINIS","LONGSPINE SCORPIONFISH",39.8000000588235,39.4433334,40.1833332
"89",155,"Redfish","SEBASTES FASCIATUS","ACADIAN REDFISH",40.0022222,39.966667,40
"90",156,"OtherDemersals","HELICOLENUS DACTYLOPTERUS","BLACKBELLY ROSEFISH",39.6565359108734,39.233333,40.033333
"91",159,"OtherDemersals","ARTEDIELLUS ","HOOKEAR SCULPINS",40.716667,40.716667,40.716667
"92",163,"OtherDemersals","MYOXOCEPHALUS OCTODECEMSPINOSUS","LONGHORN SCULPIN",40.7230510743087,40.166667,41.183333
"93",164,"OtherDemersals","HEMITRIPTERUS AMERICANUS","SEA RAVEN",40.6159973554217,40.033333,41.183333
"94",167,"OtherDemersals","LIPARIS INQUILINUS","INQUILINE SNAILFISH",40.572222,40.333333,40.9066666
"95",170,"Macrobenthos","LIPARIS ATLANTICUS","ATLANTIC SEASNAIL",40.5166663333333,40.433333,40.633333
"96",171,"OtherDemersals","PRIONOTUS CAROLINUS","NORTHERN SEAROBIN",40.0538904171271,39.383333,40.466667
"97",172,"OtherDemersals","PRIONOTUS EVOLANS","STRIPED SEAROBIN",39.5990740277778,39.233333,40.033333
"98",173,"OtherDemersals","PERISTEDION MINIATUM","ARMORED SEAROBIN",39.8055155935251,39.333333,40.1
"99",174,"OtherDemersals","TRIGLIDAE","SEAROBIN UNCL",39.938889,39.8,40.216667
"100",176,"OtherDemersals","TAUTOGOLABRUS ADSPERSUS","CUNNER",40.82916675,40.066667,41.266667
"101",177,"OtherDemersals","TAUTOGA ONITIS","TAUTOG",40.972222,40.8866666,41.033333
"102",180,"OtherDemersals","PHOLIS GUNNELLUS","ROCK GUNNEL",40.062500125,39.7800001,40.3166668
"103",181,"OtherDemersals","AMMODYTES DUBIUS","NORTHERN SAND LANCE",40.4641605574571,39.75,41.15
"104",182,"OtherDemersals","LUMPENUS LUMPRETAEFORMIS","SNAKEBLENNY",41.133333,41.133333,41.133333
"105",188,"OtherDemersals","OPHIDION MARGINATUM","STRIPED CUSK-EEL",40.0966666,39.933333,40.34
"106",191,"OtherDemersals","CRYPTACANTHODES MACULATUS","WRYMOUTH",40.425,40.0883331,40.6816669
"107",192,"OtherDemersals","ANARHICHAS LUPUS","ATLANTIC WOLFFISH",40.633333,40.633333,40.633333
"108",193,"OceanPout","ZOARCES AMERICANUS","OCEAN POUT",40.5579323613522,39.983333,41.05
"109",194,"OtherDemersals","LEPOPHIDIUM PROFUNDORUM","FAWN CUSK-EEL",39.9929090172019,39.5,40.2816664
"110",197,"Goosefish","LOPHIUS AMERICANUS","GOOSEFISH",40.2160279443239,39.7,40.733333
"111",197,"Goosefish","LOPHIUS AMERICANUS","GOOSEFISH",40.2160279443239,39.7,40.733333
"112",199,"OtherDemersals","DIBRANCHUS ATLANTICUS","ATLANTIC BATFISH",39.802083125,39.25,40.013333
"113",206,"OtherDemersals","OGCOCEPHALUS CORNIGER","LONGNOSE BATFISH",39.904166625,39.7483331,40.0266669
"114",221,"Mesopelagics","SYMPHURUS ","STRAIGHTMOUTH TONGUEFISHES",39.7499998571429,39.2866666,40.033333
"115",229,"Mesopelagics","MAUROLICUS WEITZMANI ","WEITZMANS PEARLSIDES",39.5901962352941,39.166667,39.9666666
"116",231,"Mesopelagics","CHLOROPHTHALMUS ",NA,39.7097221111111,39.25,40.05
"117",232,"Mesopelagics","CHLOROPHTHALMUS AGASSIZI","SHORTNOSE GREENEYE",39.8232757931034,39.233333,40.05
"118",235,"Mesopelagics","GONOSTOMA ELONGATUM","LONGTOOTH ANGLEMOUTH",39.2,39.2,39.2
"119",240,"Mesopelagics","CHAULIODUS SLOANI","VIPERFISH",40.033333,40.033333,40.033333
"120",242,"Mesopelagics","PARASUDIS TRUCULENTA","LONGNOSE GREENEYE",39.4944443333333,39.293333,39.7600002
"121",248,"Mesopelagics","STOMIIDAE","SCALY DRAGONFISH UNCL",40,40,40
"122",250,"Mesopelagics","ARGYROPELECUS ACULEATUS","SILVER HATCHETFISH",39.5083335,39.2616667,39.7550003
"123",251,"Mesopelagics","POLYIPNUS CLARUS ","SLOPE HATCHETFISH",39.283333,39.283333,39.283333
"124",252,"Mesopelagics","STERNOPTYCHIDAE","HATCHETFISH UNCL",39.5694443333333,39.2916665,39.983333
"125",261,"Mesopelagics","HOPLOSTETHUS MEDITERRANEUS","BLACKMOUTHED ALFONSIN",40.033333,40.033333,40.033333
"126",263,"OtherDemersals","POLYMIXIA LOWEI","BEARDFISH",39.7288889333333,39.5066668,40.033333
"127",264,"OtherDemersals","POLYMIXIA NOBILIS","STOUT BEARDFISH",39.183333,39.183333,39.183333
"128",280,"Mesopelagics","MALACOCEPHALUS OCCIDENTALIS","WESTERN SOFTHEAD GRENADIER",39.3222223333333,39.2033334,39.4833334
"129",301,"AmLobster","HOMARUS AMERICANUS","AMERICAN LOBSTER",40.1458813649251,39.516667,41.15
"130",305,"OtherShrimps","CRUSTACEA SHRIMP","SHRIMP UNCL",40.2849593414634,39.516667,40.983333
"131",310,"RedCrab","CHACEON QUINQUEDENS","CRAB,RED DEEPSEA",39.7394734210526,39.483333,40
"132",311,"Megabenthos","CANCRIDAE","CANCER CRAB UNCL",40.1589743076923,39.836667,40.6266666
"133",312,"Megabenthos","CANCER BOREALIS","JONAH CRAB",40.2081293566434,39.583333,40.766667
"134",313,"Megabenthos","CANCER IRRORATUS","ATLANTIC ROCK CRAB",40.2586038896104,39.866667,40.8016668
"135",317,"Macrobenthos","MAJIDAE","SPIDER CRAB UNCL",39.90833325,39.5033332,40.2199999
"136",318,"Megabenthos","LIMULUS POLYPHEMUS","HORSESHOE CRAB",40.527778,40.2933336,40.7333336
"137",319,"Macrobenthos","GALATHEIDAE","GALATHEID UNCL",39.6333335,39.5266667,39.7400003
"138",320,"Megabenthos","PORTUNIDAE","SWIMMING CRAB UNCL",39.8647057058823,39.583333,40.05
"139",321,"Megabenthos","OVALIPES STEPHENSONI","COARSEHAND LADY CRAB",40.133333,40.133333,40.133333
"140",322,"Megabenthos","OVALIPES OCELLATUS","LADY CRAB",40.1916665,40.033333,40.4033332
"141",328,"Megabenthos","CALAPPA FLAMMEA","FLAME BOX CRAB",39.783333,39.783333,39.783333
"142",339,"Megabenthos","CALAPPIDAE","BOX CRAB UNCL",40.05,40.05,40.05
"143",340,"Megabenthos","CHLAMYS ISLANDICA","ICELAND SCALLOP",40.533333,40.533333,40.533333
"144",341,"Megabenthos","CHLAMYS ISLANDICA CLAPPER","ICELAND SCALLOP CLAPPER",40.933333,40.933333,40.933333
"145",342,"Megabenthos","MODIOLUS MODIOLUS","NORTHERN HORSEMUSSEL",41.05,41.05,41.05
"146",390,"OtherDemersals","CONGRIDAE","CONGER EEL UNCL",40.3190477142857,40.1866668,40.383333
"147",401,"AtlScallop","PLACOPECTEN MAGELLANICUS","SEA SCALLOP",40.100461049101,39.483333,40.733333
"148",421,"OtherDemersals","SYNGNATHIDAE","PIPEFISH SEAHORSE UNCL",40.95,40.95,40.95
"149",423,"SmPelagics","ATHERINIDAE","SILVERSIDE UNCL",41.033333,41.033333,41.033333
"150",425,"OtherDemersals","OPHICHTHIDAE","SNAKE EEL UNCL",39.91666675,39.6750001,40.1116668
"151",450,"OtherDemersals","OGCOCEPHALUS NASUTUS","SHORTNOSE BATFISH",39.966667,39.966667,39.966667
"152",451,"OtherDemersals","OGCOCEPHALUS PARVUS","ROUGHBACK BATFISH",39.825,39.645,40.005
"153",452,"OtherDemersals","OGCOCEPHALIDAE","BATFISH UNCL",39.5944443333333,39.35,39.9366664
"154",461,"OtherDemersals","OPHIDIIDAE","CUSK-EEL UNCL",40.55,40.55,40.55
"155",492,"OtherDemersals","HIPPOCAMPUS ERECTUS","LINED SEAHORSE",40.716667,40.716667,40.716667
"156",500,"SouthernDemersals","ANTHIAS NICHOLSI","YELLOWFIN BASS",39.516667,39.516667,39.516667
"157",501,"OtherCephalopods","CEPHALOPODA","SQUID CUTTLEFISH AND OCTOPOD UNCL",40.0428572857143,39.6300002,40.466667
"158",502,"Illex","ILLEX ILLECEBROSUS","NORTHERN SHORTFIN SQUID",39.7703165751979,39.333333,40.1
"159",503,"Loligo","LOLIGO PEALEII","LONGFIN SQUID",39.9038341004215,39.35,40.316667
"160",510,"OtherCephalopods","OCTOPODA","OCTOPUS UNCL",39.483333,39.483333,39.483333
"161",517,"Megabenthos","BATHYNECTES LONGISPINA","BATHYAL SWIMMING CRAB",39.5592591111111,39.25,40.0366664
"162",546,"SouthernDemersals","HEMANTHIAS AUREORUBENS","STREAMER BASS",39.4318181818182,39.25,39.55
"163",554,"SouthernDemersals","SERRANIDAE","SEA BASS UNCL",39.35,39.23,39.47
"164",735,"SouthernDemersals","FOETOREPUS AGASSIZI","SPOTFIN DRAGONET",39.2916665,39.2583333,39.3249997
"165",753,"SouthernDemersals","SCORPAENA AGASSIZI","LONGFIN SCORPIONFISH",39.7,39.7,39.7
"166",759,"Freshwater","SCORPAENIDAE","SCORPIONFISH AND ROCKFISH UNCL",39.9777776666667,39.5966664,40.25
"167",773,"OtherFlatfish","PLEURONECTIDAE","RIGHTEYE FLOUNDER UNCL",40.033333,40.033333,40.033333
"168",794,"OtherFlatfish","ETROPUS ","ETROPUS UNCL",40.3958332083333,39.8166668,41.283333
"169",856,"SmPelagics","ARGENTINA STRIATA","STRIATED ARGENTINE",39.25,39.25,39.25
"170",866,"OtherFlatfish","CITHARICHTHYS ","SANDDABS",39.92499994,39.5766664,40.183333
"171",896,"OtherPelagics","PARALEPIDIDAE ","BARRACUDINAS",39.8125,39.565,39.95
