"","Year","Variable","Val","ScaleType","ScaleName","ScaleName2","ScaleName3"
"1",1947,"Landings_KG",255351500,"State","Delaware","MAFMC","NES_LME_states"
"2",1947,"Landings_KG",136878800,"State","New York","MAFMC","NES_LME_states"
"3",1947,"Landings_KG",706800,"State","New Hampshire","NEFMC","NES_LME_states"
"4",1947,"Landings_KG",59711800,"State","Maryland","MAFMC","NES_LME_states"
"5",1947,"Landings_KG",526994900,"State","Massachusetts","NEFMC","NES_LME_states"
"6",1947,"Landings_KG",240089600,"State","New Jersey","MAFMC","NES_LME_states"
"7",1947,"Landings_KG",16460600,"State","Connecticut","NEFMC","NES_LME_states"
"8",1947,"Landings_KG",216129900,"State","Maine","NEFMC","NES_LME_states"
"9",1947,"Landings_KG",21395100,"State","Rhode Island","NEFMC","NES_LME_states"
"10",1947,"Landings_KG",348302800,"State","Virginia","MAFMC","NES_LME_states"
"11",1948,"Landings_KG",154482200,"State","Delaware","MAFMC","NES_LME_states"
"12",1948,"Landings_KG",297203700,"State","Maine","NEFMC","NES_LME_states"
"13",1948,"Landings_KG",529700,"State","New Hampshire","NEFMC","NES_LME_states"
"14",1948,"Landings_KG",618290000,"State","Massachusetts","NEFMC","NES_LME_states"
"15",1948,"Landings_KG",54213400,"State","Maryland","MAFMC","NES_LME_states"
"16",1948,"Landings_KG",129608700,"State","New York","MAFMC","NES_LME_states"
"17",1948,"Landings_KG",216800300,"State","New Jersey","MAFMC","NES_LME_states"
"18",1948,"Landings_KG",18184200,"State","Connecticut","NEFMC","NES_LME_states"
"19",1948,"Landings_KG",310123000,"State","Virginia","MAFMC","NES_LME_states"
"20",1948,"Landings_KG",26416000,"State","Rhode Island","NEFMC","NES_LME_states"
"21",1949,"Landings_KG",58981700,"State","Maryland","MAFMC","NES_LME_states"
"22",1949,"Landings_KG",443100,"State","New Hampshire","NEFMC","NES_LME_states"
"23",1949,"Landings_KG",208996600,"State","New Jersey","MAFMC","NES_LME_states"
"24",1949,"Landings_KG",166473900,"State","Delaware","MAFMC","NES_LME_states"
"25",1949,"Landings_KG",145463700,"State","New York","MAFMC","NES_LME_states"
"26",1949,"Landings_KG",625252900,"State","Massachusetts","NEFMC","NES_LME_states"
"27",1949,"Landings_KG",275674400,"State","Virginia","MAFMC","NES_LME_states"
"28",1949,"Landings_KG",287910500,"State","Maine","NEFMC","NES_LME_states"
