Year,Pounds,Metric Tons,Dollars,Collection
2000,"34,343,482","15,578",,Recreational
1981,"74,853,948","33,954",,Recreational
1982,"67,235,726","30,498",,Recreational
1983,"68,927,671","31,265",,Recreational
1984,"62,799,498","28,486",,Recreational
1985,"66,072,536","29,970",,Recreational
1986,"77,842,516","35,309",,Recreational
1987,"137,672,553","62,448",,Recreational
1988,"51,457,706","23,341",,Recreational
1989,"58,769,304","26,658",,Recreational
1990,"37,366,983","16,950",,Recreational
1991,"50,295,816","22,814",,Recreational
1992,"31,977,340","14,505",,Recreational
1993,"30,752,304","13,949",,Recreational
1994,"32,465,222","14,726",,Recreational
1995,"39,157,216","17,762",,Recreational
1996,"28,223,213","12,802",,Recreational
1997,"26,071,849","11,826",,Recreational
1998,"21,128,480","9,584",,Recreational
1999,"23,439,697","10,632",,Recreational
2001,"22,588,827","10,246",,Recreational
2002,"31,337,408","14,215",,Recreational
2003,"42,695,903","19,367",,Recreational
2004,"35,708,062","16,197",,Recreational
2005,"33,440,680","15,169",,Recreational
2006,"28,618,177","12,981",,Recreational
2007,"37,511,456","17,015",,Recreational
2008,"37,386,351","16,958",,Recreational
2009,"28,426,855","12,894",,Recreational
2010,"40,560,238","18,398",,Recreational
2011,"33,225,773","15,071",,Recreational
2012,"31,562,127","14,316",,Recreational
2013,"41,230,555","18,702",,Recreational
2014,"48,014,838","21,779",,Recreational
2015,"71,870,825","32,600",,Recreational
2016,"46,184,504","20,949",,Recreational
2017,"53,074,451","24,074",,Recreational
2018,"16,877,313","7,655",,Recreational
2019,"33,322,544","15,115",,Recreational
2020,"26,103,682","11,841",,Recreational
2021,"23,698,843","10,750",,Recreational
