Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
2021,"HAKE, RED","104,807",48,"70,591",,Public,Commercial
2021,SQUIDS **,,,,,Confidential,Commercial
2021,SWORDFISH,"12,325",6,"48,971",,Public,Commercial
2021,WHELKS **,,,,,Confidential,Commercial
2021,BARRELFISH,,,,,Confidential,Commercial
2021,BUTTERFISH,"402,387",183,"518,484",,Public,Commercial
2021,"CLAM, SOFT",,,,,Confidential,Commercial
2021,"CRAB, BLUE","207,648",94,"247,230",,Public,Commercial
2021,MULLETS **,"2,978",1,"3,005",,Public,Commercial
2021,"PORGY, RED",,,,,Confidential,Commercial
2021,SHEEPSHEAD,,,,,Confidential,Commercial
2021,SHRIMPS **,,,,,Confidential,Commercial
2021,"RAY, COWNOSE",,,,,Confidential,Commercial
2021,"RUNNER, BLUE",,,,,Confidential,Commercial
2021,"SCALLOP, BAY",,,,,Confidential,Commercial
2021,"SCALLOP, SEA","64,384",29,"826,707",,Public,Commercial
2021,SEAROBINS **,"6,156",3,"1,382",,Public,Commercial
2021,"SNAPPER, DOG",,,,,Confidential,Commercial
2021,"SNAPPER, RED",,,,,Confidential,Commercial
2021,"TUNA, BIGEYE","64,941",29,"393,264",,Public,Commercial
2021,AMBERJACKS **,,,,,Confidential,Commercial
2021,"BASS, STRIPED","29,373",13,"132,265",,Public,Commercial
2021,"COD, ATLANTIC","3,920",2,"12,145",,Public,Commercial
2021,"DORY, BUCKLER","12,513",6,"11,072",,Public,Commercial
2021,"EEL, AMERICAN","5,804",3,"9,238",,Public,Commercial
2021,"EELS, CUSK **",,,,,Confidential,Commercial
2021,GOATFISHES **,,,,,Confidential,Commercial
2021,KINGFISHES **,414,0,271,,Public,Commercial
2021,"SHAD, GIZZARD",,,,,Confidential,Commercial
2021,"SHAD, HICKORY",,,,,Confidential,Commercial
2021,"SKATE, LITTLE","445,658",202,"80,787",,Public,Commercial
