YEAR,WAVE,SUB_REG,ST,MODE_FX,AREA_X,ESTRIPS,NUMVAR,MODE,AREA,status
1981,2,5,36,3,1,18676.20162,208082313.23,SHORE,OCEAN (<= 3 MI),FINAL
1981,2,5,36,3,5,444958.53852,4291520974.9,SHORE,INLAND,FINAL
1981,2,5,36,6,1,554.17611063,54420.404854,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1981,2,5,36,6,2,3358.7461307,9284708.2979,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1981,2,5,36,6,5,46300.654369,124772330.74,PARTY/CHARTER BOAT,INLAND,FINAL
1981,2,5,36,7,1,9054.0605539,99376779.617,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1981,2,5,36,7,5,209129.08683,1418327602.4,PRIVATE/RENTAL BOAT,INLAND,FINAL
1981,3,5,36,3,1,35087.811428,1921292430.9,SHORE,OCEAN (<= 3 MI),FINAL
1981,3,5,36,3,5,1201402.786,24034225404,SHORE,INLAND,FINAL
1981,3,5,36,6,1,49194.914677,364892591.13,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1981,3,5,36,6,2,23321.541997,215099670.28,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1981,3,5,36,6,5,70628.508169,736206994.69,PARTY/CHARTER BOAT,INLAND,FINAL
1981,3,5,36,7,1,11798.758647,41480597.2,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL
1981,3,5,36,7,2,40975.12071,1066590765,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL
1981,3,5,36,7,5,928505.0752,12130086889,PRIVATE/RENTAL BOAT,INLAND,FINAL
1981,4,5,36,3,1,51742.926264,365086233.78,SHORE,OCEAN (<= 3 MI),FINAL
1981,4,5,36,3,5,1824879.8151,43869873565,SHORE,INLAND,FINAL
1981,4,5,36,6,1,52606.660039,508042131.17,PARTY/CHARTER BOAT,OCEAN (<= 3 MI),FINAL
1981,4,5,36,6,2,164212.22822,2192705758.7,PARTY/CHARTER BOAT,OCEAN (> 3 MI),FINAL
1981,4,5,36,6,5,47381.262101,663444571.29,PARTY/CHARTER BOAT,INLAND,FINAL
