"","doy","t","temp","seas","thresh","threshCriterion","durationCriterion","event","event_no"
"1",1,1993-01-01,7.90589023254267,NA,NA,FALSE,FALSE,FALSE,NA
"2",2,1993-01-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"3",3,1993-01-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"4",4,1993-01-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"5",5,1993-01-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"6",6,1993-01-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"7",7,1993-01-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"8",8,1993-01-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"9",9,1993-01-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"10",10,1993-01-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"11",11,1993-01-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"12",12,1993-01-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"13",13,1993-01-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"14",14,1993-01-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"15",15,1993-01-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"16",16,1993-01-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"17",17,1993-01-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"18",18,1993-01-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"19",19,1993-01-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"20",20,1993-01-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"21",21,1993-01-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"22",22,1993-01-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"23",23,1993-01-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"24",24,1993-01-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"25",25,1993-01-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"26",26,1993-01-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"27",27,1993-01-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"28",28,1993-01-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"29",29,1993-01-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"30",30,1993-01-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"31",31,1993-01-31,NA,NA,NA,FALSE,FALSE,FALSE,NA
"32",32,1993-02-01,6.09470974090622,NA,NA,FALSE,FALSE,FALSE,NA
"33",33,1993-02-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"34",34,1993-02-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"35",35,1993-02-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"36",36,1993-02-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"37",37,1993-02-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"38",38,1993-02-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"39",39,1993-02-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"40",40,1993-02-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"41",41,1993-02-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"42",42,1993-02-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"43",43,1993-02-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"44",44,1993-02-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"45",45,1993-02-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"46",46,1993-02-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"47",47,1993-02-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"48",48,1993-02-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"49",49,1993-02-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"50",50,1993-02-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"51",51,1993-02-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"52",52,1993-02-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"53",53,1993-02-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"54",54,1993-02-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"55",55,1993-02-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"56",56,1993-02-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"57",57,1993-02-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"58",58,1993-02-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"59",59,1993-02-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"60",61,1993-03-01,5.30592871657232,NA,NA,FALSE,FALSE,FALSE,NA
"61",62,1993-03-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"62",63,1993-03-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"63",64,1993-03-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"64",65,1993-03-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"65",66,1993-03-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"66",67,1993-03-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"67",68,1993-03-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"68",69,1993-03-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"69",70,1993-03-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"70",71,1993-03-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"71",72,1993-03-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"72",73,1993-03-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"73",74,1993-03-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"74",75,1993-03-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"75",76,1993-03-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"76",77,1993-03-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"77",78,1993-03-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"78",79,1993-03-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"79",80,1993-03-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"80",81,1993-03-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"81",82,1993-03-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"82",83,1993-03-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"83",84,1993-03-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"84",85,1993-03-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"85",86,1993-03-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"86",87,1993-03-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"87",88,1993-03-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"88",89,1993-03-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"89",90,1993-03-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"90",91,1993-03-31,NA,NA,NA,FALSE,FALSE,FALSE,NA
"91",92,1993-04-01,5.37748830565592,NA,NA,FALSE,FALSE,FALSE,NA
"92",93,1993-04-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"93",94,1993-04-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"94",95,1993-04-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"95",96,1993-04-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"96",97,1993-04-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"97",98,1993-04-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"98",99,1993-04-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"99",100,1993-04-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"100",101,1993-04-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"101",102,1993-04-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"102",103,1993-04-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"103",104,1993-04-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"104",105,1993-04-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"105",106,1993-04-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"106",107,1993-04-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"107",108,1993-04-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"108",109,1993-04-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"109",110,1993-04-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"110",111,1993-04-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"111",112,1993-04-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"112",113,1993-04-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"113",114,1993-04-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"114",115,1993-04-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"115",116,1993-04-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"116",117,1993-04-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"117",118,1993-04-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"118",119,1993-04-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"119",120,1993-04-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"120",121,1993-04-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"121",122,1993-05-01,6.31670175456419,NA,NA,FALSE,FALSE,FALSE,NA
"122",123,1993-05-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
"123",124,1993-05-03,NA,NA,NA,FALSE,FALSE,FALSE,NA
"124",125,1993-05-04,NA,NA,NA,FALSE,FALSE,FALSE,NA
"125",126,1993-05-05,NA,NA,NA,FALSE,FALSE,FALSE,NA
"126",127,1993-05-06,NA,NA,NA,FALSE,FALSE,FALSE,NA
"127",128,1993-05-07,NA,NA,NA,FALSE,FALSE,FALSE,NA
"128",129,1993-05-08,NA,NA,NA,FALSE,FALSE,FALSE,NA
"129",130,1993-05-09,NA,NA,NA,FALSE,FALSE,FALSE,NA
"130",131,1993-05-10,NA,NA,NA,FALSE,FALSE,FALSE,NA
"131",132,1993-05-11,NA,NA,NA,FALSE,FALSE,FALSE,NA
"132",133,1993-05-12,NA,NA,NA,FALSE,FALSE,FALSE,NA
"133",134,1993-05-13,NA,NA,NA,FALSE,FALSE,FALSE,NA
"134",135,1993-05-14,NA,NA,NA,FALSE,FALSE,FALSE,NA
"135",136,1993-05-15,NA,NA,NA,FALSE,FALSE,FALSE,NA
"136",137,1993-05-16,NA,NA,NA,FALSE,FALSE,FALSE,NA
"137",138,1993-05-17,NA,NA,NA,FALSE,FALSE,FALSE,NA
"138",139,1993-05-18,NA,NA,NA,FALSE,FALSE,FALSE,NA
"139",140,1993-05-19,NA,NA,NA,FALSE,FALSE,FALSE,NA
"140",141,1993-05-20,NA,NA,NA,FALSE,FALSE,FALSE,NA
"141",142,1993-05-21,NA,NA,NA,FALSE,FALSE,FALSE,NA
"142",143,1993-05-22,NA,NA,NA,FALSE,FALSE,FALSE,NA
"143",144,1993-05-23,NA,NA,NA,FALSE,FALSE,FALSE,NA
"144",145,1993-05-24,NA,NA,NA,FALSE,FALSE,FALSE,NA
"145",146,1993-05-25,NA,NA,NA,FALSE,FALSE,FALSE,NA
"146",147,1993-05-26,NA,NA,NA,FALSE,FALSE,FALSE,NA
"147",148,1993-05-27,NA,NA,NA,FALSE,FALSE,FALSE,NA
"148",149,1993-05-28,NA,NA,NA,FALSE,FALSE,FALSE,NA
"149",150,1993-05-29,NA,NA,NA,FALSE,FALSE,FALSE,NA
"150",151,1993-05-30,NA,NA,NA,FALSE,FALSE,FALSE,NA
"151",152,1993-05-31,NA,NA,NA,FALSE,FALSE,FALSE,NA
"152",153,1993-06-01,7.17804053171379,NA,NA,FALSE,FALSE,FALSE,NA
"153",154,1993-06-02,NA,NA,NA,FALSE,FALSE,FALSE,NA
