"","doy","t","temp","seas","thresh"
"1",1,1993-01-01,8.94597443574812,9.6007,10.8953
"2",2,1993-01-02,8.92117963476879,9.5466,10.8419
"3",3,1993-01-03,8.86121412929966,9.492,10.7883
"4",4,1993-01-04,8.79711071347318,9.437,10.7344
"5",5,1993-01-05,8.77679878909414,9.3815,10.6794
"6",6,1993-01-06,8.7863551799844,9.3256,10.6215
"7",7,1993-01-07,8.806740813139,9.2693,10.565
"8",8,1993-01-08,8.78802329592589,9.2124,10.5111
"9",9,1993-01-09,8.70217770338058,9.155,10.4572
"10",10,1993-01-10,8.33921583578354,9.0973,10.4034
"11",11,1993-01-11,8.06782629104649,9.0392,10.3507
"12",12,1993-01-12,7.99444675954377,8.981,10.3009
"13",13,1993-01-13,7.94219087573086,8.9227,10.2514
"14",14,1993-01-14,7.89579234290413,8.8643,10.2012
"15",15,1993-01-15,7.76724055518464,8.806,10.1537
"16",16,1993-01-16,7.70199160932041,8.7476,10.1046
"17",17,1993-01-17,7.62152435176256,8.6891,10.0559
"18",18,1993-01-18,7.54181297813974,8.6304,10.0061
"19",19,1993-01-19,7.46803039057952,8.5718,9.956
"20",20,1993-01-20,7.37063205024091,8.5133,9.905
"21",21,1993-01-21,7.31114663946919,8.4552,9.8524
"22",22,1993-01-22,7.24623266443974,8.3975,9.7988
"23",23,1993-01-23,7.25629260045726,8.3401,9.7447
"24",24,1993-01-24,7.28410872199186,8.2832,9.6871
"25",25,1993-01-25,7.30755810584964,8.2268,9.6297
"26",26,1993-01-26,7.34234585376775,8.1709,9.577
"27",27,1993-01-27,7.31892662695268,8.1157,9.526
"28",28,1993-01-28,7.26930130691063,8.0612,9.4793
"29",29,1993-01-29,7.25417118683094,8.0077,9.4337
"30",30,1993-01-30,7.21442268279994,7.955,9.3878
"31",31,1993-01-31,7.18204106281444,7.9033,9.3419
"32",32,1993-02-01,7.1683713670184,7.8527,9.2955
"33",33,1993-02-02,6.9203307039854,7.803,9.249
"34",34,1993-02-03,6.51854930527326,7.7542,9.2032
"35",35,1993-02-04,6.43021161781578,7.7064,9.1598
"36",36,1993-02-05,6.38415024847519,7.6594,9.119
"37",37,1993-02-06,6.37135258971191,7.6132,9.0805
"38",38,1993-02-07,6.24614370596119,7.5679,9.0412
"39",39,1993-02-08,6.17795382621811,7.5237,9.0011
"40",40,1993-02-09,6.15789757741661,7.4807,8.9601
"41",41,1993-02-10,6.08396536838718,7.4388,8.9165
"42",42,1993-02-11,6.09008395526467,7.3979,8.8727
"43",43,1993-02-12,5.94544966155436,7.3581,8.8291
"44",44,1993-02-13,5.73783077117874,7.3193,8.7859
"45",45,1993-02-14,5.85936290425498,7.2817,8.7431
"46",46,1993-02-15,5.96477123876897,7.2453,8.7009
"47",47,1993-02-16,5.95283216783186,7.2104,8.6611
"48",48,1993-02-17,5.91616306035983,7.177,8.6227
"49",49,1993-02-18,6.01991446279899,7.1449,8.5859
"50",50,1993-02-19,6.05264890521037,7.1141,8.55
"51",51,1993-02-20,5.96509390487903,7.0844,8.515
"52",52,1993-02-21,5.92951677303488,7.0557,8.4808
"53",53,1993-02-22,5.85160748587876,7.0279,8.4476
"54",54,1993-02-23,5.84022780198877,7.0009,8.4147
"55",55,1993-02-24,5.90737150827559,6.9748,8.3867
"56",56,1993-02-25,5.94796521016737,6.9495,8.361
"57",57,1993-02-26,5.90811509838918,6.9248,8.3374
"58",58,1993-02-27,5.80171864570641,6.9005,8.315
"59",59,1993-02-28,5.50216236710548,6.8767,8.2914
"60",61,1993-03-01,5.224859644727,6.83,8.2464
"61",62,1993-03-02,5.18144893246453,6.807,8.2246
"62",63,1993-03-03,5.22435050912019,6.7845,8.2038
"63",64,1993-03-04,5.2084667515464,6.7625,8.1841
"64",65,1993-03-05,5.03948984531368,6.7413,8.1647
"65",66,1993-03-06,4.95748177170753,6.7207,8.1456
"66",67,1993-03-07,4.96039815028994,6.7007,8.1269
"67",68,1993-03-08,5.03708930059177,6.6816,8.1093
"68",69,1993-03-09,5.10467404018088,6.6632,8.0931
"69",70,1993-03-10,5.17774540476683,6.6456,8.0782
"70",71,1993-03-11,5.19376649471317,6.6288,8.0655
"71",72,1993-03-12,5.26857853880743,6.613,8.0561
"72",73,1993-03-13,5.27417123535784,6.598,8.0476
"73",74,1993-03-14,5.1839410172003,6.584,8.0395
"74",75,1993-03-15,5.49227101410307,6.5707,8.0321
"75",76,1993-03-16,5.73941846991457,6.5584,8.0254
"76",77,1993-03-17,5.80868803764261,6.5469,8.02
"77",78,1993-03-18,5.88887170829425,6.5363,8.0151
"78",79,1993-03-19,5.75174386036106,6.5267,8.0102
"79",80,1993-03-20,5.47024074087783,6.5181,8.0046
"80",81,1993-03-21,5.38563116403614,6.5105,7.999
"81",82,1993-03-22,5.36198303684956,6.504,7.9941
"82",83,1993-03-23,5.37657721413344,6.4987,7.9923
"83",84,1993-03-24,5.36861857844561,6.4946,7.9909
"84",85,1993-03-25,5.3305191888315,6.4916,7.9898
"85",86,1993-03-26,5.30746617513459,6.4898,7.9886
"86",87,1993-03-27,5.29874049127102,6.4889,7.9875
"87",88,1993-03-28,5.2711677656668,6.4889,7.9861
"88",89,1993-03-29,5.2387269589959,6.4896,7.9847
"89",90,1993-03-30,5.20178988466903,6.4912,7.9847
"90",91,1993-03-31,5.15544604782652,6.4936,7.9847
"91",92,1993-04-01,5.09462861425993,6.4967,7.9854
"92",93,1993-04-02,5.06165968717598,6.5007,7.986
"93",94,1993-04-03,5.06832760681466,6.5052,7.9866
"94",95,1993-04-04,5.07162472533017,6.5103,7.9869
"95",96,1993-04-05,5.03832865706304,6.516,7.9874
"96",97,1993-04-06,5.00179353465394,6.5223,7.9872
"97",98,1993-04-07,4.95077143754901,6.5294,7.987
