"","doy","t","temp","seas","thresh"
"1",1,1982-01-01,9.35513513513514,9.9792,11.6439
"2",2,1982-01-02,9.18932432432432,9.8907,11.5492
"3",3,1982-01-03,9.09864864864865,9.8017,11.4559
"4",4,1982-01-04,9.3772972972973,9.7124,11.3645
"5",5,1982-01-05,9.4,9.6234,11.2699
"6",6,1982-01-06,9.30459459459459,9.5346,11.1727
"7",7,1982-01-07,8.37216216216216,9.4459,11.0758
"8",8,1982-01-08,8.16608108108108,9.3569,10.9777
"9",9,1982-01-09,7.97743243243243,9.2676,10.8815
"10",10,1982-01-10,7.1054054054054,9.1784,10.7858
"11",11,1982-01-11,7.17081081081081,9.0892,10.6875
"12",12,1982-01-12,7.19013513513514,9.0006,10.5919
"13",13,1982-01-13,7.19635135135135,8.9133,10.4985
"14",14,1982-01-14,7.11594594594595,8.8276,10.4075
"15",15,1982-01-15,7.285,8.7434,10.3136
"16",16,1982-01-16,7.18675675675676,8.6607,10.2215
"17",17,1982-01-17,6.87324324324324,8.5793,10.1326
"18",18,1982-01-18,6.07391891891892,8.4994,10.0449
"19",19,1982-01-19,6.68567567567568,8.4214,9.9622
"20",20,1982-01-20,6.99135135135135,8.3455,9.8801
"21",21,1982-01-21,7.05418918918919,8.2715,9.7984
"22",22,1982-01-22,7.19959459459459,8.1995,9.717
"23",23,1982-01-23,6.62310810810811,8.1292,9.6372
"24",24,1982-01-24,5.86837837837838,8.0602,9.5569
"25",25,1982-01-25,6.35635135135135,7.9925,9.4738
"26",26,1982-01-26,6.54486486486487,7.9262,9.3911
"27",27,1982-01-27,6.50824324324324,7.8612,9.31
"28",28,1982-01-28,6.4545945945946,7.798,9.2314
"29",29,1982-01-29,6.46216216216216,7.7365,9.1561
"30",30,1982-01-30,6.38121621621622,7.6764,9.0792
"31",31,1982-01-31,6.3004054054054,7.6178,9.002
"32",32,1982-02-01,5.74554054054054,7.5605,8.9284
"33",33,1982-02-02,5.71391891891892,7.5047,8.857
"34",34,1982-02-03,6.02108108108108,7.4504,8.7859
"35",35,1982-02-04,6.73283783783784,7.3979,8.7153
"36",36,1982-02-05,6.72013513513514,7.347,8.6481
"37",37,1982-02-06,6.71013513513514,7.2976,8.5863
"38",38,1982-02-07,6.69472972972973,7.2496,8.5263
"39",39,1982-02-08,6.68391891891892,7.2033,8.4674
"40",40,1982-02-09,6.48418918918919,7.1588,8.4098
"41",41,1982-02-10,6.0177027027027,7.116,8.3526
"42",42,1982-02-11,6.31148648648649,7.075,8.2985
"43",43,1982-02-12,6.34081081081081,7.0358,8.2448
"44",44,1982-02-13,6.4,6.998,8.1932
"45",45,1982-02-14,6.43986486486487,6.9614,8.1422
"46",46,1982-02-15,6.45675675675676,6.9257,8.0944
"47",47,1982-02-16,6.40689189189189,6.8914,8.0485
"48",48,1982-02-17,6.76594594594595,6.8589,8.0033
"49",49,1982-02-18,6.47189189189189,6.828,7.9601
"50",50,1982-02-19,6.34445945945946,6.7984,7.9199
"51",51,1982-02-20,6.09378378378378,6.77,7.8842
"52",52,1982-02-21,5.88297297297297,6.7428,7.8513
"53",53,1982-02-22,6.21351351351351,6.7166,7.8203
"54",54,1982-02-23,6.22932432432432,6.6917,7.7931
"55",55,1982-02-24,6.33324324324324,6.6683,7.7695
"56",56,1982-02-25,6.3427027027027,6.6465,7.7498
"57",57,1982-02-26,6.23108108108108,6.6263,7.7331
"58",58,1982-02-27,6.1322972972973,6.6069,7.7176
"59",59,1982-02-28,5.71594594594595,6.5882,7.7051
"60",61,1982-03-01,5.66337837837838,6.5538,7.6852
"61",62,1982-03-02,5.70689189189189,6.5382,7.6777
"62",63,1982-03-03,5.66256756756757,6.5239,7.6709
"63",64,1982-03-04,5.75054054054054,6.5109,7.6653
"64",65,1982-03-05,5.81297297297297,6.4994,7.661
"65",66,1982-03-06,5.82594594594595,6.4892,7.6584
"66",67,1982-03-07,5.82351351351351,6.4807,7.6572
"67",68,1982-03-08,5.5095945945946,6.4743,7.6579
"68",69,1982-03-09,5.4695945945946,6.4706,7.6596
"69",70,1982-03-10,5.49094594594595,6.4695,7.6632
"70",71,1982-03-11,5.73594594594595,6.4707,7.6673
"71",72,1982-03-12,6.30675675675676,6.4744,7.6736
"72",73,1982-03-13,5.8722972972973,6.4805,7.6827
"73",74,1982-03-14,5.67837837837838,6.4896,7.6931
"74",75,1982-03-15,5.62864864864865,6.5015,7.7052
"75",76,1982-03-16,5.08162162162162,6.5162,7.7201
"76",77,1982-03-17,6.07148648648649,6.5336,7.7376
"77",78,1982-03-18,6.1045945945946,6.5531,7.7561
"78",79,1982-03-19,6.22175675675676,6.5745,7.7764
"79",80,1982-03-20,6.455,6.5973,7.7992
"80",81,1982-03-21,6.33256756756757,6.6219,7.8231
"81",82,1982-03-22,6.19027027027027,6.6485,7.8488
"82",83,1982-03-23,6.30121621621622,6.6769,7.8774
"83",84,1982-03-24,6.33986486486486,6.7073,7.908
"84",85,1982-03-25,6.75932432432432,6.7395,7.9384
"85",86,1982-03-26,6.50702702702703,6.7735,7.968
"86",87,1982-03-27,6.22810810810811,6.8097,7.9973
"87",88,1982-03-28,6.21054054054054,6.8483,8.0268
"88",89,1982-03-29,6.43283783783784,6.8901,8.0594
