"","Year","Variable","Val","Loc","N"
"1",1967,"BT_insitu",-1.78195256311499,"NYB",56
"2",1968,"BT_insitu",-0.732202585952199,"NYB",77
"3",1969,"BT_insitu",-1.17651173028215,"NYB",146
"4",1970,"BT_insitu",-1.28546954917621,"NYB",425
"5",1971,"BT_insitu",-0.543881147430531,"NYB",472
"6",1972,"BT_insitu",0.345120788120239,"NYB",220
"7",1973,"BT_insitu",0.21901635014155,"NYB",328
"8",1974,"BT_insitu",-0.639716253321313,"NYB",486
"9",1975,"BT_insitu",0.462315218846306,"NYB",565
"10",1976,"BT_insitu",-0.201427498783108,"NYB",800
"11",1977,"BT_insitu",-0.986152567625395,"NYB",1010
"12",1978,"BT_insitu",-1.35645559338203,"NYB",1066
"13",1979,"BT_insitu",-0.676179240035417,"NYB",950
"14",1980,"BT_insitu",-0.7805503092172,"NYB",612
"15",1981,"BT_insitu",-0.930018062296788,"NYB",683
"16",1982,"BT_insitu",0.0228742437791567,"NYB",698
"17",1983,"BT_insitu",-0.390331834135231,"NYB",746
"18",1984,"BT_insitu",-0.151263673453204,"NYB",591
"19",1985,"BT_insitu",0.104664765489635,"NYB",300
"20",1986,"BT_insitu",0.851033141209403,"NYB",316
"21",1987,"BT_insitu",-0.806576839588558,"NYB",533
"22",1988,"BT_insitu",-0.243724491522649,"NYB",238
"23",1989,"BT_insitu",0.854417034014153,"NYB",352
"24",1990,"BT_insitu",-0.0818405431710776,"NYB",464
"25",1991,"BT_insitu",0.186247809184666,"NYB",593
"26",1992,"BT_insitu",-0.385850796955512,"NYB",352
"27",1993,"BT_insitu",-0.779813281720152,"NYB",342
"28",1994,"BT_insitu",-0.326641716039333,"NYB",405
"29",1995,"BT_insitu",0.88560279947058,"NYB",297
"30",1996,"BT_insitu",-1.05687044691331,"NYB",389
"31",1997,"BT_insitu",0.100450230772405,"NYB",496
"32",1998,"BT_insitu",-0.572732955698147,"NYB",376
"33",1999,"BT_insitu",1.18428186490733,"NYB",355
"34",2000,"BT_insitu",1.17657818284427,"NYB",305
"35",2001,"BT_insitu",0.452645363473172,"NYB",363
"36",2002,"BT_insitu",0.875038362093461,"NYB",372
"37",2003,"BT_insitu",-0.0604765461094692,"NYB",294
"38",2004,"BT_insitu",-0.831103710526633,"NYB",428
"39",2005,"BT_insitu",-0.027328470073148,"NYB",396
"40",2006,"BT_insitu",1.33045371957092,"NYB",303
"41",2007,"BT_insitu",-0.0161695918768101,"NYB",411
"42",2008,"BT_insitu",0.615666921449171,"NYB",424
"43",2009,"BT_insitu",0.410399422042536,"NYB",418
"44",2010,"BT_insitu",0.459985211140669,"NYB",295
"45",2011,"BT_insitu",0.221776683069955,"NYB",358
"46",2012,"BT_insitu",0.904065728678193,"NYB",489
"47",2013,"BT_insitu",0.658169970646388,"NYB",383
"48",2014,"BT_insitu",0.7764284108581,"NYB",202
"49",2015,"BT_insitu",0.598122449860652,"NYB",242
"50",2016,"BT_insitu",1.50761908689822,"NYB",287
"51",2017,"BT_insitu",0.258506058675777,"NYB",204
"52",2018,"BT_insitu",0.200528468707796,"NYB",270
"53",2019,"BT_insitu",-0.063360115481397,"NYB",140
"54",2020,"BT_insitu",1.22259382793726,"NYB",36
