YEAR,sm_lg,cal_fin,chla_jan,chla_feb,chla_mar,chla_apr,chla_may,chla_jun,chla_jul,chla_aug,chla_sep,chla_oct,chla_nov,chla_dec,temppref_spring,temppref_fall,avgtl_spring,avgtl_fall,richness_spring,richness_fall,benthicpelagic_spring,benthicpelagic_fall,northsouth_spring,northsouth_fall,sflounder_spring,sflounder_fall,bsb_spring,bsb_fall,trawl_spring,trawl_fall,piscivore_spring,piscivore_fall,planktivore_spring,planktivore_fall,benthivore_fall,benthivore_spring,Lob_fall,Lob_spring,Jonah_fall,Jonah_spring,longfin_fall,longfin_spring,shortfin_fall,shortfin_spring,forage_fall,forage_spring,benthos_fall,benthos_spring
1963,,,,,,,,,,,,,,,,8.23175238237408,,4.06989349525207,,51.0,,41.84805339,,37.53067971,,0.785023553793934,,0.133765455489943,,177.256543903168,,658.512486642903,,3.7068734214864,282.6732904123,,0.0,,,,0.0,,,,2.36298589758586,,0.0,
1964,,,,,,,,,,,,,,,,9.28237768534295,,4.23832108051732,,47.0,,28.95377584,,27.05642055,,1.21353663800259,,0.0790155470000899,,382.911586218632,,1046.78640895193,,11.2136112973567,228.962573372552,,1.55634046108704,,,,0.608504129996382,,0.295426405592751,,8.65462042727561,,1.67451136538113,
1965,,,,,,,,,,,,,,,,8.29230760579163,,4.13739492821131,,53.0,,30.53445791,,37.27029394,,0.0303818203159566,,0.0303818203159566,,218.01320723476,,768.735914722432,,10.0946413298298,268.85320836037,,2.36247610339568,,,,2.00871726408216,,0.125905752832562,,5.96343715060779,,0.264925056564482,
1966,,,,,,,,,,,,,,,,8.47805284425607,,4.1837877944115,,54.0,,27.71903571,,33.53794276,,0.0141099191071589,,,,224.130177417204,,644.259257747167,,14.4122837328212,196.965285968588,,2.07795696000544,,,,,,,,5.5334860885625,,0.585390204487648,
1967,,,,,,,,,,,,,,,,8.01871235354267,,4.12132620913907,,48.0,,23.15611752,,30.3492125,,,,0.0243054562527653,,217.082046818175,,872.940168353849,,15.718451149746,174.174335658087,,1.26896597181064,,,,2.82320481648539,,0.600293749044392,,11.4791991893497,,1.9029882428331,
1968,,,,,,,,,,,,,,,7.39185676777192,8.53531747377891,4.03988468083166,4.03117326397406,41.0,48.0,7.399222735,5.890224583,34.56763357,5.707931991,0.0717011262798684,0.232252137526424,,,239.005446265302,159.543119874382,864.009719436481,466.663274343716,47.4815352380287,24.9766878724167,138.698287425783,108.20181143631,1.07239477381972,0.94533492171571,,0.0055918363987925,14.6948539240018,6.00981442962741,0.820022463258406,0.0492677339249066,23.2915212647715,45.0136997506362,1.27702955588995,0.0407655498037201
1969,,,,,,,,,,,,,,,7.68708380703838,8.88721781121227,3.87113086182955,4.1898281779738,42.0,55.0,5.684680217,11.7857047,12.84066356,12.61971835,,0.384205900293191,,0.0141099191071589,158.285979873136,437.899859290337,688.251790612352,1368.11154788813,43.5133323805986,40.8036722154123,185.257767097527,138.1344726309,1.03176601813274,1.24221047024023,,,17.835541621048,1.51960375617926,0.0689697175068907,0.0068537328183677,40.6059776378907,34.4596118801663,0.14596636649126,0.187529169612943
1970,,,,,,,,,,,,,,,7.84189379813264,8.38378632165292,3.8563839469276,4.00700927224089,41.0,55.0,4.38780262,13.20072614,14.85355524,12.78375775,,0.2101314775539,,,115.477740307669,110.249567730257,503.758963709616,246.411193985211,33.4196972769885,9.22606853114343,137.916974160122,87.4195152159002,0.580067475407136,1.26738007328366,,,4.841449949622,1.56701542317403,0.335688352804588,0.007836149555498,7.37935794465663,26.4036434963105,0.705016844199264,0.0
1971,,,,,,,,,,,,,,,7.64304637351947,9.21054126582762,4.08721315565936,3.82903312318488,51.0,50.0,8.880775089,3.763043848,29.64606604,3.258858189,0.43218268964564,0.0546872765687219,,0.0,176.78493281352,74.6013796265183,670.502928375258,124.30484090355,42.0834027583421,12.6673072313746,107.022601943456,54.8090294193814,0.763341532496894,1.09331288101053,0.0146507163760112,,5.66869328131684,4.46118033845062,0.409536845808635,0.0120297157921915,15.0291288112513,39.020958311066,0.0556727222288425,0.0
1972,,,,,,,,,,,,,,,7.80109338601903,8.70005700949234,4.15694529723959,4.01359788780112,48.0,49.0,18.10599483,11.78285697,31.06462204,9.401627441,0.03019591655348,0.320730781000738,0.0,0.0,232.262816926323,159.004305939566,674.185634499747,319.794462588545,20.687374161136,12.9157025094336,218.873101473887,79.8230369529168,1.82800070947892,0.613215424038752,0.479965626057662,,5.36501972895952,5.12659065498748,0.487381015612355,0.0,9.10405103494197,18.7441947404925,0.787552514940108,0.403011800366268
