"","YEAR","TL"
"1",1968,4.03988468083166
"2",1969,3.87113086182955
"3",1970,3.8563839469276
"4",1971,4.08721315565936
"5",1972,4.15694529723959
"6",1973,3.97863203633388
"7",1974,4.16170770598147
"8",1975,4.16175819603573
"9",1976,4.032103136662
"10",1977,4.12514899264122
"11",1978,3.95855733121651
"12",1979,4.02554958727542
"13",1980,4.13910118133864
"14",1981,4.05889193546771
"15",1982,4.21271461903764
"16",1983,4.02385459614912
"17",1984,4.0327515824843
"18",1985,4.21292763472963
"19",1986,4.09165869813579
"20",1987,4.23835030128499
"21",1988,4.20914602572126
"22",1989,4.15540944620181
"23",1990,4.24262130932912
"24",1991,4.21783997826849
"25",1992,4.20591412440981
"26",1993,4.01170850246944
"27",1994,4.00443883253105
"28",1995,3.97774957861436
"29",1996,4.04921329889847
"30",1997,4.15049242584185
"31",1998,3.90586777116578
"32",1999,4.01649302006482
"33",2000,3.87882287341332
"34",2001,3.82600519814582
"35",2002,4.03144565467782
"36",2003,4.03924763729947
"37",2004,3.84166148068247
"38",2005,3.88287152951004
"39",2006,3.99420654186392
"40",2007,4.15144047488625
"41",2008,4.08186860896757
"42",2009,4.13973807559025
"43",2010,4.0039194830009
"44",2011,4.15579437585774
"45",2012,4.21007809969659
"46",2013,4.21691736825227
"47",2014,3.92820248275869
"48",2015,4.13394760300326
"49",2016,3.93663533718877
"50",2017,4.07394474670942
"51",2018,4.2037379216979
"52",2019,4.17415877174062
"53",2020,4.21854218765896
