"","YEAR","strat.biomass"
"1",1963,173.119680501915
"2",1964,370.128169921911
"3",1965,211.094738424334
"4",1966,216.325939849781
"5",1967,207.507759153425
"6",1968,136.388124279052
"7",1969,403.650682610565
"8",1970,102.485910670885
"9",1971,58.9388365133141
"10",1972,146.565435172397
"11",1973,49.6817824763445
"12",1974,36.1209933528994
"13",1975,96.9131497133305
"14",1976,35.7869986329847
"15",1977,81.6642890998772
"16",1978,39.1123910437849
"17",1979,107.563327516212
"18",1980,65.7826973394745
"19",1981,183.457714356098
"20",1982,48.2550390422584
"21",1983,61.5460712336878
"22",1984,101.951705010221
"23",1985,77.7734305357361
"24",1986,25.210185997919
"25",1987,41.7234403895514
"26",1988,77.7190525599797
"27",1989,25.4989237113073
"28",1990,30.6080244920379
"29",1991,28.0607709518284
"30",1992,28.4342413858486
"31",1993,17.5593660353142
"32",1994,18.6238773684066
"33",1995,27.416015622358
"34",1996,44.3065164373111
"35",1997,53.8575534801844
"36",1998,125.505342550313
"37",1999,58.5524255128039
"38",2000,55.4600294157255
"39",2001,70.855113876371
"40",2002,95.6722979070285
"41",2003,138.017198237599
"42",2004,132.147191061582
"43",2005,102.349026251356
"44",2006,114.746437453602
"45",2007,43.2348556882877
"46",2008,38.4994934983038
"47",2009,78.06591700358
"48",2010,92.9543535468404
"49",2011,46.2730756053436
"50",2012,144.265510784034
"51",2013,148.02466942713
"52",2014,45.5473024374856
"53",2015,160.274809991503
"54",2016,59.127182089626
"55",2018,63.79067416538
"56",2019,43.8238189995511
