"","YEAR","strat.biomass"
"1",1968,108.20181143631
"2",1969,138.1344726309
"3",1970,87.4195152159002
"4",1971,54.8090294193814
"5",1972,79.8230369529168
"6",1973,49.9869677557949
"7",1974,29.1477703080158
"8",1975,8.11032722291683
"9",1976,25.3535258129375
"10",1977,27.6345805420457
"11",1978,50.1548895086155
"12",1979,21.7653891622408
"13",1980,137.2133629404
"14",1981,157.661488562826
"15",1982,59.9177349428739
"16",1983,45.6012273825521
"17",1984,38.8330637364485
"18",1985,92.2409655948225
"19",1986,29.768883055957
"20",1987,11.5090517744188
"21",1988,43.4533984064381
"22",1989,35.5910777676694
"23",1990,42.3642337636096
"24",1991,32.1665557805753
"25",1992,16.4573336326883
"26",1993,12.5773682427195
"27",1994,20.0677123336369
"28",1995,29.689971602047
"29",1996,23.7114095744737
"30",1997,40.9381585662669
"31",1998,38.4027445529601
"32",1999,63.415311827728
"33",2000,42.2786003126631
"34",2001,30.1958445245524
"35",2002,48.7161043435208
"36",2003,13.0656195117301
"37",2004,25.3107613614134
"38",2005,11.7499659854831
"39",2006,32.9129823452739
"40",2007,9.03277598388045
"41",2008,20.482858865462
"42",2009,30.1488094963249
"43",2010,22.9646322064359
"44",2011,37.4485197271399
"45",2012,42.3380930982296
"46",2013,17.5979995539917
"47",2014,436.975954401635
"48",2015,10.7023983573912
"49",2016,88.9411969453736
"50",2017,26.314572055328
"51",2018,14.6023953246151
"52",2019,22.658259021876
"53",2020,6.6103863751764
