"","YEAR","strat.biomass"
"2409",1963,0.133765455489943
"2410",1964,0.0790155470000899
"2411",1965,0.0303818203159566
"2412",1967,0.0243054562527653
"2413",1969,0.0141099191071589
"2414",1971,0
"2415",1972,0
"2416",1973,0
"2417",1974,0
"2418",1975,0.0117582659226324
"2419",1976,0.0188132254762119
"2420",1977,0.0846595146429534
"2421",1978,0.102240012202036
"2422",1979,0.0141099191071589
"2423",1980,0
"2424",1981,0.0507957087857721
"2425",1982,0.0642423670047662
"2426",1983,0.00282198382143178
"2427",1984,0
"2428",1985,0.0489978146902934
"2429",1986,0
"2430",1987,0.0236552320380877
"2431",1990,0
"2432",1992,0
"2433",1995,0.0282198382143178
"2434",1996,0.00282198382143178
"2435",1997,0.00846595146429534
"2436",1998,0
"2437",1999,0.0264772158595195
"2438",2000,0.0112879352857271
"2439",2001,0.0589794618679242
"2440",2002,0.203102168713436
"2441",2003,0.03640359129647
"2442",2004,0.0986974697025026
"2443",2005,0.0657240032011462
"2444",2006,0.0694223610431747
"2445",2007,0.064905627892931
"2446",2008,2.82198382143178e-05
"2447",2009,0.0298191968532486
"2448",2010,0.0914563434599139
"2449",2011,0.0665597470362505
"2450",2012,0.172136666898624
"2451",2013,0.341772487011607
"2452",2014,0.392259627662208
"2453",2015,0.651821443405693
"2454",2016,0.198197857135624
"2455",2018,1.17609219211981
"2456",2019,0.271749729853998
