"","YEAR","strat.biomass"
"1",1968,228.449767334407
"2",1969,143.614233432221
"3",1970,104.223213000489
"4",1971,160.780154832023
"5",1972,214.061948959168
"6",1973,222.036217332935
"7",1974,224.278712822002
"8",1975,127.372978848541
"9",1976,105.42297776647
"10",1977,122.995080214014
"11",1978,97.438848045584
"12",1979,55.9365948692879
"13",1980,184.628314953746
"14",1981,187.237783705902
"15",1982,222.495710238655
"16",1983,96.5222035617907
"17",1984,107.024452919379
"18",1985,437.228957603766
"19",1986,154.335900218488
"20",1987,413.250242309669
"21",1988,409.313551551958
"22",1989,244.202093061122
"23",1990,300.497299337204
"24",1991,304.35860305818
"25",1992,227.007542476341
"26",1993,125.289618642217
"27",1994,79.5760402307416
"28",1995,94.7083993159172
"29",1996,185.794634428041
"30",1997,188.460672223426
"31",1998,91.5327252573793
"32",1999,244.348401002286
"33",2000,61.3652997125429
"34",2001,62.4025689615437
"35",2002,196.601891679469
"36",2003,99.7403555535383
"37",2004,44.4907661931622
"38",2005,36.5199254147253
"39",2006,121.442071317342
"40",2007,83.6790721496556
"41",2008,205.844233615581
"42",2009,289.788103276344
"43",2010,149.805698409785
"44",2011,208.379085839349
"45",2012,332.227532965834
"46",2013,215.09817398385
"47",2014,200.010615559934
"48",2015,100.27090482085
"49",2016,107.695545026509
"50",2017,99.5891959642737
"51",2018,217.919808482883
"52",2019,163.706309768058
"53",2020,118.98328069401
