"","YEAR","strat.biomass"
"1",1963,4.136863401253
"2",1964,12.7834162967212
"3",1965,6.91332851081213
"4",1966,7.80423756742355
"5",1967,8.96125004593039
"6",1968,23.1549955953297
"7",1969,34.2491766797721
"8",1970,7.76365705937202
"9",1971,15.6625431132042
"10",1972,12.4388707671696
"11",1973,38.3652201758632
"12",1974,18.4484786041102
"13",1975,23.8062680448358
"14",1976,35.289644938703
"15",1977,23.3235553356795
"16",1978,20.9206413800657
"17",1979,36.0266054068844
"18",1980,38.410948160411
"19",1981,59.268569638667
"20",1982,40.1021818405174
"21",1983,47.5092392857368
"22",1984,70.9228546324872
"23",1985,68.3104137118925
"24",1986,32.186015071175
"25",1987,13.3440341546649
"26",1988,37.9919834096034
"27",1989,117.489061617585
"28",1990,33.8774307134096
"29",1991,17.8063828123205
"30",1992,15.0546062283456
"31",1993,35.4842725986235
"32",1994,55.7282449075601
"33",1995,18.1675634725372
"34",1996,28.7075504847272
"35",1997,23.3609717104882
"36",1998,12.894726628551
"37",1999,32.4731877000229
"38",2000,33.2706292132126
"39",2001,18.6546778884509
"40",2002,20.5226667239323
"41",2003,14.0363841691036
"42",2004,13.2861440255449
"43",2005,13.4986966002416
"44",2006,41.7426765265702
"45",2007,13.2377798066414
"46",2008,19.4465247937598
"47",2009,35.0747945996349
"48",2010,46.0115301714524
"49",2011,156.387721781661
"50",2012,66.8282782981383
"51",2013,38.1235849617142
"52",2014,42.9465932237432
"53",2015,37.4923431670956
"54",2016,38.6187428819452
"55",2018,30.8600559276037
"56",2019,30.8738460226651
