"","YEAR","freq"
"1",1963,51
"2",1964,47
"3",1965,53
"4",1966,54
"5",1967,48
"6",1968,48
"7",1969,55
"8",1970,55
"9",1971,50
"10",1972,49
"11",1973,48
"12",1974,62
"13",1975,48
"14",1976,51
"15",1977,54
"16",1978,45
"17",1979,61
"18",1980,53
"19",1981,57
"20",1982,49
"21",1983,50
"22",1984,50
"23",1985,60
"24",1986,54
"25",1987,48
"26",1988,44
"27",1989,47
"28",1990,58
"29",1991,41
"30",1992,54
"31",1993,40
"32",1994,39
"33",1995,53
"34",1996,52
"35",1997,55
"36",1998,53
"37",1999,48
"38",2000,41
"39",2001,53
"40",2002,52
"41",2003,62
"42",2004,41
"43",2005,50
"44",2006,49
"45",2007,48
"46",2008,50
"47",2009,76
"48",2010,77
"49",2011,69
"50",2012,71
"51",2013,54
"52",2014,62
"53",2015,62
"54",2016,59
"55",2018,63
"56",2019,63
