"","YEAR","strat.biomass"
"1",1963,4.43548903817084
"2",1964,13.395547631872
"3",1965,5.48160198186933
"4",1966,6.38086759993032
"5",1967,6.80636623724335
"6",1968,22.5977644263854
"7",1969,31.3043848896874
"8",1970,7.54765030841551
"9",1971,16.0847783117592
"10",1972,14.47949738527
"11",1973,44.5418982799743
"12",1974,22.9767846352313
"13",1975,24.8962561125931
"14",1976,28.7478780326733
"15",1977,21.3565905957394
"16",1978,19.4068503803116
"17",1979,30.8841750472901
"18",1980,36.7199009900827
"19",1981,44.2163115383848
"20",1982,39.3136672503038
"21",1983,49.9140819072498
"22",1984,71.6677795477169
"23",1985,72.1200829868039
"24",1986,35.367326622575
"25",1987,14.8225945005107
"26",1988,43.3462652879803
"27",1989,48.2652501699574
"28",1990,36.1018334810974
"29",1991,19.0489715769505
"30",1992,15.7781844642281
"31",1993,39.5042398816436
"32",1994,59.8922975494591
"33",1995,20.3559814550274
"34",1996,22.8361114247603
"35",1997,25.5265789619653
"36",1998,10.3704419211996
"37",1999,36.3068541116412
"38",2000,36.6368139054527
"39",2001,28.4042023710032
"40",2002,25.3975507543351
"41",2003,20.2076422390872
"42",2004,19.9488430132095
"43",2005,14.8353068479176
"44",2006,46.3705681921733
"45",2007,18.1117331856792
"46",2008,23.2366925882239
"47",2009,39.765059092034
"48",2010,51.7126039131637
"49",2011,28.4726123881329
"50",2012,44.0322727566032
"51",2013,42.4292124325861
"52",2014,54.4613865634839
"53",2015,52.6530403083751
"54",2016,42.6996577849835
"55",2018,52.9405887990144
"56",2019,35.4457986124648
