"","Year","Variable","Val","Loc","N"
"1",1975,"Bot_salinity",0.158244881643082,"NYB",236
"2",1976,"Bot_salinity",0.224188399436188,"NYB",208
"3",1977,"Bot_salinity",0.349580396629059,"NYB",308
"4",1978,"Bot_salinity",-0.387215983363999,"NYB",240
"5",1979,"Bot_salinity",-0.0435491627156004,"NYB",275
"6",1982,"Bot_salinity",-0.0266155584493623,"NYB",13
"7",1984,"Bot_salinity",-0.172494603076106,"NYB",21
"8",1985,"Bot_salinity",-0.145922590377834,"NYB",24
"9",1987,"Bot_salinity",-0.180245594150028,"NYB",267
"10",1988,"Bot_salinity",-0.0288753759485841,"NYB",42
"11",1989,"Bot_salinity",-0.267489038828228,"NYB",160
"12",1990,"Bot_salinity",0.47473363544011,"NYB",42
"13",1991,"Bot_salinity",-0.0114215521972609,"NYB",168
"14",1992,"Bot_salinity",-0.21363951938142,"NYB",215
"15",1993,"Bot_salinity",-0.326410678694561,"NYB",226
"16",1994,"Bot_salinity",0.093965501022304,"NYB",254
"17",1995,"Bot_salinity",0.173517734441044,"NYB",133
"18",1996,"Bot_salinity",-0.488394425576791,"NYB",268
"19",1997,"Bot_salinity",-0.332268832566458,"NYB",299
"20",1998,"Bot_salinity",-0.864841293138691,"NYB",253
"21",1999,"Bot_salinity",0.0700144188103009,"NYB",242
"22",2000,"Bot_salinity",0.229340112416017,"NYB",243
"23",2001,"Bot_salinity",0.00864062883981159,"NYB",259
"24",2002,"Bot_salinity",0.264175532470395,"NYB",276
"25",2003,"Bot_salinity",0.205137872435522,"NYB",196
"26",2004,"Bot_salinity",-0.0902379426041929,"NYB",292
"27",2005,"Bot_salinity",-0.352208752991264,"NYB",279
"28",2006,"Bot_salinity",0.159199904420692,"NYB",251
"29",2007,"Bot_salinity",0.00619841268301735,"NYB",302
"30",2008,"Bot_salinity",0.000790567083087251,"NYB",294
"31",2009,"Bot_salinity",0.125333534670864,"NYB",293
"32",2010,"Bot_salinity",-0.162150685174552,"NYB",214
"33",2011,"Bot_salinity",-0.208020106071908,"NYB",271
"34",2012,"Bot_salinity",0.186497377958011,"NYB",262
"35",2013,"Bot_salinity",0.328016394940428,"NYB",237
"36",2014,"Bot_salinity",0.368569310989179,"NYB",155
"37",2015,"Bot_salinity",0.479844013152503,"NYB",160
"38",2016,"Bot_salinity",0.154518766193456,"NYB",186
"39",2017,"Bot_salinity",0.136240091230457,"NYB",121
"40",2018,"Bot_salinity",-0.0960441550360138,"NYB",203
"41",2019,"Bot_salinity",-0.172774924566074,"NYB",72
"42",2020,"Bot_salinity",0.0923275992909063,"NYB",75
"43",2021,"Bot_salinity",0.281745688712494,"NYB",63
