,April,July,October
1993,6148234512974.049,1055540868910.2424,132985638875.86331
1994,6190003020856.13,1170224036116.7925,0.0
1995,5925420216978.673,850803005553.7388,0.0
1996,6557678981902.617,1309428017471.8022,439190931786.4512
1997,7868095316683.478,920421304596.7593,58239795745.59666
1998,8105859125779.922,1383527922406.3416,540330268025.53723
1999,6164473288569.708,294904983685.5049,0.0
2000,4991196717610.666,519350463264.25726,0.0
2001,6451844299070.898,612277671854.6267,0.0
2002,6570632097735.173,745393354642.7697,6495449607.366764
2003,7954912816206.619,940904071010.6462,31960304471.532097
2004,5885618851152.838,1615117426103.0173,296182924142.469
2005,6934769368081.795,951695418184.4513,38273327383.05976
2006,5284409553838.141,458586230497.3607,0.0
2007,6579364085841.813,1222875811578.04,380838353200.0073
2008,5902205379957.283,1019173723561.011,169755643474.2881
2009,5652628878572.784,765294767879.5884,0.0
2010,6480423865892.209,877226087332.6362,0.0
2011,7233522213666.453,713772537437.6909,31022347332.592308
2012,4237022529098.7476,183202940087.82523,2621804857.192859
2013,5457696458564.248,550520673073.4142,0.0
2014,6008642772501.744,299189947841.7273,0.0
2015,3788703969151.052,201634311324.7916,0.0
2016,5468196673749.518,621212699288.2087,0.0
2017,6935969977776.878,1015911980316.709,12980515949.194883
2018,5824806471480.125,904618772279.6704,1953096610.8873196
2019,6362080867684.105,1160320964658.2441,0.0
