"","Year","Variable","Val","Loc","N"
"1",1856,"AMO",0.2125,"NES","NA"
"2",1857,"AMO",-0.00633333333333334,"NES","NA"
"3",1858,"AMO",0.0200833333333333,"NES","NA"
"4",1859,"AMO",0.03075,"NES","NA"
"5",1860,"AMO",0.0970833333333333,"NES","NA"
"6",1861,"AMO",0.193666666666667,"NES","NA"
"7",1862,"AMO",-0.185833333333333,"NES","NA"
"8",1863,"AMO",-0.10325,"NES","NA"
"9",1864,"AMO",0.0736666666666667,"NES","NA"
"10",1865,"AMO",0.179416666666667,"NES","NA"
"11",1866,"AMO",0.214,"NES","NA"
"12",1867,"AMO",0.1525,"NES","NA"
"13",1868,"AMO",0.164583333333333,"NES","NA"
"14",1869,"AMO",0.1055,"NES","NA"
"15",1870,"AMO",0.02825,"NES","NA"
"16",1871,"AMO",0.041,"NES","NA"
"17",1872,"AMO",0.10325,"NES","NA"
"18",1873,"AMO",0.0574166666666667,"NES","NA"
"19",1874,"AMO",-0.01175,"NES","NA"
"20",1875,"AMO",0.0440833333333333,"NES","NA"
"21",1876,"AMO",-0.0134166666666667,"NES","NA"
"22",1877,"AMO",0.249583333333333,"NES","NA"
"23",1878,"AMO",0.460416666666667,"NES","NA"
"24",1879,"AMO",0.133083333333333,"NES","NA"
"25",1880,"AMO",0.07,"NES","NA"
"26",1881,"AMO",0.0495,"NES","NA"
"27",1882,"AMO",-0.0191666666666667,"NES","NA"
"28",1883,"AMO",-0.0263333333333333,"NES","NA"
"29",1884,"AMO",-0.0699166666666667,"NES","NA"
"30",1885,"AMO",-0.01875,"NES","NA"
"31",1886,"AMO",0.12825,"NES","NA"
"32",1887,"AMO",0.12625,"NES","NA"
"33",1888,"AMO",0.199583333333333,"NES","NA"
"34",1889,"AMO",0.202083333333333,"NES","NA"
"35",1890,"AMO",-0.14075,"NES","NA"
"36",1891,"AMO",0.0381666666666667,"NES","NA"
"37",1892,"AMO",-0.08825,"NES","NA"
"38",1893,"AMO",-0.00241666666666667,"NES","NA"
"39",1894,"AMO",-0.240916666666667,"NES","NA"
"40",1895,"AMO",-0.0920833333333333,"NES","NA"
"41",1896,"AMO",0.108833333333333,"NES","NA"
"42",1897,"AMO",0.112,"NES","NA"
"43",1898,"AMO",0.0760833333333333,"NES","NA"
"44",1899,"AMO",0.129083333333333,"NES","NA"
"45",1900,"AMO",0.0985,"NES","NA"
"46",1901,"AMO",0.0896666666666667,"NES","NA"
"47",1902,"AMO",-0.100583333333333,"NES","NA"
"48",1903,"AMO",-0.191916666666667,"NES","NA"
"49",1904,"AMO",-0.346916666666667,"NES","NA"
"50",1905,"AMO",-0.202,"NES","NA"
"51",1906,"AMO",-0.0725833333333333,"NES","NA"
"52",1907,"AMO",-0.2265,"NES","NA"
"53",1908,"AMO",-0.129833333333333,"NES","NA"
"54",1909,"AMO",-0.137,"NES","NA"
"55",1910,"AMO",-0.2475,"NES","NA"
"56",1911,"AMO",-0.213583333333333,"NES","NA"
"57",1912,"AMO",-0.228083333333333,"NES","NA"
"58",1913,"AMO",-0.388083333333333,"NES","NA"
"59",1914,"AMO",-0.290583333333333,"NES","NA"
"60",1915,"AMO",0.093,"NES","NA"
"61",1916,"AMO",-0.077,"NES","NA"
"62",1917,"AMO",-0.280166666666667,"NES","NA"
"63",1918,"AMO",-0.2615,"NES","NA"
"64",1919,"AMO",-0.187583333333333,"NES","NA"
"65",1920,"AMO",-0.336666666666667,"NES","NA"
"66",1921,"AMO",-0.221833333333333,"NES","NA"
"67",1922,"AMO",-0.321833333333333,"NES","NA"
"68",1923,"AMO",-0.326166666666667,"NES","NA"
"69",1924,"AMO",-0.154583333333333,"NES","NA"
"70",1925,"AMO",-0.161666666666667,"NES","NA"
"71",1926,"AMO",0.08325,"NES","NA"
"72",1927,"AMO",0.107416666666667,"NES","NA"
"73",1928,"AMO",-0.00816666666666667,"NES","NA"
"74",1929,"AMO",-0.114166666666667,"NES","NA"
"75",1930,"AMO",0.00816666666666666,"NES","NA"
