,Percent_Inhospitable
1993,0.0
1994,0.0
1995,0.264248594745871
1996,0.03775207448340121
1997,0.012578805500802445
1998,0.025173268982600184
1999,0.21396479639184904
2000,0.06290968548500468
2001,0.025173268982600184
2002,0.17616580124801537
2003,0.0
2004,0.03775207448340121
2005,0.012578805500802445
2006,0.05033087998420224
2007,0.025173268982600184
2008,0.0
2009,0.1132718541797138
2010,0.0
2011,0.03775207448340121
2012,0.1132091690715085
2013,0.0
2014,0.17616580124801537
2015,0.07537850974236569
2016,0.15099253226541517
2017,0.08808295446760346
2018,0.15091397467116013
2019,0.0754884637343206
