"","Year","Variable","Val","Loc","N"
"1",1982,"fall_OISST",14.598732373678,"NYB",NA
"2",1983,"fall_OISST",14.5382197414806,"NYB",NA
"3",1984,"fall_OISST",15.2372106345476,"NYB",NA
"4",1985,"fall_OISST",15.7340863689777,"NYB",NA
"5",1986,"fall_OISST",14.717758519389,"NYB",NA
"6",1987,"fall_OISST",12.7846034077556,"NYB",NA
"7",1988,"fall_OISST",13.5939321386604,"NYB",NA
"8",1989,"fall_OISST",13.9081389541716,"NYB",NA
"9",1990,"fall_OISST",14.7216186839013,"NYB",NA
"10",1991,"fall_OISST",14.3755816686251,"NYB",NA
"11",1992,"fall_OISST",13.5754347826087,"NYB",NA
"12",1993,"fall_OISST",13.6769051116334,"NYB",NA
"13",1994,"fall_OISST",13.9646474735605,"NYB",NA
"14",1995,"fall_OISST",14.9410472972973,"NYB",NA
"15",1996,"fall_OISST",12.5630963572268,"NYB",NA
"16",1997,"fall_OISST",14.0848354876616,"NYB",NA
"17",1998,"fall_OISST",13.3320990011751,"NYB",NA
"18",1999,"fall_OISST",15.6166436545241,"NYB",NA
"19",2000,"fall_OISST",13.7686148648649,"NYB",NA
"20",2001,"fall_OISST",15.3766113396005,"NYB",NA
"21",2002,"fall_OISST",15.1005376028202,"NYB",NA
"22",2003,"fall_OISST",14.32196386604,"NYB",NA
"23",2004,"fall_OISST",13.9516216216216,"NYB",NA
"24",2005,"fall_OISST",14.6429083431257,"NYB",NA
"25",2006,"fall_OISST",14.8439424206816,"NYB",NA
"26",2007,"fall_OISST",13.7215658049354,"NYB",NA
"27",2008,"fall_OISST",14.7002217978848,"NYB",NA
"28",2009,"fall_OISST",15.1917097532315,"NYB",NA
"29",2010,"fall_OISST",14.1818830787309,"NYB",NA
"30",2011,"fall_OISST",15.6078243243243,"NYB",NA
"31",2012,"fall_OISST",15.9918257931845,"NYB",NA
"32",2013,"fall_OISST",17.0664653716216,"NYB",NA
"33",2014,"fall_OISST",15.9037382491187,"NYB",NA
"34",2015,"fall_OISST",16.2575558166863,"NYB",NA
"35",2016,"fall_OISST",15.7455199764982,"NYB",NA
"36",2017,"fall_OISST",15.6291084018801,"NYB",NA
"37",2018,"fall_OISST",14.3332784958872,"NYB",NA
"38",2019,"fall_OISST",17.3757538006757,"NYB",NA
"39",1982,"spring_OISST",11.6656593406593,"NYB",NA
"40",1983,"spring_OISST",12.6389367389367,"NYB",NA
"41",1984,"spring_OISST",12.0403608553609,"NYB",NA
"42",1985,"spring_OISST",13.2965013365013,"NYB",NA
"43",1986,"spring_OISST",13.2825586575587,"NYB",NA
"44",1987,"spring_OISST",12.4780902880903,"NYB",NA
"45",1988,"spring_OISST",12.0119022869023,"NYB",NA
"46",1989,"spring_OISST",13.0083145233145,"NYB",NA
"47",1990,"spring_OISST",12.5002331452331,"NYB",NA
"48",1991,"spring_OISST",13.289106029106,"NYB",NA
"49",1992,"spring_OISST",11.2581378081378,"NYB",NA
"50",1993,"spring_OISST",12.3312474012474,"NYB",NA
"51",1994,"spring_OISST",12.9716528066528,"NYB",NA
"52",1995,"spring_OISST",12.5971621621622,"NYB",NA
"53",1996,"spring_OISST",11.9686961686962,"NYB",NA
"54",1997,"spring_OISST",11.7274398574399,"NYB",NA
"55",1998,"spring_OISST",11.8924651024651,"NYB",NA
"56",1999,"spring_OISST",13.0617122067122,"NYB",NA
"57",2000,"spring_OISST",13.0630962280962,"NYB",NA
"58",2001,"spring_OISST",12.7982402732403,"NYB",NA
"59",2002,"spring_OISST",12.9180917730918,"NYB",NA
"60",2003,"spring_OISST",11.2343228393228,"NYB",NA
"61",2004,"spring_OISST",12.4823195723196,"NYB",NA
"62",2005,"spring_OISST",11.7243718443718,"NYB",NA
"63",2006,"spring_OISST",13.133912978913,"NYB",NA
"64",2007,"spring_OISST",11.906686961687,"NYB",NA
"65",2008,"spring_OISST",12.6044238194238,"NYB",NA
"66",2009,"spring_OISST",12.4998589248589,"NYB",NA
"67",2010,"spring_OISST",13.7518369468369,"NYB",NA
"68",2011,"spring_OISST",13.7779046629047,"NYB",NA
"69",2012,"spring_OISST",14.710493020493,"NYB",NA
"70",2013,"spring_OISST",12.8764434214434,"NYB",NA
"71",2014,"spring_OISST",13.5276061776062,"NYB",NA
"72",2015,"spring_OISST",13.7877130977131,"NYB",NA
"73",2016,"spring_OISST",13.2490035640036,"NYB",NA
"74",2017,"spring_OISST",12.7445931095931,"NYB",NA
