"","Year","Variable","Val","Loc","N"
"1",1981,"RecRelease_N",15221857.3641238,"NY","NA"
"2",1982,"RecRelease_N",10627048.597381,"NY","NA"
"3",1983,"RecRelease_N",15628281.9631056,"NY","NA"
"4",1984,"RecRelease_N",27761389.9066228,"NY","NA"
"5",1985,"RecRelease_N",21730116.0833507,"NY","NA"
"6",1986,"RecRelease_N",23470746.2812068,"NY","NA"
"7",1987,"RecRelease_N",26364178.4193976,"NY","NA"
"8",1988,"RecRelease_N",13237711.5379562,"NY","NA"
"9",1989,"RecRelease_N",15608187.7489395,"NY","NA"
"10",1990,"RecRelease_N",15154455.8587181,"NY","NA"
"11",1991,"RecRelease_N",19743774.2219134,"NY","NA"
"12",1992,"RecRelease_N",12302419.1328226,"NY","NA"
"13",1993,"RecRelease_N",17174013.5282283,"NY","NA"
"14",1994,"RecRelease_N",15633322.7747491,"NY","NA"
"15",1995,"RecRelease_N",11667871.6695954,"NY","NA"
"16",1996,"RecRelease_N",13529385.1446035,"NY","NA"
"17",1997,"RecRelease_N",13385004.5379897,"NY","NA"
"18",1998,"RecRelease_N",12518420.185005,"NY","NA"
"19",1999,"RecRelease_N",29671198.8787222,"NY","NA"
"20",2000,"RecRelease_N",29747754.8881408,"NY","NA"
"21",2001,"RecRelease_N",34906431.3803129,"NY","NA"
"22",2002,"RecRelease_N",34707794.0661403,"NY","NA"
"23",2003,"RecRelease_N",27681982.7836725,"NY","NA"
"24",2004,"RecRelease_N",34000231.9815056,"NY","NA"
"25",2005,"RecRelease_N",35273759.5614204,"NY","NA"
"26",2006,"RecRelease_N",36857264.688634,"NY","NA"
"27",2007,"RecRelease_N",31333283.7606752,"NY","NA"
"28",2008,"RecRelease_N",37289531.6570473,"NY","NA"
"29",2009,"RecRelease_N",36135301.5381403,"NY","NA"
"30",2010,"RecRelease_N",35811370.1323708,"NY","NA"
"31",2011,"RecRelease_N",35922928.1281818,"NY","NA"
"32",2012,"RecRelease_N",47572354.8990998,"NY","NA"
"33",2013,"RecRelease_N",53826100.1937907,"NY","NA"
"34",2014,"RecRelease_N",46348562.5637103,"NY","NA"
"35",2015,"RecRelease_N",62415658.2475495,"NY","NA"
"36",2016,"RecRelease_N",70250691.4416975,"NY","NA"
"37",2017,"RecRelease_N",84058674.6338526,"NY","NA"
"38",2018,"RecRelease_N",42097021.7183379,"NY","NA"
"39",2019,"RecRelease_N",60625357.022223,"NY","NA"
"40",2020,"RecRelease_N",53395053.6093206,"NY","NA"
"41",2021,"RecRelease_N",34390853.0155131,"NY","NA"
"42",1981,"RecRelease_Pct",0.288706158916239,"NY","NA"
"43",1982,"RecRelease_Pct",0.281253645640674,"NY","NA"
"44",1983,"RecRelease_Pct",0.303393060256469,"NY","NA"
"45",1984,"RecRelease_Pct",0.410635767627762,"NY","NA"
"46",1985,"RecRelease_Pct",0.346625346437397,"NY","NA"
"47",1986,"RecRelease_Pct",0.38487135672432,"NY","NA"
"48",1987,"RecRelease_Pct",0.453314468566365,"NY","NA"
"49",1988,"RecRelease_Pct",0.404143011669556,"NY","NA"
"50",1989,"RecRelease_Pct",0.341589317769972,"NY","NA"
"51",1990,"RecRelease_Pct",0.358321741570353,"NY","NA"
"52",1991,"RecRelease_Pct",0.398026885050442,"NY","NA"
"53",1992,"RecRelease_Pct",0.459702180026894,"NY","NA"
"54",1993,"RecRelease_Pct",0.582808069748113,"NY","NA"
"55",1994,"RecRelease_Pct",0.472355255876533,"NY","NA"
"56",1995,"RecRelease_Pct",0.589614676120375,"NY","NA"
"57",1996,"RecRelease_Pct",0.612855881854884,"NY","NA"
"58",1997,"RecRelease_Pct",0.606576193657991,"NY","NA"
"59",1998,"RecRelease_Pct",0.541266965321751,"NY","NA"
"60",1999,"RecRelease_Pct",0.672261066515945,"NY","NA"
"61",2000,"RecRelease_Pct",0.388618250230583,"NY","NA"
"62",2001,"RecRelease_Pct",0.786790700467787,"NY","NA"
"63",2002,"RecRelease_Pct",0.786542281218252,"NY","NA"
"64",2003,"RecRelease_Pct",0.583754767113203,"NY","NA"
"65",2004,"RecRelease_Pct",0.665820842610579,"NY","NA"
"66",2005,"RecRelease_Pct",0.777918507722867,"NY","NA"
"67",2006,"RecRelease_Pct",0.750941227334547,"NY","NA"
"68",2007,"RecRelease_Pct",0.729996073032442,"NY","NA"
"69",2008,"RecRelease_Pct",0.754696857855499,"NY","NA"
"70",2009,"RecRelease_Pct",0.78823415002363,"NY","NA"
"71",2010,"RecRelease_Pct",0.76151045691349,"NY","NA"
"72",2011,"RecRelease_Pct",0.790157700327023,"NY","NA"
"73",2012,"RecRelease_Pct",0.813271639404047,"NY","NA"
"74",2013,"RecRelease_Pct",0.811781778519898,"NY","NA"
"75",2014,"RecRelease_Pct",0.764507907742809,"NY","NA"
"76",2015,"RecRelease_Pct",0.688563311725592,"NY","NA"
"77",2016,"RecRelease_Pct",0.800123990516224,"NY","NA"
"78",2017,"RecRelease_Pct",0.821741396973165,"NY","NA"
"79",2018,"RecRelease_Pct",0.798427766567779,"NY","NA"
"80",2019,"RecRelease_Pct",0.752449470887367,"NY","NA"
"81",2020,"RecRelease_Pct",0.765147045449127,"NY","NA"
"82",2021,"RecRelease_Pct",0.723600644613367,"NY","NA"
"83",1981,"RecCatch_N",52724394.315883,"NY","NA"
"84",1982,"RecCatch_N",37784571.9054535,"NY","NA"
"85",1983,"RecCatch_N",51511665.9223992,"NY","NA"
"86",1984,"RecCatch_N",67605873.8550712,"NY","NA"
"87",1985,"RecCatch_N",62690499.4302698,"NY","NA"
"88",1986,"RecCatch_N",60983354.2328762,"NY","NA"
"89",1987,"RecCatch_N",58158696.1095152,"NY","NA"
"90",1988,"RecCatch_N",32755017.7925133,"NY","NA"
"91",1989,"RecCatch_N",45692844.9953757,"NY","NA"
"92",1990,"RecCatch_N",42292872.8586309,"NY","NA"
"93",1991,"RecCatch_N",49604122.1421796,"NY","NA"
"94",1992,"RecCatch_N",26761715.8833202,"NY","NA"
"95",1993,"RecCatch_N",29467700.2939422,"NY","NA"
"96",1994,"RecCatch_N",33096536.0928162,"NY","NA"
"97",1995,"RecCatch_N",19788977.6868669,"NY","NA"
"98",1996,"RecCatch_N",22075965.2394216,"NY","NA"
"99",1997,"RecCatch_N",22066485.0977264,"NY","NA"
"100",1998,"RecCatch_N",23127995.9558653,"NY","NA"
"101",1999,"RecCatch_N",44136423.1198096,"NY","NA"
"102",2000,"RecCatch_N",76547498.4010409,"NY","NA"
"103",2001,"RecCatch_N",44365587.1371627,"NY","NA"
"104",2002,"RecCatch_N",44127054.4443999,"NY","NA"
"105",2003,"RecCatch_N",47420568.2645917,"NY","NA"
"106",2004,"RecCatch_N",51065136.153137,"NY","NA"
"107",2005,"RecCatch_N",45343772.1448152,"NY","NA"
"108",2006,"RecCatch_N",49081423.8811447,"NY","NA"
"109",2007,"RecCatch_N",42922537.4192975,"NY","NA"
"110",2008,"RecCatch_N",49409946.8798731,"NY","NA"
"111",2009,"RecCatch_N",45843359.5360681,"NY","NA"
"112",2010,"RecCatch_N",47026760.8372962,"NY","NA"
"113",2011,"RecCatch_N",45462985.5702404,"NY","NA"
"114",2012,"RecCatch_N",58495037.3210605,"NY","NA"
"115",2013,"RecCatch_N",66306120.2136497,"NY","NA"
"116",2014,"RecCatch_N",60625354.0274728,"NY","NA"
"117",2015,"RecCatch_N",90646215.3656301,"NY","NA"
"118",2016,"RecCatch_N",87799756.3807244,"NY","NA"
"119",2017,"RecCatch_N",102293343.068121,"NY","NA"
"120",2018,"RecCatch_N",52724896.9550513,"NY","NA"
"121",2019,"RecCatch_N",80570668.6865329,"NY","NA"
"122",2020,"RecCatch_N",69784042.069951,"NY","NA"
"123",2021,"RecCatch_N",47527394.1109999,"NY","NA"
"124",1981,"Rec_HarvLB",74853114.4874318,"NY","NA"
"125",1982,"Rec_HarvLB",67234977.8301545,"NY","NA"
"126",1983,"Rec_HarvLB",68926912.6179494,"NY","NA"
"127",1984,"Rec_HarvLB",62798806.1054326,"NY","NA"
"128",1985,"Rec_HarvLB",66071796.29917,"NY","NA"
"129",1986,"Rec_HarvLB",77841648.2076864,"NY","NA"
"130",1987,"Rec_HarvLB",137671031.276434,"NY","NA"
"131",1988,"Rec_HarvLB",51457139.2603398,"NY","NA"
"132",1989,"Rec_HarvLB",58768659.9341666,"NY","NA"
"133",1990,"Rec_HarvLB",37366569.4707291,"NY","NA"
"134",1991,"Rec_HarvLB",50295255.4010869,"NY","NA"
"135",1992,"Rec_HarvLB",31976983.8402331,"NY","NA"
"136",1993,"Rec_HarvLB",30751959.6887738,"NY","NA"
"137",1994,"Rec_HarvLB",32464852.4458117,"NY","NA"
"138",1995,"Rec_HarvLB",39156783.3178646,"NY","NA"
"139",1996,"Rec_HarvLB",28222895.9793082,"NY","NA"
"140",1997,"Rec_HarvLB",26071563.0410337,"NY","NA"
"141",1998,"Rec_HarvLB",21128248.9885318,"NY","NA"
"142",1999,"Rec_HarvLB",23439438.022997,"NY","NA"
"143",2000,"Rec_HarvLB",34343102.7848336,"NY","NA"
"144",2001,"Rec_HarvLB",22588573.3428687,"NY","NA"
"145",2002,"Rec_HarvLB",31337060.8333755,"NY","NA"
"146",2003,"Rec_HarvLB",42695432.544255,"NY","NA"
"147",2004,"Rec_HarvLB",35707668.7674921,"NY","NA"
"148",2005,"Rec_HarvLB",33440312.7412046,"NY","NA"
"149",2006,"Rec_HarvLB",28617862.559177,"NY","NA"
"150",2007,"Rec_HarvLB",37511046.5490514,"NY","NA"
"151",2008,"Rec_HarvLB",37385939.1649716,"NY","NA"
"152",2009,"Rec_HarvLB",28426543.4256331,"NY","NA"
"153",2010,"Rec_HarvLB",40559789.1328655,"NY","NA"
"154",2011,"Rec_HarvLB",33225404.1297382,"NY","NA"
"155",2012,"Rec_HarvLB",31561785.0540454,"NY","NA"
"156",2013,"Rec_HarvLB",41230096.0009876,"NY","NA"
"157",2014,"Rec_HarvLB",48014302.6598849,"NY","NA"
"158",2015,"Rec_HarvLB",71870034.0565353,"NY","NA"
"159",2016,"Rec_HarvLB",46183996.758568,"NY","NA"
"160",2017,"Rec_HarvLB",53073864.7632347,"NY","NA"
"161",2018,"Rec_HarvLB",16877130.328465,"NY","NA"
"162",2019,"Rec_HarvLB",33322184.648194,"NY","NA"
"163",2020,"Rec_HarvLB",26103387.1215586,"NY","NA"
"164",2021,"Rec_HarvLB",18485059.8108269,"NY","NA"
"165",1981,"Rec_HarvN",37502536.9517592,"NY","NA"
"166",1982,"Rec_HarvN",27157523.3080725,"NY","NA"
"167",1983,"Rec_HarvN",35883383.9592936,"NY","NA"
"168",1984,"Rec_HarvN",39844483.9484484,"NY","NA"
"169",1985,"Rec_HarvN",40960383.3469191,"NY","NA"
"170",1986,"Rec_HarvN",37512607.9516693,"NY","NA"
"171",1987,"Rec_HarvN",31794517.6901176,"NY","NA"
"172",1988,"Rec_HarvN",19517306.2545571,"NY","NA"
"173",1989,"Rec_HarvN",30084657.2464362,"NY","NA"
"174",1990,"Rec_HarvN",27138416.9999128,"NY","NA"
"175",1991,"Rec_HarvN",29860347.9202662,"NY","NA"
"176",1992,"Rec_HarvN",14459296.7504975,"NY","NA"
"177",1993,"Rec_HarvN",12293686.7657138,"NY","NA"
"178",1994,"Rec_HarvN",17463213.3180671,"NY","NA"
"179",1995,"Rec_HarvN",8121106.01727156,"NY","NA"
"180",1996,"Rec_HarvN",8546580.0948181,"NY","NA"
"181",1997,"Rec_HarvN",8681480.55973675,"NY","NA"
"182",1998,"Rec_HarvN",10609575.7708604,"NY","NA"
"183",1999,"Rec_HarvN",14465224.2410874,"NY","NA"
"184",2000,"Rec_HarvN",46799743.5129001,"NY","NA"
"185",2001,"Rec_HarvN",9459155.75684982,"NY","NA"
"186",2002,"Rec_HarvN",9419260.3782596,"NY","NA"
"187",2003,"Rec_HarvN",19738585.4809192,"NY","NA"
"188",2004,"Rec_HarvN",17064904.1716314,"NY","NA"
"189",2005,"Rec_HarvN",10070012.5833948,"NY","NA"
"190",2006,"Rec_HarvN",12224159.1925108,"NY","NA"
"191",2007,"Rec_HarvN",11589253.6586223,"NY","NA"
"192",2008,"Rec_HarvN",12120415.2228258,"NY","NA"
"193",2009,"Rec_HarvN",9708057.99792778,"NY","NA"
"194",2010,"Rec_HarvN",11215390.7049253,"NY","NA"
"195",2011,"Rec_HarvN",9540057.44205859,"NY","NA"
"196",2012,"Rec_HarvN",10922682.4219607,"NY","NA"
