"","Year","Variable","Val","Loc","N"
"1",1975,"Strat_insitu",-0.0126574581605689,"NYB",236
"2",1976,"Strat_insitu",0.303868307972221,"NYB",208
"3",1977,"Strat_insitu",0.150633776680816,"NYB",308
"4",1978,"Strat_insitu",-0.126264161860549,"NYB",237
"5",1979,"Strat_insitu",-0.0138247117443893,"NYB",273
"6",1982,"Strat_insitu",0.15957990599719,"NYB",11
"7",1984,"Strat_insitu",0.379123913202361,"NYB",21
"8",1985,"Strat_insitu",0.350191267226019,"NYB",24
"9",1987,"Strat_insitu",-0.139277324188584,"NYB",266
"10",1988,"Strat_insitu",0.0125922340636495,"NYB",42
"11",1989,"Strat_insitu",-0.212646491800679,"NYB",159
"12",1990,"Strat_insitu",-0.0497606215791399,"NYB",42
"13",1991,"Strat_insitu",0.076905755410771,"NYB",167
"14",1992,"Strat_insitu",-0.162104954125954,"NYB",202
"15",1993,"Strat_insitu",-0.121951189881201,"NYB",220
"16",1994,"Strat_insitu",0.032745838294801,"NYB",253
"17",1995,"Strat_insitu",-0.338017734538651,"NYB",133
"18",1996,"Strat_insitu",-0.0472324957687592,"NYB",260
"19",1997,"Strat_insitu",0.127550810630649,"NYB",155
"20",1998,"Strat_insitu",0.0380514759354676,"NYB",253
"21",1999,"Strat_insitu",0.129682627021131,"NYB",240
"22",2000,"Strat_insitu",-0.0374257279959372,"NYB",243
"23",2001,"Strat_insitu",0.0274394217461505,"NYB",256
"24",2002,"Strat_insitu",-0.176206862335939,"NYB",273
"25",2003,"Strat_insitu",0.102830931088835,"NYB",188
"26",2004,"Strat_insitu",-0.13336655020729,"NYB",284
"27",2005,"Strat_insitu",0.272162453687637,"NYB",268
"28",2006,"Strat_insitu",0.0233592792721136,"NYB",248
"29",2007,"Strat_insitu",-0.0119277181431556,"NYB",299
"30",2008,"Strat_insitu",-0.0122700072687248,"NYB",283
"31",2009,"Strat_insitu",-0.00871998464705023,"NYB",290
"32",2010,"Strat_insitu",0.0306897989825498,"NYB",213
"33",2011,"Strat_insitu",0.0710525537831524,"NYB",269
"34",2012,"Strat_insitu",0.194495358899222,"NYB",261
"35",2013,"Strat_insitu",-0.163907666696914,"NYB",233
"36",2014,"Strat_insitu",-0.299956976921981,"NYB",155
"37",2015,"Strat_insitu",-0.117372540260793,"NYB",156
"38",2016,"Strat_insitu",-0.322539771385353,"NYB",185
"39",2017,"Strat_insitu",-0.427983752992841,"NYB",121
"40",2018,"Strat_insitu",-0.0994118460915067,"NYB",203
"41",2019,"Strat_insitu",0.267860179037016,"NYB",72
"42",2020,"Strat_insitu",0.0137724057352298,"NYB",75
"43",2021,"Strat_insitu",0.270238253928978,"NYB",63
