"","Year","Variable","Val","Loc","N"
"1",1975,"Surf_Salinity",0.121258809129026,"NYB",236
"2",1976,"Surf_Salinity",0.0175039804107779,"NYB",208
"3",1977,"Surf_Salinity",0.599356260253606,"NYB",308
"4",1978,"Surf_Salinity",-0.119945271402487,"NYB",240
"5",1979,"Surf_Salinity",0.093008456429832,"NYB",275
"6",1982,"Surf_Salinity",0.290812467915606,"NYB",13
"7",1984,"Surf_Salinity",-0.180321800981554,"NYB",21
"8",1985,"Surf_Salinity",0.388440007141049,"NYB",24
"9",1987,"Surf_Salinity",0.204282981136444,"NYB",267
"10",1988,"Surf_Salinity",-0.0348791855753092,"NYB",42
"11",1989,"Surf_Salinity",-0.263006354916585,"NYB",160
"12",1990,"Surf_Salinity",0.247691625064351,"NYB",42
"13",1991,"Surf_Salinity",-0.107541243527823,"NYB",168
"14",1992,"Surf_Salinity",-0.240216852509559,"NYB",215
"15",1993,"Surf_Salinity",-0.327915325028884,"NYB",226
"16",1994,"Surf_Salinity",-0.153614215546039,"NYB",254
"17",1995,"Surf_Salinity",0.51048255607888,"NYB",133
"18",1996,"Surf_Salinity",-0.618165354634416,"NYB",268
"19",1997,"Surf_Salinity",-0.721965219802586,"NYB",299
"20",1998,"Surf_Salinity",-1.04432604071616,"NYB",253
"21",1999,"Surf_Salinity",-0.153094459570665,"NYB",242
"22",2000,"Surf_Salinity",0.394035640934064,"NYB",243
"23",2001,"Surf_Salinity",-0.0196708635402437,"NYB",259
"24",2002,"Surf_Salinity",0.263000889251541,"NYB",276
"25",2003,"Surf_Salinity",0.0415740896924128,"NYB",196
"26",2004,"Surf_Salinity",0.21535254287661,"NYB",292
"27",2005,"Surf_Salinity",-0.582293302360794,"NYB",279
"28",2006,"Surf_Salinity",-0.231639282565121,"NYB",251
"29",2007,"Surf_Salinity",0.103926254603683,"NYB",302
"30",2008,"Surf_Salinity",-0.255226731672593,"NYB",294
"31",2009,"Surf_Salinity",0.0923571873613763,"NYB",293
"32",2010,"Surf_Salinity",-0.364976586666821,"NYB",214
"33",2011,"Surf_Salinity",-0.418557699369153,"NYB",271
"34",2012,"Surf_Salinity",0.0563131401365306,"NYB",262
"35",2013,"Surf_Salinity",0.219451919961218,"NYB",237
"36",2014,"Surf_Salinity",0.742519031412917,"NYB",155
"37",2015,"Surf_Salinity",0.833542184244137,"NYB",160
"38",2016,"Surf_Salinity",0.488606812734922,"NYB",186
"39",2017,"Surf_Salinity",0.582434243895269,"NYB",121
"40",2018,"Surf_Salinity",0.206680746580808,"NYB",203
"41",2019,"Surf_Salinity",-0.707749683273178,"NYB",72
"42",2020,"Surf_Salinity",-0.179726187010659,"NYB",75
"43",2021,"Surf_Salinity",0.0121998334255664,"NYB",63
