"","Year","Variable","Val"
"1",2000,"KG",44832357
"2",1950,"KG",142914500
"3",1951,"KG",138886500
"4",1952,"KG",141384900
"5",1953,"KG",138386700
"6",1954,"KG",139271800
"7",1955,"KG",134870200
"8",1956,"KG",154910700
"9",1957,"KG",158564200
"10",1958,"KG",98013200
"11",1959,"KG",115669700
"12",1960,"KG",126521500
"13",1961,"KG",124907900
"14",1962,"KG",225759300
"15",1963,"KG",191255700
"16",1964,"KG",197022100
"17",1965,"KG",147462500
"18",1966,"KG",64113100
"19",1967,"KG",37509300
"20",1968,"KG",59487900
"21",1969,"KG",41387400
"22",1970,"KG",32484100
"23",1971,"KG",36852794
"24",1972,"KG",37498751
"25",1973,"KG",36899796
"26",1974,"KG",35471804
"27",1975,"KG",38026604
"28",1976,"KG",35182589
"29",1977,"KG",33518019
"30",1978,"KG",36718858
"31",1979,"KG",38956655
"32",1980,"KG",41624195
"33",1981,"KG",37634555
"34",1982,"KG",36805590
"35",1983,"KG",39096099
"36",1984,"KG",40161741
"37",1985,"KG",41336309
"38",1986,"KG",44316803
"39",1987,"KG",41100878
"40",1988,"KG",38682875
"41",1989,"KG",41053193
"42",1990,"KG",46510585
"43",1991,"KG",51694015
"44",1992,"KG",53083192
"45",1993,"KG",59662031
"46",1994,"KG",56241439
"47",1995,"KG",57956810
"48",1996,"KG",60548986
"49",1997,"KG",60085073
"50",1998,"KG",56535625
"51",1999,"KG",49575851
"52",2001,"KG",42524005
"53",2002,"KG",38664291
"54",2003,"KG",39460337
"55",2004,"KG",35238801
"56",2005,"KG",39098150
"57",2006,"KG",33320644
"58",2007,"KG",35832259
"59",2008,"KG",34062200
"60",2009,"KG",34151240
"61",2010,"KG",33774985
"62",2011,"KG",32151691
"63",2012,"KG",37103966
"64",2013,"KG",34440196
"65",2014,"KG",27668557
"66",2015,"KG",30272343
"67",2016,"KG",30233334
"68",2017,"KG",25166365
"69",2018,"KG",22868172
"70",2019,"KG",23580865
"71",2020,"KG",23164940
"72",2000,"USD",61328974
"73",1950,"USD",15625114
"74",1951,"USD",15241981
"75",1952,"USD",13639356
"76",1953,"USD",9729078
"77",1954,"USD",8423007
"78",1955,"USD",9819861
"79",1956,"USD",9573211
"80",1957,"USD",9252668
"81",1958,"USD",8271523
"82",1959,"USD",8965310
"83",1960,"USD",8885755
"84",1961,"USD",9319113
"85",1962,"USD",10201097
"86",1963,"USD",9718247
"87",1964,"USD",10790481
"88",1965,"USD",12387307
"89",1966,"USD",11348654
"90",1967,"USD",12582555
"91",1968,"USD",14326099
"92",1969,"USD",14040235
"93",1970,"USD",16116637
"94",1971,"USD",18710512
"95",1972,"USD",22152783
"96",1973,"USD",22084073
"97",1974,"USD",25475239
"98",1975,"USD",28503780
"99",1976,"USD",32604336
"100",1977,"USD",30846603
"101",1978,"USD",33989583
"102",1979,"USD",39259906
"103",1980,"USD",45403557
"104",1981,"USD",45838291
"105",1982,"USD",45800496
"106",1983,"USD",38546320
"107",1984,"USD",40315520
"108",1985,"USD",38793726
"109",1986,"USD",45756847
"110",1987,"USD",53570495
"111",1988,"USD",54474922
"112",1989,"USD",54686159
"113",1990,"USD",55371087
"114",1991,"USD",53828558
"115",1992,"USD",57680836
"116",1993,"USD",61383565
"117",1994,"USD",66956142
"118",1995,"USD",80095777
"119",1996,"USD",85072162
"120",1997,"USD",88086057
"121",1998,"USD",81884296
"122",1999,"USD",74916734
"123",2001,"USD",55284745
"124",2002,"USD",51431395
"125",2003,"USD",51695298
"126",2004,"USD",46954963
"127",2005,"USD",56475827
"128",2006,"USD",58525854
"129",2007,"USD",60373728
"130",2008,"USD",56673708
"131",2009,"USD",48065337
"132",2010,"USD",49843838
"133",2011,"USD",50626955
"134",2012,"USD",55030156
"135",2013,"USD",57291254
"136",2014,"USD",56775287
"137",2015,"USD",69162995
"138",2016,"USD",52573803
"139",2017,"USD",46786866
"140",2018,"USD",46864054
"141",2019,"USD",42175723
"142",2020,"USD",34226417
