year_frac,Cruise,Transect,Area Under 1.7,% Area under 1.7,% area under 1.7 (ideal transect),Area Under 1.5 (km2),% Area under 1.5,% area under 1.5 (Ideal transect),Area under 1.1,% Area under 1.1,% Area under 1.1 (Ideal transect),Area under 0.9,% Area under 0.9,% area under 0.9 (ideal transect)
2019,1902,1,4.55,45.203,37.533,0.28,2.781,2.309,0,0,0,0,0,0
2019,1902,2,0.28,5.217,2.309,0,0,0,0,0,0,0,0,0
2019,1902,3,1.05,9.925,8.661,0.105,0.992,0.866,0,0,0,0,0,0
2019,1902,4,1.68,14.618,13.858,0,0,0,0,0,0,0,0,0
2019,1902,6,1.26,23.702,10.394,0,0,0,0,0,0,0,0,0
2019.25,1905,6,3.08,26.873,25.407,1.54,13.436,12.703,0,0,0,0,0,0
2019.25,1905,4,3.64,31.67,30.027,2.275,19.794,18.766,0,0,0,0,0,0
2019.25,1905,3,0.63,41.271,5.197*,0.21,13.757,1.732,0,0,0,0,0,0
2019.5,1907,6,3.255,27.677,26.851,1.575,13.392,12.992,0,0,0,0,0,0
2019.5,1907,5,4.445,40.714,36.667,2.975,27.249,24.541,0,0,0,0,0,0
2019.5,1907,4,3.885,33.637,32.048,3.01,26.061,24.83,0,0,0,0,0,0
2019.5,1907,3,4.62,43.198,38.111,3.325,31.089,27.428,0,0,0,0,0,0
2019.5,1907,1,5.25,52.207,43.308,3.185,31.672,26.273,0,0,0,0,0,0
2019.75,1910,1,1.4,14.182,11.548,0.735,7.445,6.063,0,0,0,0,0,0
2019.75,1910,2,1.085,11.55,8.95,0.7,7.451,5.774,0.07,0.745,0.577,0,0,0
2020,2002,7,0,0,0,0,0,0,0,0,0,0,0,0
2020,2002,6,0.14,1.15,1.154,0,0,0,0,0,0,0,0,0
2020.75,2010,7,0.84,6.734,6.929,0.14,1.122,1.154,0,0,0,0,0,0
2020.75,2010,6,0.665,5.426,5.485,0.315,2.57,2.598,0,0,0,0,0,0
2020.75,2010,5,0.77,6.396,6.351,0.28,2.325,2.309,0,0,0,0,0,0
2020.75,2010,4,0.63,5.462,5.197,0.035,0.303,0.288,0,0,0,0,0,0
2020.75,2010,3,0.63,5.834,5.197,0.07,0.648,0.577,0,0,0,0,0,0
2020.75,2010,2,0.28,2.931,2.309,0.07,0.732,0.577,0,0,0,0,0,0
2020.75,2010,1,0.35,3.476,2.887,0,0,0,0,0,0,0,0,0
2021,2103,7,0,0,0,0,0,0,0,0,0,0,0,0
2021,2103,6,0,0,0,0,0,0,0,0,0,0,0,0
2021,2103,5,0,0,0,0,0,0,0,0,0,0,0,0
2021,2103,4,0.035,0.302,0.288,0,0,0,0,0,0,0,0,0
2021.25,2105,7,1.4,11.135,11.548,0.35,2.783,2.887,0,0,0,0,0,0
2021.25,2105,6,3.71,30.442,30.604,0.455,3.733,3.753,0,0,0,0,0,0
2021.25,2105,5,2.415,20.291,19.921,0.63,5.293,5.197,0,0,0,0,0,0
2021.25,2105,4,2.24,19.383,18.478,0.56,4.845,4.619,0,0,0,0,0,0
2021.25,2105,3,3.675,34.481,30.315,0.63,5.911,5.197,0,0,0,0,0,0
2021.25,2105,2,3.577,37.94,29.449,1.61,17.11,13.281,0,0,0,0,0,0
2021.25,2105,1,4.235,42.302,34.935,2.415,24.123,19.921,0,0,0,0,0,0
2022,2202,7,0,0,0,0,0,0,0,0,0,0,0,0
2022,2202,6***,,,,,,,,,,,,
2022.25,2205,7,0.56,4.38,4.619,0,0,0,0,0,0,0,0,0
2022.25,2205,6***,,,,,,,,,,,,
2022.5,2207,7***,,,,,,,,,,,,
2022.5,2207,6,5.39,44.372,44.463,2.24,18.44,18.478,0,0,0,0,0,0
2022.5,2207,5,3.605,30.48,29.738,1.05,8.877,8.661,0,0,0,0,0,0
2022.5,2207,4,4.305,36.995,35.512,2.485,21.354,20.499,0,0,0,0,0,0
2022.5,2207,3,3.29,30.721,27.139,1.89,17.648,15.591,0,0,0,0,0,0
2022.5,2207,2*,0.595,41.454,4.908*,0.28,19.508,2.309,0,0,0,0,0,0
2022.5,2207,1*,0.07,5.294,0.577*,0,0,0,0,0,0,0,0,0
,220s,,,,,,,,,,,,,
