"","Year","Variable","Val","Loc","N"
"1",1941,"BT_insitu",-0.69911886012495,"NYB",360
"2",1942,"BT_insitu",-0.287981378245967,"NYB",159
"3",1943,"BT_insitu",1.7066905570145,"NYB",73
"4",1944,"BT_insitu",0.669112877269471,"NYB",109
"5",1945,"BT_insitu",-0.36184716728695,"NYB",215
"6",1946,"BT_insitu",-0.175414906386686,"NYB",272
"7",1947,"BT_insitu",0.229004281774128,"NYB",101
"8",1948,"BT_insitu",0.0180804862117911,"NYB",389
"9",1949,"BT_insitu",0.495091967875371,"NYB",212
"10",1950,"BT_insitu",0.257271776804397,"NYB",174
"11",1951,"BT_insitu",2.14650718599119,"NYB",283
"12",1952,"BT_insitu",0.415535047897043,"NYB",78
"13",1953,"BT_insitu",2.283024202174,"NYB",169
"14",1954,"BT_insitu",1.79470433229016,"NYB",180
"15",1955,"BT_insitu",-0.997391634120577,"NYB",150
"16",1956,"BT_insitu",0.797225867568649,"NYB",165
"17",1957,"BT_insitu",0.692471989058628,"NYB",174
"18",1958,"BT_insitu",0.222770178416918,"NYB",161
"19",1959,"BT_insitu",0.562310742532104,"NYB",422
"20",1960,"BT_insitu",-1.87113870751338,"NYB",922
"21",1961,"BT_insitu",0.523697132633138,"NYB",362
"22",1962,"BT_insitu",-2.09004151340719,"NYB",172
"23",1963,"BT_insitu",-0.181043988753524,"NYB",397
"24",1964,"BT_insitu",-2.19917482344531,"NYB",469
"25",1965,"BT_insitu",-2.21098058292584,"NYB",348
"26",1966,"BT_insitu",-1.71833892331276,"NYB",583
"27",1967,"BT_insitu",-0.881902353445845,"NYB",213
"28",1968,"BT_insitu",-1.22620330183494,"NYB",396
"29",1969,"BT_insitu",-0.895995502208696,"NYB",364
"30",1970,"BT_insitu",-1.47110307901021,"NYB",629
"31",1971,"BT_insitu",-0.598152659372019,"NYB",560
"32",1972,"BT_insitu",0.197318028211763,"NYB",430
"33",1973,"BT_insitu",-0.218396193594812,"NYB",320
"34",1974,"BT_insitu",-1.24232879283686,"NYB",459
"35",1975,"BT_insitu",0.208581072360634,"NYB",561
"36",1976,"BT_insitu",-0.482071168216472,"NYB",783
"37",1977,"BT_insitu",-1.24602055088248,"NYB",1002
"38",1978,"BT_insitu",-1.57301117639567,"NYB",1054
"39",1979,"BT_insitu",-0.946338796835425,"NYB",938
"40",1980,"BT_insitu",-1.0193377967106,"NYB",603
"41",1981,"BT_insitu",-1.18423223424177,"NYB",647
"42",1982,"BT_insitu",-0.33337508644251,"NYB",677
"43",1983,"BT_insitu",-0.700401637918108,"NYB",704
"44",1984,"BT_insitu",-0.455094926043165,"NYB",561
"45",1985,"BT_insitu",-0.199291220214208,"NYB",298
"46",1986,"BT_insitu",0.737185243600342,"NYB",317
"47",1987,"BT_insitu",-1.15140302574413,"NYB",531
"48",1988,"BT_insitu",0.0448731321134811,"NYB",247
"49",1989,"BT_insitu",0.714242372258628,"NYB",356
"50",1990,"BT_insitu",-0.0810915181697195,"NYB",475
"51",1991,"BT_insitu",-0.0182827338475386,"NYB",593
"52",1992,"BT_insitu",-0.416634346605583,"NYB",350
"53",1993,"BT_insitu",-0.789675027209704,"NYB",350
"54",1994,"BT_insitu",-0.29121331093578,"NYB",416
"55",1995,"BT_insitu",0.876526582426534,"NYB",303
"56",1996,"BT_insitu",-1.0965513233827,"NYB",392
"57",1997,"BT_insitu",0.0313435539998852,"NYB",467
"58",1998,"BT_insitu",-0.669104249151905,"NYB",392
"59",1999,"BT_insitu",1.06115010052206,"NYB",365
"60",2000,"BT_insitu",1.16627263416985,"NYB",310
"61",2001,"BT_insitu",0.713677496441192,"NYB",397
"62",2002,"BT_insitu",0.859411432286779,"NYB",397
"63",2003,"BT_insitu",-0.364141013417238,"NYB",317
"64",2004,"BT_insitu",-0.918105512751917,"NYB",457
"65",2005,"BT_insitu",0.0495771075963357,"NYB",416
"66",2006,"BT_insitu",1.26896162766587,"NYB",302
"67",2007,"BT_insitu",-0.0433329073908126,"NYB",419
"68",2008,"BT_insitu",0.488880839640976,"NYB",438
"69",2009,"BT_insitu",0.256832400762722,"NYB",420
"70",2010,"BT_insitu",0.607908929006682,"NYB",301
"71",2011,"BT_insitu",0.0663760354721625,"NYB",358
"72",2012,"BT_insitu",0.953101208561163,"NYB",1884
"73",2013,"BT_insitu",0.791919536705252,"NYB",2294
"74",2014,"BT_insitu",1.34617523898948,"NYB",2425
"75",2015,"BT_insitu",2.12624981284926,"NYB",710
"76",2016,"BT_insitu",2.67557879427566,"NYB",1284
"77",2017,"BT_insitu",-0.307493704087119,"NYB",373
"78",2018,"BT_insitu",-0.140003841057499,"NYB",339
"79",2019,"BT_insitu",0.263272712378245,"NYB",313
"80",2020,"BT_insitu",1.1198842089643,"NYB",81
"81",2021,"BT_insitu",0.896311153412841,"NYB",63
"82",2022,"BT_insitu",1.41765159529499,"NYB",49
