"","Year","Variable","Val","Loc","N"
"1",1993,"GLORYS12_count",0,"NYB",NA
"2",1994,"GLORYS12_count",0,"NYB",NA
"3",1995,"GLORYS12_count",3,"NYB",NA
"4",1996,"GLORYS12_count",0,"NYB",NA
"5",1997,"GLORYS12_count",0,"NYB",NA
"6",1998,"GLORYS12_count",0,"NYB",NA
"7",1999,"GLORYS12_count",4,"NYB",NA
"8",2000,"GLORYS12_count",3,"NYB",NA
"9",2001,"GLORYS12_count",4,"NYB",NA
"10",2002,"GLORYS12_count",5,"NYB",NA
"11",2003,"GLORYS12_count",0,"NYB",NA
"12",2004,"GLORYS12_count",0,"NYB",NA
"13",2005,"GLORYS12_count",1,"NYB",NA
"14",2006,"GLORYS12_count",10,"NYB",NA
"15",2007,"GLORYS12_count",1,"NYB",NA
"16",2008,"GLORYS12_count",0,"NYB",NA
"17",2009,"GLORYS12_count",2,"NYB",NA
"18",2010,"GLORYS12_count",0,"NYB",NA
"19",2011,"GLORYS12_count",2,"NYB",NA
"20",2012,"GLORYS12_count",1,"NYB",NA
"21",2013,"GLORYS12_count",1,"NYB",NA
"22",2014,"GLORYS12_count",1,"NYB",NA
"23",2015,"GLORYS12_count",2,"NYB",NA
"24",2016,"GLORYS12_count",5,"NYB",NA
"25",2017,"GLORYS12_count",1,"NYB",NA
"26",2018,"GLORYS12_count",0,"NYB",NA
"27",2019,"GLORYS12_count",2,"NYB",NA
"28",2020,"GLORYS12_count",3,"NYB",NA
"29",1993,"GLORYS12_duration",0,"NYB",NA
"30",1994,"GLORYS12_duration",0,"NYB",NA
"31",1995,"GLORYS12_duration",11,"NYB",NA
"32",1996,"GLORYS12_duration",0,"NYB",NA
"33",1997,"GLORYS12_duration",0,"NYB",NA
"34",1998,"GLORYS12_duration",0,"NYB",NA
"35",1999,"GLORYS12_duration",38.25,"NYB",NA
"36",2000,"GLORYS12_duration",20.6666666666667,"NYB",NA
"37",2001,"GLORYS12_duration",13,"NYB",NA
"38",2002,"GLORYS12_duration",24.2,"NYB",NA
"39",2003,"GLORYS12_duration",0,"NYB",NA
"40",2004,"GLORYS12_duration",0,"NYB",NA
"41",2005,"GLORYS12_duration",18,"NYB",NA
"42",2006,"GLORYS12_duration",10.9,"NYB",NA
"43",2007,"GLORYS12_duration",25,"NYB",NA
"44",2008,"GLORYS12_duration",0,"NYB",NA
"45",2009,"GLORYS12_duration",33.5,"NYB",NA
"46",2010,"GLORYS12_duration",0,"NYB",NA
"47",2011,"GLORYS12_duration",20,"NYB",NA
"48",2012,"GLORYS12_duration",185,"NYB",NA
"49",2013,"GLORYS12_duration",57,"NYB",NA
"50",2014,"GLORYS12_duration",166,"NYB",NA
"51",2015,"GLORYS12_duration",95,"NYB",NA
"52",2016,"GLORYS12_duration",28.8,"NYB",NA
"53",2017,"GLORYS12_duration",40,"NYB",NA
"54",2018,"GLORYS12_duration",0,"NYB",NA
"55",2019,"GLORYS12_duration",78.5,"NYB",NA
"56",2020,"GLORYS12_duration",27,"NYB",NA
"57",1993,"GLORYS12_duration_max",0,"NYB",NA
"58",1994,"GLORYS12_duration_max",0,"NYB",NA
"59",1995,"GLORYS12_duration_max",14,"NYB",NA
"60",1996,"GLORYS12_duration_max",0,"NYB",NA
