YEAR,MONTH,TYPE,TrackLengthSum_km,YM
2015,Apr,ALLOTHER,17179.126714376987,2015-Apr
2015,Apr,ALLVESSELTYPES,165484.88877813244,2015-Apr
2015,Apr,CARGO,58948.41923332061,2015-Apr
2015,Apr,FISHING,47922.06060768187,2015-Apr
2015,Apr,PASSENGER,4759.274695018545,2015-Apr
2015,Apr,PLEASURECRAFTSAILING,2289.630676919788,2015-Apr
2015,Apr,TANKER,24881.911925946908,2015-Apr
2015,Apr,TUGTOW,197.3773662586212,2015-Apr
2015,Aug,ALLOTHER,29629.933168732925,2015-Aug
2015,Aug,ALLVESSELTYPES,237264.6989502247,2015-Aug
2015,Aug,CARGO,66081.03136529327,2015-Aug
2015,Aug,FISHING,54680.00829084069,2015-Aug
2015,Aug,PASSENGER,10514.80837808436,2015-Aug
2015,Aug,PLEASURECRAFTSAILING,30617.462500060126,2015-Aug
2015,Aug,TANKER,32959.77169953285,2015-Aug
2015,Aug,TUGTOW,490.8156868054867,2015-Aug
2015,Dec,ALLOTHER,18068.788531509774,2015-Dec
2015,Dec,ALLVESSELTYPES,155008.449799973,2015-Dec
2015,Dec,CARGO,56336.725000447215,2015-Dec
2015,Dec,FISHING,38795.2238672586,2015-Dec
2015,Dec,PASSENGER,5310.372549537629,2015-Dec
2015,Dec,PLEASURECRAFTSAILING,1385.809518539436,2015-Dec
2015,Dec,TANKER,21614.87071775171,2015-Dec
2015,Dec,TUGTOW,1389.0338860330583,2015-Dec
2015,Feb,ALLOTHER,12928.377545261264,2015-Feb
2015,Feb,ALLVESSELTYPES,114646.38137033803,2015-Feb
2015,Feb,CARGO,46132.75840141261,2015-Feb
2015,Feb,FISHING,18593.82819172172,2015-Feb
2015,Feb,PASSENGER,4528.774624087691,2015-Feb
2015,Feb,PLEASURECRAFTSAILING,0,2015-Feb
2015,Feb,TANKER,23009.717364562333,2015-Feb
2015,Feb,TUGTOW,0,2015-Feb
2015,Jan,ALLOTHER,12159.401825841755,2015-Jan
2015,Jan,ALLVESSELTYPES,135379.44154275357,2015-Jan
2015,Jan,CARGO,54100.40843301901,2015-Jan
2015,Jan,FISHING,21551.432895796894,2015-Jan
2015,Jan,PASSENGER,6378.353799492121,2015-Jan
2015,Jan,PLEASURECRAFTSAILING,86.10870317745209,2015-Jan
2015,Jan,TANKER,31873.91542857033,2015-Jan
2015,Jan,TUGTOW,0,2015-Jan
2015,Jul,ALLOTHER,29059.995278539358,2015-Jul
2015,Jul,ALLVESSELTYPES,259973.37134725504,2015-Jul
2015,Jul,CARGO,64248.734761768756,2015-Jul
2015,Jul,FISHING,68190.2195563123,2015-Jul
2015,Jul,PASSENGER,11089.816398447201,2015-Jul
2015,Jul,PLEASURECRAFTSAILING,41411.434776786926,2015-Jul
2015,Jul,TANKER,30004.351181660048,2015-Jul
2015,Jul,TUGTOW,823.1282896044254,2015-Jul
2015,Jun,ALLOTHER,31659.216835314986,2015-Jun
2015,Jun,ALLVESSELTYPES,204880.6774058028,2015-Jun
2015,Jun,CARGO,54985.37619723483,2015-Jun
2015,Jun,FISHING,39224.60965301907,2015-Jun
2015,Jun,PASSENGER,10264.160104410112,2015-Jun
2015,Jun,PLEASURECRAFTSAILING,30306.535232350132,2015-Jun
2015,Jun,TANKER,27595.493397379876,2015-Jun
2015,Jun,TUGTOW,563.1953856115341,2015-Jun
2015,Mar,ALLOTHER,17288.1236122557,2015-Mar
2015,Mar,ALLVESSELTYPES,152040.42539620353,2015-Mar
2015,Mar,CARGO,57268.49159802845,2015-Mar
2015,Mar,FISHING,27178.790332270608,2015-Mar
2015,Mar,PASSENGER,4686.935190840006,2015-Mar
2015,Mar,PLEASURECRAFTSAILING,241.5803445818424,2015-Mar
2015,Mar,TANKER,29073.309361112446,2015-Mar
2015,Mar,TUGTOW,195.07328771400452,2015-Mar
2015,May,ALLOTHER,29364.544849336915,2015-May
2015,May,ALLVESSELTYPES,188861.46326467747,2015-May
2015,May,CARGO,63632.11971098065,2015-May
2015,May,FISHING,28144.31147880023,2015-May
2015,May,PASSENGER,8767.575159968525,2015-May
2015,May,PLEASURECRAFTSAILING,15930.539120831594,2015-May
2015,May,TANKER,30909.564803013684,2015-May
2015,May,TUGTOW,0.09674056243896484,2015-May
2015,Nov,ALLOTHER,19144.279178361325,2015-Nov
2015,Nov,ALLVESSELTYPES,147239.114533956,2015-Nov
2015,Nov,CARGO,52012.023054048506,2015-Nov
2015,Nov,FISHING,27914.197275641018,2015-Nov
2015,Nov,PASSENGER,8151.940921103045,2015-Nov
2015,Nov,PLEASURECRAFTSAILING,6122.799871116475,2015-Nov
2015,Nov,TANKER,19966.656056320815,2015-Nov
2015,Nov,TUGTOW,856.4402996730804,2015-Nov
2015,Oct,ALLOTHER,20329.91950831895,2015-Oct
2015,Oct,ALLVESSELTYPES,205268.90575106375,2015-Oct
2015,Oct,CARGO,64442.24694517893,2015-Oct
2015,Oct,FISHING,40150.53819535762,2015-Oct
2015,Oct,PASSENGER,19778.54620761326,2015-Oct
2015,Oct,PLEASURECRAFTSAILING,19555.603900341415,2015-Oct
2015,Oct,TANKER,26721.74503227968,2015-Oct
2015,Oct,TUGTOW,1074.71675497365,2015-Oct
2015,Sep,ALLOTHER,27967.541437428263,2015-Sep
2015,Sep,ALLVESSELTYPES,214801.3854144394,2015-Sep
2015,Sep,CARGO,53381.33457954663,2015-Sep
2015,Sep,FISHING,47743.17951646149,2015-Sep
2015,Sep,PASSENGER,11494.876767908394,2015-Sep
2015,Sep,PLEASURECRAFTSAILING,30661.35165867944,2015-Sep
2015,Sep,TANKER,30281.746617521196,2015-Sep
2015,Sep,TUGTOW,39.81361973571777,2015-Sep
2016,Apr,ALLOTHER,17329.11581572894,2016-Apr
2016,Apr,ALLVESSELTYPES,206250.80955737949,2016-Apr
2016,Apr,CARGO,57453.15310501347,2016-Apr
2016,Apr,FISHING,79512.63946549526,2016-Apr
2016,Apr,PASSENGER,6011.556848887205,2016-Apr
2016,Apr,PLEASURECRAFTSAILING,2338.024554282576,2016-Apr
2016,Apr,TANKER,31371.121686285882,2016-Apr
2016,Apr,TUGTOW,1565.444964468956,2016-Apr
2016,Aug,ALLOTHER,36712.28005650711,2016-Aug
2016,Aug,ALLVESSELTYPES,379575.1823628917,2016-Aug
2016,Aug,CARGO,66374.98588129066,2016-Aug
2016,Aug,FISHING,171151.8098574376,2016-Aug
2016,Aug,PASSENGER,15639.27108948046,2016-Aug
2016,Aug,PLEASURECRAFTSAILING,31704.050964840553,2016-Aug
2016,Aug,TANKER,39790.01209866816,2016-Aug
2016,Aug,TUGTOW,958.848059457779,2016-Aug
2016,Dec,ALLOTHER,11048.662530782281,2016-Dec
2016,Dec,ALLVESSELTYPES,148987.22789958536,2016-Dec
2016,Dec,CARGO,50460.06631304062,2016-Dec
2016,Dec,FISHING,40762.40355088191,2016-Dec
2016,Dec,PASSENGER,6396.760359469115,2016-Dec
2016,Dec,PLEASURECRAFTSAILING,468.68129081013797,2016-Dec
2016,Dec,TANKER,27384.768871658027,2016-Dec
2016,Dec,TUGTOW,31.221066469192504,2016-Dec
2016,Feb,ALLOTHER,11565.57814258267,2016-Feb
2016,Feb,ALLVESSELTYPES,133396.5746332044,2016-Feb
2016,Feb,CARGO,52056.16064436393,2016-Feb
2016,Feb,FISHING,32393.574746338643,2016-Feb
2016,Feb,PASSENGER,3290.9240236145256,2016-Feb
2016,Feb,PLEASURECRAFTSAILING,25.43722550201416,2016-Feb
2016,Feb,TANKER,21337.299453515858,2016-Feb
2016,Feb,TUGTOW,611.1889441871643,2016-Feb
2016,Jan,ALLOTHER,14976.52769059658,2016-Jan
2016,Jan,ALLVESSELTYPES,140877.17047868914,2016-Jan
2016,Jan,CARGO,55001.46156812507,2016-Jan
2016,Jan,FISHING,29121.28967157686,2016-Jan
2016,Jan,PASSENGER,5419.632444112494,2016-Jan
2016,Jan,PLEASURECRAFTSAILING,0,2016-Jan
2016,Jan,TANKER,21920.649407335237,2016-Jan
2016,Jan,TUGTOW,893.1524617500305,2016-Jan
2016,Jul,ALLOTHER,50933.920176755535,2016-Jul
2016,Jul,ALLVESSELTYPES,432642.68845613074,2016-Jul
2016,Jul,CARGO,64093.66335275349,2016-Jul
2016,Jul,FISHING,195130.3526502583,2016-Jul
2016,Jul,PASSENGER,17048.50671369839,2016-Jul
2016,Jul,PLEASURECRAFTSAILING,46647.610554961255,2016-Jul
2016,Jul,TANKER,39149.30765117004,2016-Jul
2016,Jul,TUGTOW,280.1411731033325,2016-Jul
2016,Jun,ALLOTHER,56170.80985635628,2016-Jun
2016,Jun,ALLVESSELTYPES,412514.4138744401,2016-Jun
2016,Jun,CARGO,62989.70007368186,2016-Jun
