"","seas","year","wind_spd"
"1","DJF",2009,10.4295698996353
"2","JJA",2009,4.81736642142175
"3","SON",2009,7.75872652462342
"4","DJF",2010,9.63176306595317
"5","MAM",2010,7.11924603132028
"6","JJA",2010,5.38187500061467
"7","SON",2010,7.43966071134803
"8","DJF",2011,8.29992253967005
"9","SON",2011,7.58540145423345
"10","DJF",2012,9.20176991875281
"11","DJF",2013,7.5523383164732
"12","MAM",2013,7.12229417529126
"13","JJA",2013,5.70611212816199
"14","SON",2013,7.34254829589665
"15","DJF",2014,8.53771562266808
"16","MAM",2014,6.70596877731814
"17","JJA",2014,5.08856624257692
"18","SON",2014,7.68239889398683
"19","DJF",2015,7.54729108892799
"20","SON",2015,7.13981193603019
"21","DJF",2016,9.60295202541835
"22","DJF",2017,8.27669774426442
"23","MAM",2017,6.98432456989849
"24","JJA",2017,5.13327272765
"25","SON",2017,7.16545871857793
"26","DJF",2018,8.23796689695641
"27","MAM",2018,7.36391941737725
"28","JJA",2018,5.26956925143269
"29","SON",2018,7.3959944169113
"30","DJF",2019,8.24206671263669
"31","MAM",2019,5.20581162224356
"32","JJA",2019,5.11597678938963
"33","SON",2019,7.51368461653516
"34","DJF",2020,7.55397193807261
"35","MAM",2020,12.3398058622786
"36","DJF",2021,7.31765629051313
"37","JJA",2021,4.95163457414016
"38","SON",2021,7.08783825394122
"39","DJF",2022,8.38751619492665
"40","MAM",2022,7.44692154905677
"41","JJA",2022,5.38387555783192
"42","SON",2022,6.99693726890657
