"","seas","year","wind_stress"
"1","DJF",2009,0.236799346362662
"2","JJA",2009,0.0515161933233252
"3","SON",2009,0.137450788475043
"4","DJF",2010,0.205006632470079
"5","MAM",2010,0.127633862912776
"6","JJA",2010,0.0618597282660735
"7","SON",2010,0.124728499926891
"8","DJF",2011,0.15428395458569
"9","SON",2011,0.127980138589753
"10","DJF",2012,0.180892901865239
"11","DJF",2013,0.139303626771198
"12","MAM",2013,0.11837612756519
"13","JJA",2013,0.0702696311806457
"14","SON",2013,0.12047877261615
"15","DJF",2014,0.165304208715521
"16","MAM",2014,0.106758303101383
"17","JJA",2014,0.0578619178741022
"18","SON",2014,0.131611330087098
"19","DJF",2015,0.138714044699344
"20","SON",2015,0.110111319933122
"21","DJF",2016,0.206866565673782
"22","DJF",2017,0.157783838529235
"23","MAM",2017,0.117114644782071
"24","JJA",2017,0.0600341170581948
"25","SON",2017,0.115826443304295
"26","DJF",2018,0.152503966113687
"27","MAM",2018,0.132937327598078
"28","JJA",2018,0.0608608956007285
"29","SON",2018,0.127180522205937
"30","DJF",2019,0.154458044798968
"31","MAM",2019,0.0639193480778427
"32","JJA",2019,0.0568781878237747
"33","SON",2019,0.130612150593548
"34","DJF",2020,0.132254277894687
"35","MAM",2020,0.298060312941585
"36","DJF",2021,0.122433515591277
"37","JJA",2021,0.0533869519662962
"38","SON",2021,0.111493380362274
"39","DJF",2022,0.16115071953473
"40","MAM",2022,0.146808322311134
"41","JJA",2022,0.0619269990678142
"42","SON",2022,0.112495794907092
