"","seas","year","wind_spd"
"1","DJF",2008,8.40889487169542
"2","SON",2008,7.23728361777396
"3","DJF",2009,8.40320483216894
"4","MAM",2009,5.82663636357947
"5","JJA",2009,4.76846642708727
"6","SON",2009,7.00137995153652
"7","DJF",2010,8.72715417570883
"8","MAM",2010,5.77521561830221
"9","JJA",2010,4.83995464622907
"10","SON",2010,7.23779203480283
"11","DJF",2011,7.21660482728291
"12","MAM",2011,6.11318532175603
"13","JJA",2011,5.09344263026196
"14","SON",2011,6.83226744078511
"15","DJF",2012,7.62822395488586
"16","MAM",2012,5.81342404099549
"17","JJA",2012,5.01548912998397
"18","SON",2012,6.9694457157006
"19","DJF",2013,7.6982407445157
"20","MAM",2013,6.53776160292361
"21","JJA",2013,5.10553287788719
"22","SON",2013,6.95936784583715
"23","DJF",2014,7.6367565076175
"24","MAM",2014,6.39600000542402
"25","SON",2014,7.11960784655089
"26","DJF",2015,7.71723019954588
"27","MAM",2015,5.83451247428821
"28","JJA",2015,5.07493187960146
"29","SON",2015,6.68821101472329
"30","DJF",2016,8.2614220174901
"31","MAM",2016,6.01960874319388
"32","JJA",2016,4.87083523778312
"33","SON",2016,6.8583141438035
"34","DJF",2017,7.50850767634639
"35","MAM",2017,6.48945671987838
"36","JJA",2017,5.04636033266457
"37","SON",2017,6.77088491346368
"38","DJF",2018,6.82169440390596
"39","MAM",2018,6.54613931961954
"40","JJA",2018,4.94602886853526
"41","SON",2018,7.18408500135373
"42","DJF",2019,7.45414532050363
"43","MAM",2019,5.99445456014659
"44","JJA",2019,4.75302948305216
"45","SON",2019,6.96889177680284
"46","DJF",2020,7.20311138477507
"47","MAM",2020,6.35613114581875
"48","JJA",2020,4.762017003585
"49","SON",2020,6.37891879264648
"50","DJF",2021,7.17300262711994
"51","MAM",2021,5.79042726660491
"52","JJA",2021,5.04815206882371
"53","SON",2021,6.62527523028411
"54","DJF",2022,7.61194820543417
"55","MAM",2022,6.2354346215663
"56","JJA",2022,5.20918375010303
"57","SON",2022,6.64037585659016
