"","seas","year","wind_stress"
"1","DJF",2008,0.158320403715847
"2","SON",2008,0.118298940065515
"3","DJF",2009,0.160222476112645
"4","MAM",2009,0.0811708608841578
"5","JJA",2009,0.0500243382466499
"6","SON",2009,0.113733917452511
"7","DJF",2010,0.173997113573747
"8","MAM",2010,0.0811629874062221
"9","JJA",2010,0.0502066442340101
"10","SON",2010,0.116479662065942
"11","DJF",2011,0.124791707458632
"12","MAM",2011,0.0871171122066641
"13","JJA",2011,0.0587721856585517
"14","SON",2011,0.105952946046886
"15","DJF",2012,0.133621124044931
"16","MAM",2012,0.078654123768534
"17","JJA",2012,0.054872706356173
"18","SON",2012,0.111050031379586
"19","DJF",2013,0.136592157089887
"20","MAM",2013,0.100752831049734
"21","JJA",2013,0.0563366612465608
"22","SON",2013,0.108585233764133
"23","DJF",2014,0.137549597105039
"24","MAM",2014,0.0983451273451199
"25","SON",2014,0.119568775111337
"26","DJF",2015,0.141077297217192
"27","MAM",2015,0.0804357212315053
"28","JJA",2015,0.0554536072319423
"29","SON",2015,0.101366463854175
"30","DJF",2016,0.155962916212512
"31","MAM",2016,0.0875515670356076
"32","JJA",2016,0.052253901980771
"33","SON",2016,0.110715887610012
"34","DJF",2017,0.133762779370901
"35","MAM",2017,0.10301161766276
"36","JJA",2017,0.057311602397471
"37","SON",2017,0.102670400014093
"38","DJF",2018,0.109923210723768
"39","MAM",2018,0.105895911262142
"40","JJA",2018,0.0549914374380388
"41","SON",2018,0.118358992579439
"42","DJF",2019,0.132733944130849
"43","MAM",2019,0.0838706501019601
"44","JJA",2019,0.0495276383938397
"45","SON",2019,0.108487675159178
"46","DJF",2020,0.108715021068497
"47","MAM",2020,0.0952333897487298
"48","JJA",2020,0.0526615031518903
