"","seas","year","wind_spd"
"1","DJF",1975,8.23738171141418
"2","SON",1975,6.67493947002739
"3","DJF",1976,8.08266569916037
"4","MAM",1976,6.91410133540702
"5","JJA",1976,5.61159829482373
"6","SON",1976,8.56929826074176
"7","DJF",1977,8.78915989293962
"8","MAM",1977,5.09204785695678
"9","JJA",1977,5.06746704591589
"10","SON",1977,7.24764011860729
"11","DJF",1978,9.16300447690558
"12","MAM",1978,5.50328896092594
"13","JJA",1978,4.80830527604145
"14","SON",1978,6.81349206538427
"15","DJF",1979,7.90386786131154
"16","MAM",1979,5.39522510325505
"17","JJA",1979,4.69799999932335
"18","SON",1979,6.53960351144432
"19","DJF",1980,8.04971949286435
"20","MAM",1980,5.84512750600178
"21","JJA",1980,4.69068493041886
"22","SON",1980,5.33776520319083
"23","DJF",1991,7.92287770076621
"24","MAM",1991,4.69069148693234
"25","JJA",1991,5.03338041202833
"26","SON",1991,6.35228789249724
"27","DJF",1992,7.89635417721178
"28","MAM",1992,5.90951265397481
"29","JJA",1992,4.91049383101668
"30","SON",1992,6.40851465796271
"31","DJF",1993,8.06254646306698
"32","MAM",1993,6.03619888439068
"33","JJA",1993,4.99619313121229
"34","SON",1993,6.78935973779335
"35","DJF",1994,8.16182670206599
"36","MAM",1994,6.17430776320449
"37","JJA",1994,5.15673823778544
"38","SON",1994,6.91326198873547
"39","DJF",1995,8.39183773734731
"40","MAM",1995,5.53301150002014
"41","JJA",1995,5.32606896566248
"42","SON",1995,6.69143025869896
"43","DJF",1996,7.88306113073148
"44","MAM",1996,6.52035763983071
"45","JJA",1996,4.92249657006557
"46","SON",1996,6.62327668009936
"47","DJF",1997,8.42651006594043
"48","MAM",1997,6.89434483281497
"49","JJA",1997,5.1498595452571
"50","SON",1997,7.08062827732877
"51","DJF",1998,7.39157212600877
"52","MAM",1998,6.35412935739133
"53","JJA",1998,4.85065789650986
"54","SON",1998,6.41584390824285
"55","DJF",1999,7.55514950501265
"56","MAM",1999,6.34339710990097
"57","JJA",1999,5.52208447968459
"58","SON",1999,6.78449720586173
"59","DJF",2000,8.25688623013391
"60","MAM",2000,6.37809100313412
"61","JJA",2000,5.24507488878178
"62","SON",2000,6.83767249805659
"63","DJF",2001,7.36114975287439
"64","MAM",2001,6.08327272528613
"65","JJA",2001,5.02885661980715
"66","SON",2001,6.67525252559256
"67","DJF",2002,8.05403525319386
"68","MAM",2002,6.51079365272168
"69","JJA",2002,5.32212630775789
"70","SON",2002,7.36348185267986
"71","DJF",2003,9.09540176478462
"72","MAM",2003,6.20019248424096
"73","JJA",2003,5.09265419443758
"74","SON",2003,6.99560998566793
"75","DJF",2004,8.54023941101345
"76","MAM",2004,6.05129959210719
"77","JJA",2004,5.05063463175029
"78","SON",2004,6.66481650931026
"79","DJF",2005,8.11917363561365
"80","MAM",2005,6.28362147309042
"81","JJA",2005,4.916409093636
"82","SON",2005,7.29317972114833
"83","DJF",2006,8.32207731548636
"84","MAM",2006,6.11717401265502
"85","JJA",2006,5.37237288327625
"86","SON",2006,6.98011854151264
"87","DJF",2007,8.73470839849047
"88","MAM",2007,7.21425856066294
"89","JJA",2007,8.40791140100624
"90","DJF",2008,8.33573073347638
"91","MAM",2008,6.65111111173419
"92","JJA",2008,4.61855716962104
"93","SON",2008,7.0294901263388
"94","DJF",2009,9.58180057187452
"95","MAM",2009,6.05056638013712
"96","JJA",2009,4.7864130415812
"97","SON",2009,7.42019231035801
"98","DJF",2010,9.22929995845162
"99","MAM",2010,5.92664250731468
"100","JJA",2010,5.23428442300824
"101","SON",2010,7.62243590411481
"102","DJF",2011,7.77617060159941
"103","MAM",2011,6.21350248873666
"104","JJA",2011,4.52531293351644
"105","SON",2011,7.31159420566552
"106","DJF",2012,8.01170483339227
"107","MAM",2012,6.00190476386928
"108","JJA",2012,5.15611412714613
"109","SON",2012,7.17873510882586
"110","DJF",2013,8.54351536484607
"111","MAM",2013,6.86775807364793
"112","JJA",2013,5.58887863310117
"113","SON",2013,6.5152410631927
"114","DJF",2014,0.877777788374159
"115","SON",2014,7.35859739901571
"116","DJF",2015,7.07483175667667
"117","MAM",2015,5.34585152689254
"118","JJA",2015,4.90684807395854
"119","SON",2015,7.02787712532369
"120","DJF",2016,8.72519505049943
"121","MAM",2016,6.26724294755774
"122","JJA",2016,5.03520548149739
"123","SON",2016,7.30829111512069
"124","DJF",2017,7.89550302252277
"125","MAM",2017,6.85251267278398
"126","JJA",2017,5.282560597167
"127","SON",2017,7.00165061802287
"128","DJF",2018,7.71555451687453
"129","MAM",2018,7.00615314059401
"130","JJA",2018,5.20059064323457
"131","SON",2018,7.50276370993796
"132","DJF",2019,8.06758395631784
"133","MAM",2019,6.19639434347151
"134","JJA",2019,4.92949372914798
"135","SON",2019,7.58428048520707
"136","DJF",2020,8.25497879794308
"137","MAM",2020,6.39472491366763
"138","JJA",2020,5.15666949927676
"139","SON",2020,6.74302560469501
"140","DJF",2021,7.9136486622605
"141","MAM",2021,6.08120717811558
"142","JJA",2021,5.0435472889634
"143","SON",2021,6.89757281628569
"144","DJF",2022,8.04875029865859
"145","MAM",2022,6.51956554722969
"146","JJA",2022,5.34646795133263
"147","SON",2022,6.96580903840498
