"","seas","year","wind_stress"
"1","DJF",1975,0.151720780021581
"2","SON",1975,0.099208163721838
"3","DJF",1976,0.148092269149098
"4","MAM",1976,0.110629914745612
"5","JJA",1976,0.0654295091391369
"6","SON",1976,0.154687692874875
"7","DJF",1977,0.170172713723932
"8","MAM",1977,0.0626088245155454
"9","JJA",1977,0.0565967492215824
"10","SON",1977,0.116389385809037
"11","DJF",1978,0.188719413186077
"12","MAM",1978,0.0696694192137651
"13","JJA",1978,0.050139450128174
"14","SON",1978,0.104879197142867
"15","DJF",1979,0.137861537274023
"16","MAM",1979,0.0694901145189303
"17","JJA",1979,0.0506289872842604
"18","SON",1979,0.0972444086621905
"19","DJF",1980,0.146951289722065
"20","MAM",1980,0.0848869660822071
"21","JJA",1980,0.0509727357907086
"22","SON",1980,0.0615396864161122
"23","DJF",1991,0.139861137284291
"24","MAM",1991,0.0495536429557071
"25","JJA",1991,0.0556953992298974
"26","SON",1991,0.0932861533616861
"27","DJF",1992,0.146369840372171
"28","MAM",1992,0.0847397888918813
"29","JJA",1992,0.053568540606845
"30","SON",1992,0.0914469779599955
"31","DJF",1993,0.148689862520699
"32","MAM",1993,0.0896670807850959
"33","JJA",1993,0.0532739900891442
"34","SON",1993,0.103484066611692
"35","DJF",1994,0.154785869996171
"36","MAM",1994,0.0894487102844236
"37","JJA",1994,0.0599580880910747
"38","SON",1994,0.105963488991616
"39","DJF",1995,0.15812004150274
"40","MAM",1995,0.0725022272028277
"41","JJA",1995,0.0619004309867838
"42","SON",1995,0.0999550465677817
"43","DJF",1996,0.147374801997276
"44","MAM",1996,0.101095985444153
"45","JJA",1996,0.0540177644968692
"46","SON",1996,0.0998859905188427
"47","DJF",1997,0.159383173550276
"48","MAM",1997,0.111293994021479
"49","JJA",1997,0.0609906224428645
"50","SON",1997,0.114353068519727
"51","DJF",1998,0.145053106371776
"52","MAM",1998,0.099451992931351
"53","JJA",1998,0.0516415395058693
"54","SON",1998,0.0746564619797467
"55","DJF",1999,0.131387639592271
"56","MAM",1999,0.0971312459259202
"57","JJA",1999,0.066396124220663
"58","SON",1999,0.104764708860034
"59","DJF",2000,0.162581826839631
"60","MAM",2000,0.0972164129840672
"61","JJA",2000,0.0617061223405943
"62","SON",2000,0.107145738115368
"63","DJF",2001,0.127028555877596
"64","MAM",2001,0.0873433142460738
"65","JJA",2001,0.0540586618633311
"66","SON",2001,0.101623945796933
"67","DJF",2002,0.14626131788504
"68","MAM",2002,0.0974465600558629
"69","JJA",2002,0.0634901054325133
"70","SON",2002,0.124016597486165
"71","DJF",2003,0.184286921646329
"72","MAM",2003,0.094850872734156
"73","JJA",2003,0.0545597130897026
"74","SON",2003,0.116298292964433
"75","DJF",2004,0.163892630489505
"76","MAM",2004,0.0876632063628436
"77","JJA",2004,0.0557188650430055
"78","SON",2004,0.106218820467647
"79","DJF",2005,0.150995378691861
"80","MAM",2005,0.0962018513704986
"81","JJA",2005,0.0529511770455011
"82","SON",2005,0.118602044927832
"83","DJF",2006,0.156881833365718
"84","MAM",2006,0.0898184889361027
"85","JJA",2006,0.0626102560621027
"86","SON",2006,0.113594842864934
"87","DJF",2007,0.175767344878335
"88","MAM",2007,0.137719961101733
"89","JJA",2007,0.141590610645969
"90","DJF",2008,0.15869117638149
"91","MAM",2008,0.106125343534171
"92","JJA",2008,0.0473478834088063
"93","SON",2008,0.114445849853578
"94","DJF",2009,0.20431420341026
"95","MAM",2009,0.0876386462712354
"96","JJA",2009,0.0507484139888799
"97","SON",2009,0.130034669634708
"98","DJF",2010,0.189821875291696
"99","MAM",2010,0.0846806761108805
"100","JJA",2010,0.0585734860080792
"101","SON",2010,0.128951201111483
"102","DJF",2011,0.140808154444254
"103","MAM",2011,0.0895476736865033
"104","JJA",2011,0.0453765826107631
"105","SON",2011,0.12153695973888
"106","DJF",2012,0.147711275140688
"107","MAM",2012,0.0831620847045104
"108","JJA",2012,0.058423983380706
"109","SON",2012,0.118445571926565
"110","DJF",2013,0.169535690974712
"111","MAM",2013,0.110144306764064
"112","JJA",2013,0.0670695249288018
"113","SON",2013,0.09241652643437
"114","DJF",2014,0.0129337056586877
"115","SON",2014,0.128080333878355
"116","DJF",2015,0.113448538569807
"117","MAM",2015,0.0642869646751151
"118","JJA",2015,0.0521253813532934
"119","SON",2015,0.113879430396585
"120","DJF",2016,0.172434323085605
"121","MAM",2016,0.0940286477079968
"122","JJA",2016,0.0559016927705241
"123","SON",2016,0.12595971468043
"124","DJF",2017,0.148004788388977
"125","MAM",2017,0.113247729304323
"126","JJA",2017,0.0620504192577124
"127","SON",2017,0.110586563531524
"128","DJF",2018,0.139615217497143
"129","MAM",2018,0.121120369773077
"130","JJA",2018,0.0595849865982149
"131","SON",2018,0.128696947071635
"132","DJF",2019,0.152962245560637
"133","MAM",2019,0.0897578745482821
"134","JJA",2019,0.0532715021630742
"135","SON",2019,0.128579308122509
"136","DJF",2020,0.125349202267072
"137","MAM",2020,0.0970359974297785
"138","JJA",2020,0.0461660741345038
