Year ,Month,Day,Hour,Minute,Second,Cruise,Station,Bottom depth [m],Cast,Niskin_Bottle#,Longitude,Latitude,Pressure [db],Depth [m],Temp [°C],Salinity,pH_CTD,Flouresence,PAR%,Density [g/L],pTemp [°C],Sigma_Density [g/L],DO [mg/L],DO [umol/kg],DO_solubility [mg/L],DO_solubility [umol/kg],DO%,Flag_TA,TA [umol/kg],Flag_DIC,DIC [umol/kg],Flag_pH_Spec,pH_Spec [25 degC],pH_from_DIC-TA [25 degC],pH_from_DIC-TA_in situ ,fCO2 [uatm],pCO2 [uatm],HCO3 [umol/kg SW],CO3 [umol/kg SW],CO2 [umol/kg SW],B-Alk [umol/kg SW],OH [umol/kg SW],P-Alk [umol/kg SW],Si-Alk [umol/kg SW],Revelle_factor,ΩCa,ΩAr
2019,2,6,6,43,12,NYOS1902,1.1,18.5,1,2,-71.8993,41.0023,2,2,4.1012,30.3469,8.023,0.4376,2.03E-01,1024.0671,4.1013,24.0773,10.6791,325.881,10.6576,325.22401,100.202,2,2084,2,1962.4,9,NaN,7.751,8.064,347.3,348.7,1850.7,92.5,19.2,47.5,0.8,0,0,14.97,2.26,1.41
2019,2,6,6,43,12,NYOS1902,1.1,18.5,1,2,-71.8993,41.0023,2,2,4.1012,30.3469,8.023,0.4376,2.03E-01,1024.0671,4.1013,24.0773,10.6791,325.881,10.6576,325.22401,100.202,2,2082.4,2,1952,9,NaN,7.775,8.09,324.5,325.9,1836.5,97.5,18,50,0.9,0,0,14.528,2.38,1.49
2019,2,6,6,46,37,NYOS1902,1.1,18.5,1,1,-71.8993,41.0023,13,13,4.1028,30.6919,8.018,0.7914,5.06E-11,1024.341,4.103,24.3511,10.5282,321.19,10.63239,324.36816,99.02,2,2098.5,2,1968,9,NaN,7.769,8.083,331.6,333,1852,97.7,18.3,50.2,0.9,0,0,14.562,2.38,1.49
2019,2,6,8,53,40,NYOS1902,1.2,54,2,5,-71.8088,40.7617,2,2,5.17,32.1049,8.037,0.4182,9.10E-02,1025.3532,5.1701,25.3619,10.0732,307.005,10.26441,312.8332,98.137,2,2171.7,2,2036.7,9,NaN,7.756,8.053,369,370.5,1915.3,102,19.4,51.6,0.9,0,0,14.466,2.47,1.55
2019,2,6,8,51,54,NYOS1902,1.2,54,2,4,-71.8088,40.7617,10,10,5.1749,32.1109,8.034,0.4085,5.06E-11,1025.3573,5.175,25.3661,10.0528,306.384,10.2628,312.78281,97.954,2,2171.1,2,2021.4,9,NaN,7.793,8.091,333.3,334.7,1893.5,110.4,17.6,55.8,1,0,0,13.823,2.67,1.68
2019,2,6,8,49,47,NYOS1902,1.2,54,2,3,-71.8088,40.7617,20,20,5.0974,32.1416,8.034,0.3387,5.06E-11,1025.3902,5.0976,25.399,9.9577,303.474,10.27966,313.28669,96.868,2,2170.1,2,2026.4,9,NaN,7.777,8.076,346,347.4,1901.3,106.8,18.3,54.2,1,0,0,14.077,2.58,1.62
2019,2,6,8,48,6,NYOS1902,1.2,54,2,2,-71.8088,40.7617,30,30,5.3993,32.3396,8.037,0.2106,5.06E-11,1025.5129,5.3994,25.5218,9.8121,299.003,10.1926,310.59633,96.267,2,2183.5,2,2032.6,9,NaN,7.792,8.086,338.8,340.2,1903.5,111.4,17.7,56.2,1,0,0,13.792,2.68,1.68
2019,2,6,8,46,3,NYOS1902,1.2,54,2,1,-71.8088,40.7617,40,40,6.3216,32.7366,8.027,0.1291,5.06E-11,1025.7157,6.3218,25.7243,9.483,288.916,9.9477,303.07371,95.329,2,2203.1,2,2050.5,9,NaN,7.789,8.068,358.1,359.5,1919.5,113,18,56.5,1.1,0,0,13.742,2.71,1.71
2019,2,6,11,44,56,NYOS1902,1.3,68,3,2,-71.7198,40.5223,2,2,7.2283,33.0089,8.05,0.3265,1.45E+01,1025.8123,7.2285,25.8195,9.6982,295.444,9.72407,296.23289,99.734,2,2222.3,2,2065,9,NaN,7.795,8.061,369.5,370.9,1930.4,116.6,18,57.5,1.2,0,0,13.573,2.81,1.77
2019,2,6,11,44,56,NYOS1902,1.3,68,3,2,-71.7198,40.5223,2,2,7.2283,33.0089,8.05,0.3265,1.45E+01,1025.8123,7.2285,25.8195,9.6982,295.444,9.72407,296.23289,99.734,4,NaN,2,2064.2,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2019,2,6,15,46,25,NYOS1902,1.4,81,4,1,-71.6328,40.2838,67.586,67.056,6.9002,32.9421,8.022,0.2696,4.64E-04,1026.1222,6.8942,25.8121,9.4211,287.006,9.80194,298.60711,96.115,2,2212.7,2,2085.4,9,NaN,7.721,7.986,442.7,444.5,1964.7,98.8,21.8,49.4,1,0,0,14.839,2.35,1.48
2019,2,6,15,49,17,NYOS1902,1.4,81,4,2,-71.6328,40.2838,47.436,47.066,6.6682,32.8472,8.023,0.2457,3.15E-02,1025.9856,6.6641,25.7676,9.4858,288.988,9.86075,300.41192,96.197,2,2213.8,2,2074.7,9,NaN,7.752,8.024,403,404.6,1949.2,105.5,20.1,52.6,1,0,0,14.334,2.52,1.59
